subsample,alternative_id,alternative_name,attribute_name,unit,level_order,level_value,source_table,provenance
MD,public_transport,Public Transport,waiting_time_min,min,3,8,Table_3,public_exact
MD,ridepooling,Ridepooling,detour_time_min,min,1,3,Table_3,public_exact
MD,ridepooling,Ridepooling,detour_time_min,min,2,6,Table_3,public_exact
MD,ridepooling,Ridepooling,detour_time_min,min,3,9,Table_3,public_exact
MD,carsharing,Car Sharing,cost_eur,EUR,1,4,Table_3,public_exact
MD,carsharing,Car Sharing,cost_eur,EUR,2,5,Table_3,public_exact
MD,carsharing,Car Sharing,cost_eur,EUR,3,7,Table_3,public_exact
MD,carsharing,Car Sharing,cost_eur,EUR,4,9,Table_3,public_exact
MD,carsharing,Car Sharing,cost_eur,EUR,5,12,Table_3,public_exact
MD,carsharing,Car Sharing,cost_eur,EUR,6,15,Table_3,public_exact
MD,ridepooling,Ridepooling,cost_eur,EUR,1,3.1,Table_3,public_exact
MD,ridepooling,Ridepooling,cost_eur,EUR,2,7,Table_3,public_exact
MD,ridepooling,Ridepooling,cost_eur,EUR,3,10.5,Table_3,public_exact
MD,ridepooling,Ridepooling,cost_eur,EUR,4,15.5,Table_3,public_exact
MD,ridepooling,Ridepooling,cost_eur,EUR,5,22,Table_3,public_exact
MD,ridepooling,Ridepooling,cost_eur,EUR,6,31,Table_3,public_exact
MD,public_transport,Public Transport,cost_eur,EUR,1,1,Table_3,public_exact
MD,public_transport,Public Transport,cost_eur,EUR,2,1.7,Table_3,public_exact
MD,public_transport,Public Transport,cost_eur,EUR,3,2.7,Table_3,public_exact
MD,public_transport,Public Transport,cost_eur,EUR,4,4.9,Table_3,public_exact
MD,public_transport,Public Transport,cost_eur,EUR,5,7,Table_3,public_exact
MD,public_transport,Public Transport,cost_eur,EUR,6,10,Table_3,public_exact
MD,private_car,Private Car,cost_eur,EUR,1,0.2,Table_3,public_exact
MD,private_car,Private Car,cost_eur,EUR,2,0.5,Table_3,public_exact
MD,private_car,Private Car,cost_eur,EUR,3,0.9,Table_3,public_exact
MD,private_car,Private Car,cost_eur,EUR,4,1.4,Table_3,public_exact
MD,private_car,Private Car,cost_eur,EUR,5,1.8,Table_3,public_exact
MD,private_car,Private Car,cost_eur,EUR,6,2.5,Table_3,public_exact
MD,carsharing,Car Sharing,scheme,category,1,station-based,Table_3,public_exact
MD,carsharing,Car Sharing,scheme,category,2,free-floating,Table_3,public_exact
MD,carsharing,Car Sharing,scheme,category,3,hybrid,Table_3,public_exact
MD,ridepooling,Ridepooling,crowding_pct,percent,1,0,Table_3,public_exact
MD,ridepooling,Ridepooling,crowding_pct,percent,2,10,Table_3,public_exact
MD,ridepooling,Ridepooling,crowding_pct,percent,3,50,Table_3,public_exact
MD,ridepooling,Ridepooling,crowding_pct,percent,4,100,Table_3,public_exact
MD,public_transport,Public Transport,crowding_pct,percent,1,0,Table_3,public_exact
MD,public_transport,Public Transport,crowding_pct,percent,2,10,Table_3,public_exact
MD,public_transport,Public Transport,crowding_pct,percent,3,50,Table_3,public_exact
MD,public_transport,Public Transport,crowding_pct,percent,4,100,Table_3,public_exact
MD,public_transport,Public Transport,transfer_count,count,1,0,Table_3,public_exact
MD,public_transport,Public Transport,transfer_count,count,2,1,Table_3,public_exact
MD,public_transport,Public Transport,transfer_count,count,3,2,Table_3,public_exact
