parameter_name,human_estimate,source_table,normalization,source_note,estimate,std_error,z_value,p_value,significant_5pct,difference_ai_minus_human,sign_match
CARACC_BS_REL_CAR,0.138,Table_4,private_car_base_for_sd_subset,Computed as CARACC_BS minus CARACC_CAR.,-0.9604354611077236,0.0648807564963428,-14.803086661942055,0.0,1,-1.0984354611077236,0
CARACC_WALK_REL_CAR,-0.052,Table_4,private_car_base_for_sd_subset,Computed as CARACC_WALK minus CARACC_CAR.,-1.5835975613376334,0.5394949204978724,-2.935333589195264,0.0033318927455312,1,-1.5315975613376334,1
PTPASS_ES_REL_CAR,-0.934,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_ES minus PTPASS_CAR.,0.307867935780776,0.2483670895241422,1.2395681584489882,0.2151351641219872,0,1.241867935780776,0
PTPASS_BS_REL_CAR,-0.756,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_BS minus PTPASS_CAR.,0.0847330097832564,0.1124397249046152,0.7535860644904377,0.4510978147055842,0,0.8407330097832564,0
PTPASS_WALK_REL_CAR,-0.915,Table_4,private_car_base_for_sd_subset,Computed as PTPASS_WALK minus PTPASS_CAR.,-2.027579264179096,1.1779794275171778,-1.721234867787646,0.0852082130461977,0,-1.1125792641790961,1
MAAS_ES_REL_CAR,0.263,Table_4,private_car_base_for_sd_subset,Computed as MAAS_ES minus MAAS_CAR.,0.9119406094014594,0.395381583845547,2.306482260837172,0.0210837002126571,1,0.6489406094014594,1
MAAS_BS_REL_CAR,0.058,Table_4,private_car_base_for_sd_subset,Computed as MAAS_BS minus MAAS_CAR.,-0.0983801912598412,0.191829517454915,-0.5128522062980381,0.6080547077152825,0,-0.1563801912598412,0
MAAS_WALK_REL_CAR,-1.342,Table_4,private_car_base_for_sd_subset,Computed as MAAS_WALK minus MAAS_CAR.,-0.5285020365866405,0.8676981620705332,-0.6090851170244611,0.5424680219676792,0,0.8134979634133596,1
B_TIME_ES,-0.116,Table_4,direct,Mode-specific travel time coefficient for e-scootersharing.,-0.2820807110220624,0.6354230352609593,-0.4439258499752308,0.657096194549347,0,-0.1660807110220624,1
B_TIME_BS,-0.09,Table_4,direct,Mode-specific travel time coefficient for bikesharing.,-0.6679097771765627,0.2171288421069963,-3.0760988300551597,0.0020972831633836,1,-0.5779097771765628,1
B_TIME_WALK,-0.212,Table_4,direct,Mode-specific travel time coefficient for walking.,-0.6948639305747696,0.1867828520268249,-3.720169828411101,0.000199088858751,1,-0.4828639305747696,1
B_TIME_CAR,-0.057,Table_4,direct,Mode-specific travel time coefficient for private car.,-1.1088588829331507,1.4953244409473676,-0.741550698008139,0.4583596040504383,0,-1.0518588829331508,1
B_ACCESS_SHARED,-0.04,Table_4,direct,Shared-mode access time coefficient.,0.1959807386272938,0.6902462717334081,0.2839287174056435,0.7764650084446922,0,0.2359807386272938,0
B_ACCESS_CAR,-0.034,Table_4,direct,Private-car access time coefficient.,1.0620375806892617,0.429441433090473,2.473067335506762,0.0133958900369,1,1.0960375806892617,0
B_EGRESS_SHARED,-0.03,Table_4,direct,Shared-mode egress time coefficient.,-4.210631288530267,2.502439437176546,-1.6826106662069875,0.0924504855082914,0,-4.180631288530266,1
B_EGRESS_CAR,-0.042,Table_4,direct,Private-car egress time coefficient.,-0.8481917915716845,0.2768229045232671,-3.064023163229231,0.0021838200083601,1,-0.8061917915716844,1
B_PARKING,-0.04,Table_4,direct,Generic parking-search-time coefficient.,-0.642598360352276,0.6375645455454243,-1.0078953806983502,0.3135046894684368,0,-0.602598360352276,1
B_COST_LOGMEAN,-1.886,Table_4,direct,Mean term in the log-normal cost coefficient.,-10.93944400625641,2.3475681570596696,-4.659904750095976,3.1635574242461217e-06,1,-9.053444006256411,1
SIGMA_COST,-1.414,Table_4,direct,Scale term in the log-normal cost coefficient.,-9.598379726659465,1.6621466726420766,-5.774688771239601,7.709545446488164e-09,1,-8.184379726659465,1
B_AVAILABILITY,0.006,Table_4,direct,Availability coefficient for shared modes.,-0.0331735984341147,0.0551437795095474,-0.6015836913821114,0.5474512873704747,0,-0.0391735984341147,0
B_SCHEME_SD,0.418,Table_4,direct,Free-floating scheme coefficient for short-distance shared modes.,8.671795881496854,2.412581450194104,3.5944054368813814,0.0003251332044191,1,8.253795881496854,1
B_RANGE,0.006,Table_4,direct,Battery range coefficient for shared modes.,0.1417942465188276,0.3416835064121617,0.4149870972928551,0.6781513486003563,0,0.1357942465188276,1
B_PEDELEC,-0.321,Table_4,direct,Pedelec dummy coefficient within bikesharing.,-7.643140880648764,2.174727641741504,-3.514527858085346,0.0004405364624304,1,-7.322140880648765,1
SIGMA_ES,1.315,Table_4,direct,Random intercept scale for e-scootersharing.,2.6542498903946363,0.2061313646820195,12.876496958573536,0.0,1,1.3392498903946364,1
SIGMA_BS,1.587,Table_4,direct,Random intercept scale for bikesharing.,1.3753942646939183,0.0697067236175661,19.73115638370527,0.0,1,-0.21160573530608162,1
SIGMA_WALK,-2.933,Table_4,direct,Random intercept scale for walking.,-3.641177237138732,1.4617325220900987,-2.491001043017292,0.0127383745858531,1,-0.7081772371387323,1
