respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16,model_key,block_template_id,run_repeat,prompt_arm,semantic_arm,prompt_family,prompt_family_naturalistic,block_complexity_mean,block_complexity_sd,task_count,core_task_count,paraphrase_pair_count,label_pair_count,order_pair_count,monotonicity_task_count,dominance_task_count,model_is_deepseek,n_valid_tasks,label_flip_rate,order_flip_rate,paraphrase_flip_rate,monotonicity_compliance_rate,dominance_violation_rate,confidence_mean,exact_repeat_flip_rate_mean,top_attr_share_travel_time,top_attr_share_waiting_time,top_attr_share_cost,top_attr_share_distance,top_attr_share_availability,top_attr_share_mode_label
Q80003_R3,1555,54260390,3.830035979742342,0.001636675,2,1,-1,-1,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,0,0,1,4,3,1,0,1,a trip with unreported purpose,education not reported,1,car is available for this trip,6,3,3,4,6,5,3,mlx_qwen35_0p8b,Q8T0003,3,neutral_arm,0,naturalistic,1,0.6645649245178797,0.1740720364822962,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80003_R4,1555,54260390,3.830035979742342,0.001636675,2,1,-1,-1,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,0,0,1,4,3,1,0,1,a trip with unreported purpose,education not reported,1,car is available for this trip,6,3,3,4,6,5,3,mlx_qwen35_0p8b,Q8T0003,4,neutral_arm,0,naturalistic,1,0.6645649245178797,0.1740720364822962,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80004_R1,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,1,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80004_R2,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,2,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80004_R3,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,3,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80004_R4,1015,42271145,0.2298009887184065,9.82e-05,2,1,1,3,4,5,56,female,56 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,2,-1,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,3,3,6,5,4,mlx_qwen35_0p8b,Q8T0004,4,semantic_arm,1,concise,0,0.5094664780953508,0.2687415392155206,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80005_R1,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,1,neutral_arm,0,naturalistic,1,0.6078336501755955,0.1715842987321754,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80005_R2,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,2,neutral_arm,0,naturalistic,1,0.6078336501755955,0.1715842987321754,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80005_R3,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,3,neutral_arm,0,naturalistic,1,0.6078336501755955,0.1715842987321754,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80005_R4,785,30860603,2.0360086784578657,0.00087004,2,2,1,2,3,4,22,female,30 or younger,7000,around CHF 7000 per month,0,1,0,1,0,1,7.0,0,0,0,1,2,3,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,0,car is not available for this trip,3,-1,-1,-1,5,4,4,mlx_qwen35_0p8b,Q8T0005,4,neutral_arm,0,naturalistic,1,0.6078336501755955,0.1715842987321754,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80006_R1,743,30860216,0.264718102289357,0.000113121,2,2,9,3,8,4,70,female,65 or older,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,2,2,0,0,1,a leisure-related trip,university education,1,car is available for this trip,3,4,5,5,2,4,4,mlx_qwen35_0p8b,Q8T0006,1,neutral_arm,0,naturalistic,1,0.5902371955766473,0.2508428350606421,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80006_R2,743,30860216,0.264718102289357,0.000113121,2,2,9,3,8,4,70,female,65 or older,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,2,2,0,0,1,a leisure-related trip,university education,1,car is available for this trip,3,4,5,5,2,4,4,mlx_qwen35_0p8b,Q8T0006,2,neutral_arm,0,naturalistic,1,0.5902371955766473,0.2508428350606421,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80006_R3,743,30860216,0.264718102289357,0.000113121,2,2,9,3,8,4,70,female,65 or older,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,2,2,0,0,1,a leisure-related trip,university education,1,car is available for this trip,3,4,5,5,2,4,4,mlx_qwen35_0p8b,Q8T0006,3,neutral_arm,0,naturalistic,1,0.5902371955766473,0.2508428350606421,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80006_R4,743,30860216,0.264718102289357,0.000113121,2,2,9,3,8,4,70,female,65 or older,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,2,2,0,0,1,a leisure-related trip,university education,1,car is available for this trip,3,4,5,5,2,4,4,mlx_qwen35_0p8b,Q8T0006,4,neutral_arm,0,naturalistic,1,0.5902371955766473,0.2508428350606421,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80007_R1,292,14050193,0.2298009887184065,9.82e-05,1,1,2,3,6,1,40,female,40 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,1,4,4,2,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,5,5,1,1,1,mlx_qwen35_0p8b,Q8T0007,1,semantic_arm,1,naturalistic,1,0.4996018866335956,0.1374481547620311,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80007_R2,292,14050193,0.2298009887184065,9.82e-05,1,1,2,3,6,1,40,female,40 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,1,4,4,2,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,5,5,1,1,1,mlx_qwen35_0p8b,Q8T0007,2,semantic_arm,1,naturalistic,1,0.4996018866335956,0.1374481547620311,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80007_R3,292,14050193,0.2298009887184065,9.82e-05,1,1,2,3,6,1,40,female,40 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,1,4,4,2,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,5,5,1,1,1,mlx_qwen35_0p8b,Q8T0007,3,semantic_arm,1,naturalistic,1,0.4996018866335956,0.1374481547620311,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80007_R4,292,14050193,0.2298009887184065,9.82e-05,1,1,2,3,6,1,40,female,40 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,1,4,4,2,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,5,5,1,1,1,mlx_qwen35_0p8b,Q8T0007,4,semantic_arm,1,naturalistic,1,0.4996018866335956,0.1374481547620311,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80008_R1,1475,54200341,3.444981255835199,0.001472131,2,2,-1,3,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,1,0,-1,-1,-1,-1,0,1,a leisure-related trip,education not reported,1,car is available for this trip,2,4,4,5,6,5,3,mlx_qwen35_0p8b,Q8T0008,1,semantic_arm,1,concise,0,0.7218143945405248,0.1460441028862615,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80008_R2,1475,54200341,3.444981255835199,0.001472131,2,2,-1,3,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,1,0,-1,-1,-1,-1,0,1,a leisure-related trip,education not reported,1,car is available for this trip,2,4,4,5,6,5,3,mlx_qwen35_0p8b,Q8T0008,2,semantic_arm,1,concise,0,0.7218143945405248,0.1460441028862615,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80008_R3,1475,54200341,3.444981255835199,0.001472131,2,2,-1,3,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,1,0,-1,-1,-1,-1,0,1,a leisure-related trip,education not reported,1,car is available for this trip,2,4,4,5,6,5,3,mlx_qwen35_0p8b,Q8T0008,3,semantic_arm,1,concise,0,0.7218143945405248,0.1460441028862615,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80008_R4,1475,54200341,3.444981255835199,0.001472131,2,2,-1,3,-1,6,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,1,1,0,-1,-1,-1,-1,0,1,a leisure-related trip,education not reported,1,car is available for this trip,2,4,4,5,6,5,3,mlx_qwen35_0p8b,Q8T0008,4,semantic_arm,1,concise,0,0.7218143945405248,0.1460441028862615,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80009_R1,22,10350272,0.9573855529584482,0.000409116,1,1,1,3,3,1,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,1,4,4,6,6,3,mlx_qwen35_0p8b,Q8T0009,1,semantic_arm,1,concise,0,0.5142738611411171,0.263061481217358,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.4375,0.0,0.4375,0.0625,0.0625,0.0
Q80009_R2,22,10350272,0.9573855529584482,0.000409116,1,1,1,3,3,1,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,1,4,4,6,6,3,mlx_qwen35_0p8b,Q8T0009,2,semantic_arm,1,concise,0,0.5142738611411171,0.263061481217358,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.4375,0.0,0.4375,0.0625,0.0625,0.0
Q80009_R3,22,10350272,0.9573855529584482,0.000409116,1,1,1,3,3,1,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,1,4,4,6,6,3,mlx_qwen35_0p8b,Q8T0009,3,semantic_arm,1,concise,0,0.5142738611411171,0.263061481217358,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.4375,0.0,0.4375,0.0625,0.0625,0.0
Q80009_R4,22,10350272,0.9573855529584482,0.000409116,1,1,1,3,3,1,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,1,4,4,6,6,3,mlx_qwen35_0p8b,Q8T0009,4,semantic_arm,1,concise,0,0.5142738611411171,0.263061481217358,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.4375,0.0,0.4375,0.0625,0.0625,0.0
Q80010_R1,1143,44640515,0.2553833146722722,0.000109132,2,1,2,3,6,5,54,male,54 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,1,0,2,4,3,-1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,4,5,3,5,3,mlx_qwen35_0p8b,Q8T0010,1,semantic_arm,1,naturalistic,1,0.4591871591669391,0.0904812360748339,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80010_R2,1143,44640515,0.2553833146722722,0.000109132,2,1,2,3,6,5,54,male,54 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,1,0,2,4,3,-1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,4,5,3,5,3,mlx_qwen35_0p8b,Q8T0010,2,semantic_arm,1,naturalistic,1,0.4591871591669391,0.0904812360748339,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.4375,0.0,0.4375,0.0625,0.0625,0.0
Q80010_R3,1143,44640515,0.2553833146722722,0.000109132,2,1,2,3,6,5,54,male,54 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,1,0,2,4,3,-1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,4,5,3,5,3,mlx_qwen35_0p8b,Q8T0010,3,semantic_arm,1,naturalistic,1,0.4591871591669391,0.0904812360748339,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80010_R4,1143,44640515,0.2553833146722722,0.000109132,2,1,2,3,6,5,54,male,54 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,0,1,0,2,4,3,-1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,4,5,3,5,3,mlx_qwen35_0p8b,Q8T0010,4,semantic_arm,1,naturalistic,1,0.4591871591669391,0.0904812360748339,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80011_R1,1557,54260409,0.9573855529584482,0.000409116,2,1,1,1,3,6,44,male,44 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,1,1,2,4,2,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,5,1,4,5,1,4,5,mlx_qwen35_0p8b,Q8T0011,1,neutral_arm,0,naturalistic,1,0.5589022502757083,0.2445509849006041,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80011_R2,1557,54260409,0.9573855529584482,0.000409116,2,1,1,1,3,6,44,male,44 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,1,1,2,4,2,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,5,1,4,5,1,4,5,mlx_qwen35_0p8b,Q8T0011,2,neutral_arm,0,naturalistic,1,0.5589022502757083,0.2445509849006041,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80011_R3,1557,54260409,0.9573855529584482,0.000409116,2,1,1,1,3,6,44,male,44 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,1,1,2,4,2,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,5,1,4,5,1,4,5,mlx_qwen35_0p8b,Q8T0011,3,neutral_arm,0,naturalistic,1,0.5589022502757083,0.2445509849006041,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80011_R4,1557,54260409,0.9573855529584482,0.000409116,2,1,1,1,3,6,44,male,44 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,1,1,2,4,2,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,5,1,4,5,1,4,5,mlx_qwen35_0p8b,Q8T0011,4,neutral_arm,0,naturalistic,1,0.5589022502757083,0.2445509849006041,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80012_R1,1273,50260039,3.444981255835199,0.001472131,2,1,4,-1,2,5,47,female,47 years old,3250,around CHF 3250 per month,0,1,0,0,0,0,3.25,0,0,0,1,0,2,0,0,1,a trip with unreported purpose,compulsory education,0,car is not available for this trip,6,2,3,3,6,3,2,mlx_qwen35_0p8b,Q8T0012,1,neutral_arm,0,naturalistic,1,0.5090960331290902,0.2988185426804344,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Q80012_R2,1273,50260039,3.444981255835199,0.001472131,2,1,4,-1,2,5,47,female,47 years old,3250,around CHF 3250 per month,0,1,0,0,0,0,3.25,0,0,0,1,0,2,0,0,1,a trip with unreported purpose,compulsory education,0,car is not available for this trip,6,2,3,3,6,3,2,mlx_qwen35_0p8b,Q8T0012,2,neutral_arm,0,naturalistic,1,0.5090960331290902,0.2988185426804344,16,6,2,2,2,2,2,0,16,0.0,1.0,0.0,1.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
