respondent_id,persona_id,female,gender_text,age_band,age_years,income_band,metropolis,city_type_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text,subsample,assigned_block_id
59,P0059,1,female,68_plus,76,2000_3999_eur,1,metropolis,2,0,1,holds a public transport pass,1,has an active MaaS subscription,SD,2
60,P0060,1,female,50_59,54,2000_3999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
61,P0061,0,male,50_59,52,500_1999_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,7
62,P0062,1,female,60_67,63,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
63,P0063,0,male,40_49,40,4000_plus_eur,0,large city,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
64,P0064,1,female,30_39,38,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
65,P0065,1,female,60_67,61,2000_3999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
66,P0066,0,male,40_49,48,500_1999_eur,0,large city,2,4,1,holds a public transport pass,0,does not have a MaaS subscription,MD,1
67,P0067,0,male,30_39,30,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,1,has an active MaaS subscription,SD,8
68,P0068,0,male,68_plus,76,500_1999_eur,1,metropolis,4,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
69,P0069,0,male,68_plus,75,4000_plus_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
70,P0070,0,male,40_49,45,2000_3999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
71,P0071,1,female,60_67,66,2000_3999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
72,P0072,0,male,40_49,44,500_1999_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,1
73,P0073,1,female,40_49,45,2000_3999_eur,1,metropolis,2,1,1,holds a public transport pass,1,has an active MaaS subscription,MD,2
74,P0074,1,female,30_39,32,lt_500_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
75,P0075,0,male,50_59,59,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,8
76,P0076,1,female,40_49,48,lt_500_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,4
77,P0077,0,male,60_67,65,2000_3999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
78,P0078,0,male,50_59,53,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,1,has an active MaaS subscription,SD,3
79,P0079,0,male,40_49,44,4000_plus_eur,1,metropolis,3,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,2
80,P0080,0,male,40_49,43,500_1999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
81,P0081,1,female,40_49,41,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,1
82,P0082,1,female,30_39,36,2000_3999_eur,0,large city,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
83,P0083,0,male,50_59,53,500_1999_eur,1,metropolis,2,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
84,P0084,0,male,68_plus,69,4000_plus_eur,0,large city,0,5,1,holds a public transport pass,0,does not have a MaaS subscription,MD,6
85,P0085,0,male,40_49,43,500_1999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,3
86,P0086,1,female,40_49,43,500_1999_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
87,P0087,1,female,30_39,31,500_1999_eur,1,metropolis,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
88,P0088,1,female,30_39,38,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,3
89,P0089,1,female,40_49,40,4000_plus_eur,0,large city,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
90,P0090,0,male,30_39,34,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,6
91,P0091,1,female,68_plus,69,4000_plus_eur,1,metropolis,2,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,6
92,P0092,0,male,30_39,31,500_1999_eur,1,metropolis,0,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,1
93,P0093,0,male,60_67,60,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,1
94,P0094,0,male,40_49,44,500_1999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,7
95,P0095,1,female,50_59,51,500_1999_eur,1,metropolis,1,4,1,holds a public transport pass,0,does not have a MaaS subscription,SD,5
96,P0096,0,male,50_59,54,2000_3999_eur,0,large city,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,1
97,P0097,0,male,60_67,60,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
98,P0098,0,male,30_39,37,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,5
99,P0099,0,male,40_49,47,2000_3999_eur,1,metropolis,4,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
100,P0100,0,male,18_29,18,4000_plus_eur,0,large city,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
101,P0101,0,male,50_59,53,4000_plus_eur,1,metropolis,3,2,0,does not hold a public transport pass,1,has an active MaaS subscription,MD,8
102,P0102,0,male,68_plus,75,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
103,P0103,0,male,18_29,23,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,1,has an active MaaS subscription,MD,2
104,P0104,1,female,18_29,25,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,5
105,P0105,1,female,68_plus,69,500_1999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription,SD,2
106,P0106,0,male,50_59,51,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,1,has an active MaaS subscription,SD,3
107,P0107,0,male,50_59,56,2000_3999_eur,0,large city,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
108,P0108,0,male,40_49,47,500_1999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
109,P0109,1,female,68_plus,71,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,1,has an active MaaS subscription,MD,2
110,P0110,1,female,68_plus,71,2000_3999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
111,P0111,1,female,40_49,40,2000_3999_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
112,P0112,1,female,68_plus,79,500_1999_eur,0,large city,3,0,1,holds a public transport pass,0,does not have a MaaS subscription,SD,5
113,P0113,1,female,50_59,56,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,8
114,P0114,0,male,40_49,40,2000_3999_eur,1,metropolis,1,5,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
115,P0115,0,male,50_59,52,500_1999_eur,1,metropolis,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
116,P0116,1,female,68_plus,76,lt_500_eur,0,large city,1,3,1,holds a public transport pass,0,does not have a MaaS subscription,SD,1
117,P0117,1,female,60_67,62,4000_plus_eur,0,large city,1,1,1,holds a public transport pass,1,has an active MaaS subscription,MD,2
118,P0118,0,male,50_59,55,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
119,P0119,0,male,18_29,29,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
120,P0120,0,male,68_plus,71,2000_3999_eur,0,large city,3,1,1,holds a public transport pass,1,has an active MaaS subscription,MD,3
121,P0121,1,female,50_59,51,2000_3999_eur,0,large city,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,6
122,P0122,0,male,40_49,40,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,2
123,P0123,0,male,18_29,19,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
124,P0124,0,male,40_49,46,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
125,P0125,1,female,50_59,53,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,8
126,P0126,1,female,60_67,66,500_1999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,4
127,P0127,0,male,40_49,47,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
128,P0128,0,male,30_39,36,4000_plus_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,3
129,P0129,1,female,50_59,54,500_1999_eur,1,metropolis,0,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,8
130,P0130,0,male,60_67,65,500_1999_eur,1,metropolis,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
131,P0131,0,male,40_49,45,2000_3999_eur,0,large city,0,5,1,holds a public transport pass,0,does not have a MaaS subscription,SD,7
132,P0132,1,female,40_49,41,2000_3999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,8
133,P0133,0,male,18_29,25,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,1,has an active MaaS subscription,MD,8
134,P0134,0,male,60_67,64,lt_500_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
135,P0135,0,male,50_59,52,4000_plus_eur,1,metropolis,1,1,1,holds a public transport pass,1,has an active MaaS subscription,MD,2
136,P0136,1,female,40_49,41,lt_500_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
137,P0137,0,male,68_plus,69,2000_3999_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
138,P0138,0,male,50_59,55,500_1999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,7
139,P0139,0,male,68_plus,74,lt_500_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,1
140,P0140,1,female,40_49,48,500_1999_eur,1,metropolis,2,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,8
141,P0141,0,male,68_plus,79,2000_3999_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
142,P0142,0,male,50_59,51,4000_plus_eur,1,metropolis,4,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
143,P0143,1,female,40_49,47,lt_500_eur,1,metropolis,3,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,5
144,P0144,0,male,40_49,45,4000_plus_eur,1,metropolis,2,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,8
145,P0145,0,male,50_59,52,500_1999_eur,0,large city,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
146,P0146,1,female,50_59,56,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,6
147,P0147,0,male,40_49,47,500_1999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
148,P0148,0,male,40_49,48,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
149,P0149,0,male,50_59,59,2000_3999_eur,1,metropolis,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,7
150,P0150,0,male,60_67,65,2000_3999_eur,0,large city,3,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
151,P0151,1,female,18_29,18,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,5
152,P0152,1,female,50_59,57,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
153,P0153,0,male,50_59,54,500_1999_eur,0,large city,1,3,1,holds a public transport pass,1,has an active MaaS subscription,MD,6
154,P0154,0,male,50_59,58,500_1999_eur,1,metropolis,0,3,1,holds a public transport pass,0,does not have a MaaS subscription,SD,8
155,P0155,1,female,60_67,63,2000_3999_eur,0,large city,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
156,P0156,0,male,40_49,40,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,8
157,P0157,1,female,60_67,67,4000_plus_eur,0,large city,2,2,1,holds a public transport pass,0,does not have a MaaS subscription,MD,7
158,P0158,1,female,40_49,40,2000_3999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
159,P0159,1,female,18_29,28,500_1999_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
160,P0160,0,male,30_39,34,4000_plus_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
161,P0161,0,male,60_67,66,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,1
162,P0162,0,male,50_59,55,500_1999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
163,P0163,1,female,50_59,55,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,6
164,P0164,1,female,68_plus,75,2000_3999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription,MD,3
165,P0165,0,male,60_67,64,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,1,has an active MaaS subscription,SD,6
166,P0166,1,female,18_29,18,4000_plus_eur,0,large city,2,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,8
167,P0167,1,female,40_49,44,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,MD,8
168,P0168,0,male,60_67,63,4000_plus_eur,1,metropolis,3,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,2
169,P0169,1,female,68_plus,77,2000_3999_eur,0,large city,0,5,1,holds a public transport pass,0,does not have a MaaS subscription,MD,2
170,P0170,0,male,30_39,33,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
171,P0171,1,female,40_49,46,500_1999_eur,0,large city,4,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
172,P0172,1,female,30_39,35,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
173,P0173,1,female,18_29,19,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
174,P0174,1,female,50_59,53,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
175,P0175,0,male,40_49,47,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
176,P0176,0,male,30_39,32,4000_plus_eur,1,metropolis,1,0,1,holds a public transport pass,1,has an active MaaS subscription,SD,6
177,P0177,1,female,30_39,38,2000_3999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,7
178,P0178,0,male,68_plus,69,2000_3999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
179,P0179,1,female,60_67,63,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,3
180,P0180,1,female,30_39,35,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
181,P0181,0,male,60_67,60,4000_plus_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,8
182,P0182,0,male,30_39,31,2000_3999_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,8
183,P0183,0,male,40_49,44,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,8
184,P0184,1,female,50_59,54,2000_3999_eur,0,large city,1,4,1,holds a public transport pass,0,does not have a MaaS subscription,SD,2
185,P0185,0,male,60_67,66,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
186,P0186,0,male,30_39,32,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription,MD,8
187,P0187,1,female,50_59,59,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
188,P0188,0,male,60_67,66,500_1999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,5
189,P0189,1,female,50_59,53,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,8
190,P0190,0,male,30_39,30,4000_plus_eur,1,metropolis,2,0,0,does not hold a public transport pass,1,has an active MaaS subscription,MD,4
191,P0191,1,female,18_29,18,4000_plus_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,2
192,P0192,1,female,50_59,51,500_1999_eur,0,large city,1,0,0,does not hold a public transport pass,1,has an active MaaS subscription,SD,3
193,P0193,1,female,30_39,36,4000_plus_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
194,P0194,1,female,50_59,52,2000_3999_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,6
195,P0195,0,male,30_39,32,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,4
196,P0196,1,female,50_59,50,2000_3999_eur,0,large city,2,2,1,holds a public transport pass,0,does not have a MaaS subscription,MD,4
197,P0197,1,female,50_59,59,2000_3999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,4
198,P0198,0,male,68_plus,71,2000_3999_eur,0,large city,4,4,1,holds a public transport pass,0,does not have a MaaS subscription,MD,6
199,P0199,0,male,18_29,28,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,5
200,P0200,0,male,40_49,48,2000_3999_eur,1,metropolis,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,2
201,P0201,1,female,40_49,48,4000_plus_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription,SD,4
202,P0202,1,female,68_plus,73,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
203,P0203,0,male,40_49,47,2000_3999_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription,MD,2
204,P0204,1,female,60_67,61,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,2
205,P0205,0,male,50_59,51,4000_plus_eur,1,metropolis,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,3
206,P0206,1,female,68_plus,74,2000_3999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription,SD,4
207,P0207,1,female,18_29,25,2000_3999_eur,0,large city,1,4,1,holds a public transport pass,0,does not have a MaaS subscription,MD,6
208,P0208,1,female,68_plus,73,500_1999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription,MD,1
209,P0209,0,male,40_49,41,500_1999_eur,1,metropolis,2,2,1,holds a public transport pass,0,does not have a MaaS subscription,SD,7
