model_key,block_template_id,task_index,task_role,pair_id,manipulation_type,n_repeats,exact_repeat_flip_rate,response_entropy
poe_gpt54_nano,POT0003,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0003,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0003,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0003,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0003,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0003,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0003,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0003,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0003,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0003,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0003,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0003,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0004,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0004,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0004,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0004,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0004,5,core,CORE_5,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0004,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0004,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0004,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0004,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0004,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0004,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0004,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0004,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0004,14,monotonicity,MONO_2,monotonicity,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0004,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0004,16,dominance,DOM_2,dominance,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0005,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0005,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0005,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0005,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0005,5,core,CORE_5,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0005,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0005,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0005,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0005,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0005,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0005,11,order_twin,ORDER_1,order_randomization,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0005,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0005,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0005,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0005,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0005,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0006,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0006,2,core,CORE_2,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0006,3,core,CORE_3,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0006,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0006,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0006,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0006,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0006,8,paraphrase_twin,PARA_2,paraphrase,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0006,9,label_mask_twin,LABEL_1,label_mask,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0006,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0006,11,order_twin,ORDER_1,order_randomization,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0006,12,order_twin,ORDER_2,order_randomization,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0006,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0006,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0006,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0006,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0007,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0007,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0007,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0007,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0007,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0007,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0007,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0007,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0007,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0007,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0007,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0007,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0007,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0007,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0007,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0007,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0008,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0008,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0008,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0008,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0008,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0008,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0008,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0008,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0008,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0008,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0008,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0008,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0008,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0008,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0008,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0008,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0009,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0009,2,core,CORE_2,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0009,3,core,CORE_3,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0009,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0009,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0009,6,core,CORE_6,core,4,0.8333333333333334,1.0397207708399179
poe_gpt54_nano,POT0009,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0009,8,paraphrase_twin,PARA_2,paraphrase,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0009,9,label_mask_twin,LABEL_1,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0009,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0009,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0009,12,order_twin,ORDER_2,order_randomization,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0009,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0009,14,monotonicity,MONO_2,monotonicity,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0009,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0009,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0010,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0010,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0010,3,core,CORE_3,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0010,4,core,CORE_4,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0010,5,core,CORE_5,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0010,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0010,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0010,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0010,9,label_mask_twin,LABEL_1,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0010,10,label_mask_twin,LABEL_2,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0010,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0010,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0010,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0010,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0010,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0010,16,dominance,DOM_2,dominance,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0011,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0011,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0011,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0011,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0011,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0011,6,core,CORE_6,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0011,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0011,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0011,9,label_mask_twin,LABEL_1,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0011,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0011,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0011,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0011,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0011,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0011,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0011,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0012,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0012,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0012,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0012,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0012,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0012,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0012,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0012,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0012,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0012,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0012,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0012,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0012,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0012,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0012,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0012,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0013,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0013,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0013,3,core,CORE_3,core,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0013,4,core,CORE_4,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0013,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0013,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0013,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0013,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0013,9,label_mask_twin,LABEL_1,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0013,10,label_mask_twin,LABEL_2,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0013,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0013,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0013,13,monotonicity,MONO_1,monotonicity,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0013,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0013,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0013,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0014,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0014,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0014,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0014,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0014,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0014,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0014,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0014,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0014,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0014,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0014,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0014,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0014,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0014,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0014,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0014,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0015,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0015,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0015,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0015,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0015,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0015,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0015,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0015,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0015,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0015,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0015,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0015,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0015,13,monotonicity,MONO_1,monotonicity,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0015,14,monotonicity,MONO_2,monotonicity,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0015,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0015,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0016,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0016,2,core,CORE_2,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0016,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0016,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0016,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0016,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0016,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0016,8,paraphrase_twin,PARA_2,paraphrase,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0016,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0016,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0016,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0016,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0016,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0016,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0016,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0016,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0017,1,core,CORE_1,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0017,2,core,CORE_2,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0017,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0017,4,core,CORE_4,core,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0017,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0017,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0017,7,paraphrase_twin,PARA_1,paraphrase,4,0.6666666666666666,0.6931471805599453
poe_gpt54_nano,POT0017,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0017,9,label_mask_twin,LABEL_1,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0017,10,label_mask_twin,LABEL_2,label_mask,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0017,11,order_twin,ORDER_1,order_randomization,4,0.5,0.5623351446188083
poe_gpt54_nano,POT0017,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0017,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0017,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0017,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0017,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0018,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0018,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0018,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0018,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0018,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0018,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0018,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0018,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0018,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0018,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0018,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0018,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0018,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0018,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0018,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0018,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0019,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0019,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0019,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0019,4,core,CORE_4,core,4,0.0,-0.0
poe_gpt54_nano,POT0019,5,core,CORE_5,core,4,0.0,-0.0
poe_gpt54_nano,POT0019,6,core,CORE_6,core,4,0.0,-0.0
poe_gpt54_nano,POT0019,7,paraphrase_twin,PARA_1,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0019,8,paraphrase_twin,PARA_2,paraphrase,4,0.0,-0.0
poe_gpt54_nano,POT0019,9,label_mask_twin,LABEL_1,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0019,10,label_mask_twin,LABEL_2,label_mask,4,0.0,-0.0
poe_gpt54_nano,POT0019,11,order_twin,ORDER_1,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0019,12,order_twin,ORDER_2,order_randomization,4,0.0,-0.0
poe_gpt54_nano,POT0019,13,monotonicity,MONO_1,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0019,14,monotonicity,MONO_2,monotonicity,4,0.0,-0.0
poe_gpt54_nano,POT0019,15,dominance,DOM_1,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0019,16,dominance,DOM_2,dominance,4,0.0,-0.0
poe_gpt54_nano,POT0020,1,core,CORE_1,core,4,0.0,-0.0
poe_gpt54_nano,POT0020,2,core,CORE_2,core,4,0.0,-0.0
poe_gpt54_nano,POT0020,3,core,CORE_3,core,4,0.0,-0.0
poe_gpt54_nano,POT0020,4,core,CORE_4,core,4,0.0,-0.0
