respondent_id,source_observation_id,human_id,TimePT,TimePT_non_wait,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimePT_non_wait_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,CAR_AVAILABLE,pt_proxy,car_proxy,slow_proxy,complexity_score,complexity_rank,scenario_id
H0014,19,10350271,147,112,35,22.0,28,2.92,20.0,0.735,0.56,0.5833333333333334,2.2,0.14,0.292,4.0,1,3.3433333333333337,0.432,4.0,0.6036217303822939,0.5,S0014
H0015,20,10350271,117,92,25,8.6,20,2.09,15.0,0.585,0.46,0.4166666666666667,0.86,0.1,0.209,3.0,1,1.7366666666666668,0.309,3.0,0.44182621502209135,0.29590766002098634,S0015
H0016,21,10350272,266,171,95,37.2,51,7.65,55.0,1.33,0.855,1.5833333333333333,3.72,0.255,0.765,11.0,1,6.158333333333333,1.02,11.0,0.17118402282453637,0.04302203567681007,S0016
H0017,22,10350272,250,113,137,11.0,40,7.39,49.5,1.25,0.565,2.283333333333333,1.1,0.2,0.739,9.9,1,3.9483333333333333,0.9390000000000001,9.9,0.24941802460924511,0.09024134312696747,S0017
H0018,23,10359998,33,28,5,3.0,9,0.97,7.0,0.165,0.14,0.0833333333333333,0.3,0.045,0.097,1.4,1,0.5233333333333333,0.14200000000000002,1.4,0.7239382239382239,0.6626442812172089,S0018
H0019,24,10359999,88,79,9,26.0,40,7.19,54.0,0.44,0.395,0.15,2.6,0.2,0.7190000000000001,10.8,1,3.145,0.919,10.8,0.30998140111593303,0.14900314795383002,S0019
H0020,25,10360009,29,29,0,6.2,9,1.32,9.0,0.145,0.145,0.0,0.62,0.045,0.132,1.8,1,0.765,0.177,1.8,0.6297229219143576,0.534102833158447,S0020
H0021,26,10360009,0,0,0,0.0,1,0.2,0.8,0.0,0.0,0.0,0.0,0.005,0.02,0.16,1,0.0,0.025,0.16,0.9756097560975611,0.9790136411332634,S0021
H0022,27,10360009,71,67,4,4.8,14,1.52,11.0,0.355,0.335,0.0666666666666666,0.48,0.07,0.152,2.2,1,0.8816666666666666,0.222,2.2,0.6025306286402893,0.49790136411332636,S0022
H0023,28,10360009,90,52,38,6.2,5,0.6,3.0,0.45,0.26,0.6333333333333333,0.62,0.025,0.06,0.6,1,1.5133333333333332,0.08499999999999999,0.6,0.6600660066006601,0.5700419727177335,S0023
H0024,29,10360011,180,139,41,26.4,45,6.35,44.5,0.9,0.695,0.6833333333333333,2.6399999999999997,0.225,0.635,8.9,1,4.018333333333333,0.86,8.9,0.2404809619238477,0.08814270724029381,S0024
H0025,30,10360011,312,261,51,59.6,93,20.1,135.5,1.56,1.305,0.85,5.96,0.465,2.01,27.1,1,8.115,2.4749999999999996,27.1,0.1506024096385542,0.02938090241343127,S0025
H0026,31,10360013,181,166,15,16.2,24,2.97,20.0,0.905,0.83,0.25,1.62,0.12,0.297,4.0,1,2.7,0.417,4.0,0.4347826086956522,0.28751311647429173,S0026
H0027,32,10360014,95,87,8,9.6,27,4.07,28.0,0.475,0.435,0.1333333333333333,0.96,0.135,0.407,5.6,1,1.5283333333333333,0.542,5.6,0.5034401745259272,0.3753934942287513,S0027
H0028,33,10360015,126,114,12,9.2,26,3.87,28.0,0.63,0.57,0.2,0.92,0.13,0.387,5.6,1,1.69,0.517,5.6,0.46019328117809477,0.31899265477439664,S0028
H0029,34,10360016,184,174,10,20.0,30,3.68,22.0,0.92,0.87,0.1666666666666666,2.0,0.15,0.368,4.4,1,3.0366666666666666,0.518,4.4,0.42313117066290545,0.2733473242392445,S0029
H0030,35,10360023,162,131,31,0.0,10,1.12,7.0,0.81,0.655,0.5166666666666667,0.0,0.05,0.112,1.4,0,1.1716666666666669,1000000.0,1.4,0.8141112618724561,0.7843651626442812,S0030
H0031,36,10360023,111,97,14,0.0,19,2.06,16.5,0.555,0.485,0.2333333333333333,0.0,0.095,0.206,3.3,0,0.7183333333333333,1000000.0,3.3,0.27919962773382967,0.1180482686253935,S0031
H0032,37,10360023,182,152,30,0.0,12,1.35,11.0,0.91,0.76,0.5,0.0,0.06,0.135,2.2,0,1.26,1000000.0,2.2,0.5154639175257731,0.3861490031479538,S0032
H0033,38,10360024,200,188,12,15.2,26,3.34,24.5,1.0,0.94,0.2,1.52,0.13,0.3339999999999999,4.9,1,2.66,0.4639999999999999,4.9,0.31289111389236546,0.15057712486883526,S0033
H0034,39,10360035,118,108,10,11.0,33,4.7,30.0,0.59,0.54,0.1666666666666666,1.1,0.165,0.47,6.0,1,1.8066666666666666,0.635,6.0,0.46047582501918644,0.3200419727177335,S0034
H0035,42,10360036,89,80,9,11.0,34,4.67,31.0,0.445,0.4,0.15,1.1,0.17,0.4669999999999999,6.2,1,1.6500000000000001,0.6369999999999999,6.2,0.49677098857426716,0.36621196222455404,S0035
H0036,44,10360095,50,50,0,4.8,16,2.35,15.0,0.25,0.25,0.0,0.48,0.08,0.235,3.0,1,0.73,0.315,3.0,0.7067137809187279,0.6369359916054564,S0036
H0037,45,10360095,63,56,7,4.8,16,2.32,16.0,0.315,0.28,0.1166666666666666,0.48,0.08,0.2319999999999999,3.2,1,0.8766666666666666,0.3119999999999999,3.2,0.6391137622496804,0.5456453305351522,S0037
H0038,46,10360113,145,126,19,14.0,14,1.81,14.2,0.725,0.63,0.3166666666666666,1.4,0.07,0.181,2.84,1,2.3466666666666667,0.251,2.84,0.6696428571428572,0.5823714585519413,S0038
H0039,47,10360122,153,122,31,10.5,33,4.38,31.0,0.765,0.61,0.5166666666666667,1.05,0.165,0.438,6.2,1,2.1766666666666667,0.603,6.2,0.3885507058671156,0.23399790136411333,S0039
H0040,48,10360139,135,124,11,7.8,33,4.46,31.0,0.675,0.62,0.1833333333333333,0.78,0.165,0.446,6.2,1,1.5833333333333333,0.611,6.2,0.507013689369613,0.3793284365162644,S0040
H0041,49,10360139,0,0,0,2.2,2,0.49,1.4,0.0,0.0,0.0,0.22,0.01,0.049,0.2799999999999999,1,0.22,0.059000000000000004,0.2799999999999999,0.9433962264150945,0.9433368310598111,S0041
H0042,50,10360159,232,192,40,11.8,29,3.2,22.5,1.16,0.96,0.6666666666666666,1.1800000000000002,0.145,0.32,4.5,1,2.8066666666666666,0.46499999999999997,4.5,0.3712871287128713,0.21406086044071354,S0042
H0043,51,10360159,0,0,0,0.0,1,0.2,0.4,0.0,0.0,0.0,0.0,0.005,0.02,0.08,1,0.0,0.025,0.08,0.9756097560975611,0.9790136411332634,S0043
H0044,52,10360162,98,89,9,3.0,5,0.6,3.5,0.49,0.445,0.15,0.3,0.025,0.06,0.7,1,0.895,0.08499999999999999,0.7,0.8368200836820083,0.8171563483735572,S0044
H0045,54,10360162,11,11,0,2.2,2,0.21,0.7,0.055,0.055,0.0,0.22,0.01,0.0209999999999999,0.1399999999999999,1,0.275,0.030999999999999903,0.1399999999999999,0.9017132551848512,0.8940188877229801,S0045
H0046,55,10360162,15,15,0,0.0,3,0.46,1.1,0.075,0.075,0.0,0.0,0.015,0.046,0.22,1,0.075,0.061,0.22,0.9861932938856016,0.9866211962224554,S0046
H0047,56,10360177,131,126,5,12.4,15,2.32,16.5,0.655,0.63,0.0833333333333333,1.24,0.075,0.2319999999999999,3.3,1,1.9533333333333331,0.3069999999999999,3.3,0.42613636363636365,0.2780692549842602,S0047
H0048,57,10360177,213,160,53,24.8,39,7.06,54.0,1.065,0.8,0.8833333333333333,2.48,0.195,0.706,10.8,1,4.163333333333333,0.901,10.8,0.2346132791115977,0.08551941238195174,S0048
H0049,59,10360193,159,148,11,43.2,28,4.61,32.5,0.795,0.74,0.1833333333333333,4.32,0.14,0.461,6.5,1,5.243333333333334,0.601,6.5,0.44313146233382583,0.29643231899265476,S0049
H0050,60,10360195,194,172,22,9.6,47,6.98,51.5,0.97,0.86,0.3666666666666666,0.96,0.235,0.6980000000000001,10.3,1,2.1866666666666665,0.933,10.3,0.44372134299659816,0.29800629590766003,S0050
H0051,61,10360196,126,114,12,6.6,26,3.68,27.0,0.63,0.57,0.2,0.6599999999999999,0.13,0.368,5.4,1,1.43,0.498,5.4,0.5175983436853002,0.39087093389296956,S0051
H0052,62,10360202,69,62,7,4.8,5,0.59,4.5,0.345,0.31,0.1166666666666666,0.48,0.025,0.059,0.9,1,0.9066666666666665,0.08399999999999999,0.9,0.9933774834437089,0.9934417628541448,S0052
H0053,63,10360202,123,102,21,18.4,3,0.42,3.0,0.615,0.51,0.35,1.84,0.015,0.0419999999999999,0.6,1,2.7,0.0569999999999999,0.6,0.6480881399870382,0.55299055613851,S0053
H0054,64,10360205,99,90,9,2.2,8,0.9,5.5,0.495,0.45,0.15,0.22,0.04,0.09,1.1,1,0.82,0.13,1.1,0.7812499999999999,0.7418677859391396,S0054
H0055,65,10360205,48,45,3,2.4,17,2.31,15.0,0.24,0.225,0.05,0.24,0.085,0.231,3.0,1,0.515,0.316,3.0,0.8340283569641367,0.8132214060860441,S0055
H0056,66,10360206,186,41,145,7.0,31,5.07,27.5,0.93,0.205,2.4166666666666665,0.7,0.155,0.507,5.5,1,3.3216666666666663,0.662,5.5,0.31463030938647085,0.15162644281217208,S0056
H0057,68,10360212,61,54,7,6.2,15,2.39,16.0,0.305,0.27,0.1166666666666666,0.62,0.075,0.239,3.2,1,1.0066666666666666,0.314,3.2,0.5907837731390312,0.4821615949632739,S0057
H0058,69,10360212,73,64,9,6.2,8,0.87,6.5,0.365,0.32,0.15,0.62,0.04,0.087,1.3,1,1.0899999999999999,0.127,1.3,0.8264462809917354,0.7995802728226653,S0058
H0059,70,10360217,81,72,9,4.4,32,4.37,29.0,0.405,0.36,0.15,0.44,0.16,0.437,5.8,0,0.95,1000000.0,5.8,0.17094017094017094,0.041448058761804824,S0059
H0060,71,10360225,60,56,4,2.4,17,2.45,16.0,0.3,0.28,0.0666666666666666,0.24,0.085,0.245,3.2,1,0.5866666666666667,0.33,3.2,0.7957559681697614,0.757607555089192,S0060
H0061,72,10360225,228,213,15,38.9,64,12.8,97.0,1.14,1.065,0.25,3.89,0.32,1.28,19.4,1,5.205,1.6,19.4,0.21715526601520085,0.07397691500524659,S0061
H0062,73,10360225,269,245,24,44.6,180,38.61,298.0,1.345,1.225,0.4,4.46,0.9,3.861,59.6,1,6.085,4.761,59.6,0.43029259896729777,0.2817418677859391,S0062
H0063,74,10360235,219,133,86,38.4,49,9.04,67.0,1.095,0.665,1.4333333333333331,3.84,0.245,0.904,13.4,1,5.938333333333333,1.149,13.4,0.17273146015660987,0.04407135362014691,S0063
H0064,75,10360236,193,179,14,15.8,40,5.03,32.5,0.965,0.895,0.2333333333333333,1.58,0.2,0.503,6.5,1,2.7083333333333335,0.7030000000000001,6.5,0.33274179236912155,0.16841552990556138,S0064
H0065,76,10360266,74,65,9,3.9,22,2.46,15.5,0.37,0.325,0.15,0.39,0.11,0.246,3.1,1,0.865,0.356,3.1,0.6626905235255136,0.5734522560335782,S0065
H0066,77,10360266,162,123,39,3.0,14,1.58,9.0,0.81,0.615,0.65,0.3,0.07,0.158,1.8,1,1.5650000000000002,0.228,1.8,0.8097165991902835,0.7793809024134313,S0066
H0067,78,10360266,84,83,1,5.5,34,4.7,30.0,0.42,0.415,0.0166666666666666,0.55,0.17,0.47,6.0,1,0.9816666666666667,0.64,6.0,0.7453416149068323,0.6935991605456453,S0067
H0068,80,10360283,127,106,21,12.4,44,4.69,32.0,0.635,0.53,0.35,1.24,0.22,0.469,6.4,1,2.12,0.689,6.4,0.41135335252982314,0.26128016789087094,S0068
H0069,82,10360284,162,136,26,7.0,33,4.63,34.0,0.81,0.68,0.4333333333333333,0.7,0.165,0.4629999999999999,6.8,1,1.8133333333333332,0.6279999999999999,6.8,0.4575960951799878,0.316894018887723,S0069
H0070,83,10360284,151,126,25,4.8,28,3.28,21.6,0.755,0.63,0.4166666666666667,0.48,0.14,0.3279999999999999,4.32,1,1.5266666666666666,0.4679999999999999,4.32,0.4857512953367876,0.35362014690451204,S0070
H0071,84,10360285,176,170,6,11.0,30,4.49,29.0,0.88,0.85,0.1,1.1,0.15,0.449,5.8,1,2.05,0.599,5.8,0.40799673602611186,0.25603357817418676,S0071
H0072,85,10360285,143,126,17,11.0,34,4.79,30.0,0.715,0.63,0.2833333333333333,1.1,0.17,0.479,6.0,1,2.0133333333333336,0.649,6.0,0.42295220640067666,0.2728226652675761,S0072
H0073,86,10360286,185,151,34,43.2,61,11.78,88.0,0.925,0.755,0.5666666666666667,4.32,0.305,1.178,17.6,1,5.6416666666666675,1.4829999999999999,17.6,0.1938485396743344,0.05823714585519412,S0073
H0074,87,10360322,142,112,30,26.0,42,7.45,58.0,0.71,0.56,0.5,2.6,0.21,0.745,11.6,1,3.66,0.955,11.6,0.2699055330634278,0.10755508919202518,S0074
H0075,88,10360322,108,103,5,11.0,18,1.83,12.5,0.54,0.515,0.0833333333333333,1.1,0.09,0.183,2.5,1,1.6983333333333333,0.273,2.5,0.5550416281221091,0.44176285414480587,S0075
H0076,90,10360366,189,171,18,15.8,36,4.33,27.0,0.945,0.855,0.3,1.58,0.18,0.433,5.4,1,2.7350000000000003,0.613,5.4,0.32030749519538754,0.1589716684155299,S0076
H0077,91,10360414,108,93,15,9.6,23,3.4,25.0,0.54,0.465,0.25,0.96,0.115,0.3399999999999999,5.0,1,1.675,0.4549999999999999,5.0,0.4504504504504504,0.3079748163693599,S0077
H0078,92,10360414,102,84,18,9.6,24,3.73,27.0,0.51,0.42,0.3,0.96,0.12,0.373,5.4,1,1.68,0.493,5.4,0.4572473708276178,0.3163693599160546,S0078
H0079,94,10360415,77,69,8,6.0,18,2.01,14.0,0.385,0.345,0.1333333333333333,0.6,0.09,0.2009999999999999,2.8,1,1.0783333333333331,0.2909999999999999,2.8,0.5594927265945543,0.4459601259181532,S0079
H0080,95,10360458,9,9,0,2.2,0,0.07,0.2,0.045,0.045,0.0,0.22,0.0,0.007,0.04,1,0.265,0.007,0.04,0.9680542110358181,0.9687827911857293,S0080
H0081,96,10360458,16,16,0,2.2,3,0.37,3.0,0.08,0.08,0.0,0.22,0.015,0.037,0.6,1,0.3,0.052,0.6,0.8012820512820513,0.7649527806925498,S0081
H0082,98,10360460,66,46,20,9.6,16,2.41,17.0,0.33,0.23,0.3333333333333333,0.96,0.08,0.241,3.4,1,1.5233333333333334,0.321,3.4,0.45406387165127887,0.3142707240293809,S0082
H0083,99,10360462,124,97,27,12.4,46,6.68,50.5,0.62,0.485,0.45,1.24,0.23,0.6679999999999999,10.1,1,2.175,0.8979999999999999,10.1,0.43917435221783047,0.29249737670514164,S0083
H0084,100,10360464,91,80,11,0.0,22,2.95,22.5,0.455,0.4,0.1833333333333333,0.0,0.11,0.295,4.5,0,0.5833333333333333,1000000.0,4.5,0.20338983050847456,0.06400839454354669,S0084
H0085,101,10360465,138,120,18,9.6,12,1.32,10.5,0.69,0.6,0.3,0.96,0.06,0.132,2.1,1,1.8599999999999999,0.192,2.1,0.8064516129032256,0.7712486883525709,S0085
H0086,102,10360465,130,113,17,9.6,20,2.74,20.5,0.65,0.565,0.2833333333333333,0.96,0.1,0.274,4.1,1,1.8083333333333331,0.374,4.1,0.4107900862659182,0.2602308499475341,S0086
H0087,103,10360475,53,53,0,2.8,1,0.16,0.7,0.265,0.265,0.0,0.2799999999999999,0.005,0.016,0.1399999999999999,1,0.5449999999999999,0.021,0.1399999999999999,0.8936550491510277,0.883788037775446,S0087
H0088,104,10360475,162,141,21,21.0,85,14.37,109.0,0.81,0.705,0.35,2.1,0.425,1.4369999999999998,21.8,1,3.1550000000000002,1.8619999999999999,21.8,0.436109899694723,0.2898740818467996,S0088
H0089,105,10360518,104,93,11,11.0,35,4.63,31.0,0.52,0.465,0.1833333333333333,1.1,0.175,0.4629999999999999,6.2,1,1.7483333333333335,0.6379999999999999,6.2,0.4738587900805559,0.33840503672612804,S0089
H0090,106,10360519,279,241,38,46.2,117,15.35,109.0,1.395,1.205,0.6333333333333333,4.62,0.585,1.535,21.8,1,6.458333333333334,2.12,21.8,0.1873243833905713,0.05508919202518363,S0090
H0091,107,10360519,127,69,58,12.4,31,3.48,24.0,0.635,0.345,0.9666666666666668,1.24,0.155,0.348,4.8,1,2.5516666666666667,0.503,4.8,0.3280122457905095,0.16421825813221405,S0091
H0092,108,10360526,151,141,10,0.0,44,5.89,38.5,0.755,0.705,0.1666666666666666,0.0,0.22,0.589,7.7,1,0.8716666666666666,0.8089999999999999,7.7,0.9410288582183187,0.9386149003147953,S0092
H0093,109,10360527,102,85,17,4.8,14,2.24,16.5,0.51,0.425,0.2833333333333333,0.48,0.07,0.224,3.3,1,1.1883333333333332,0.29400000000000004,3.3,0.5278901988386416,0.39979013641133265,S0093
H0094,110,10360527,82,69,13,3.0,12,1.48,11.0,0.41,0.345,0.2166666666666666,0.3,0.06,0.148,2.2,1,0.8616666666666666,0.208,2.2,0.6047167909695627,0.5010493179433368,S0094
H0095,111,10360532,105,87,18,11.0,29,4.63,31.0,0.525,0.435,0.3,1.1,0.145,0.4629999999999999,6.2,1,1.835,0.6079999999999999,6.2,0.44903457566232596,0.30535152151101785,S0095
H0096,114,10360533,251,192,59,65.8,76,15.96,119.0,1.255,0.96,0.9833333333333332,6.58,0.38,1.596,23.8,1,8.523333333333333,1.976,23.8,0.1324971292288667,0.022560335781741866,S0096
H0097,115,10360536,166,161,5,12.6,41,4.34,30.0,0.83,0.805,0.0833333333333333,1.26,0.205,0.434,6.0,1,2.1483333333333334,0.639,6.0,0.3985122210414453,0.24763903462749212,S0097
H0098,121,10360564,105,93,12,10.2,45,6.78,49.0,0.525,0.465,0.2,1.02,0.225,0.678,9.8,1,1.685,0.903,9.8,0.5611672278338945,0.44700944386149005,S0098
H0099,122,10360564,146,134,12,16.4,55,9.92,72.0,0.73,0.67,0.2,1.64,0.275,0.992,14.4,1,2.51,1.267,14.4,0.4458314757021846,0.3001049317943337,S0099
H0100,123,10360566,141,133,8,14.4,36,4.87,32.0,0.705,0.665,0.1333333333333333,1.44,0.18,0.487,6.4,1,2.2383333333333333,0.667,6.4,0.38890329271454493,0.23504721930745015,S0100
H0101,124,10360574,58,54,4,4.8,16,2.42,16.0,0.29,0.27,0.0666666666666666,0.48,0.08,0.242,3.2,1,0.8166666666666667,0.322,3.2,0.6690454950936664,0.5813221406086044,S0101
H0102,125,10360574,51,38,13,4.8,16,1.22,8.5,0.255,0.19,0.2166666666666666,0.48,0.08,0.122,1.7,1,0.8866666666666666,0.202,1.7,0.5935892362485161,0.4837355718782791,S0102
H0103,126,10360574,44,44,0,4.8,15,2.24,14.0,0.22,0.22,0.0,0.48,0.075,0.224,2.8,1,0.7,0.299,2.8,0.7137758743754461,0.6511017838405037,S0103
H0104,127,10360575,81,36,45,6.2,15,2.39,18.0,0.405,0.18,0.75,0.62,0.075,0.239,3.6,1,1.5499999999999998,0.314,3.6,0.44722719141323797,0.30220356768100737,S0104
H0105,128,10360575,19,19,0,2.2,3,0.42,3.0,0.095,0.095,0.0,0.22,0.015,0.0419999999999999,0.6,1,0.315,0.0569999999999999,0.6,0.794912559618442,0.7570828961175237,S0105
H0106,129,10360575,49,47,2,2.4,16,2.42,16.0,0.245,0.235,0.0333333333333333,0.24,0.08,0.242,3.2,1,0.5083333333333333,0.322,3.2,0.8429334082607475,0.825813221406086,S0106
H0107,131,10360624,90,82,8,5.5,35,4.73,31.0,0.45,0.41,0.1333333333333333,0.55,0.175,0.473,6.2,1,1.0933333333333333,0.6479999999999999,6.2,0.6918819188191881,0.612277019937041,S0107
H0108,132,10360626,45,45,0,2.4,15,2.15,15.0,0.225,0.225,0.0,0.24,0.075,0.215,3.0,1,0.46499999999999997,0.29,3.0,0.851063829787234,0.8360440713536201,S0108
H0109,133,10540009,222,188,34,49.6,55,9.06,69.0,1.11,0.94,0.5666666666666667,4.96,0.275,0.906,13.8,1,6.466666666666667,1.181,13.8,0.1590921143341995,0.03410283315844701,S0109
H0110,134,10540009,99,96,3,5.6,16,1.76,13.0,0.495,0.48,0.05,0.5599999999999999,0.08,0.176,2.6,1,1.0899999999999999,0.256,2.6,0.5452562704471102,0.4286463798530955,S0110
H0111,135,10540009,65,65,0,5.4,5,0.6,3.8,0.325,0.325,0.0,0.54,0.025,0.06,0.76,1,0.865,0.08499999999999999,0.76,0.9049773755656109,0.8958551941238195,S0111
H0112,136,10540031,306,261,45,20.2,92,10.89,82.5,1.53,1.305,0.75,2.02,0.46,1.089,16.5,1,4.074999999999999,1.549,16.5,0.2836074872376631,0.12277019937040923,S0112
H0113,137,10540046,120,116,4,6.1,39,3.85,22.5,0.6,0.58,0.0666666666666666,0.61,0.195,0.385,4.5,1,1.2566666666666664,0.5800000000000001,4.5,0.5964214711729624,0.4879328436516264,S0113
H0114,138,10540063,67,63,4,4.8,10,1.09,8.0,0.335,0.315,0.0666666666666666,0.48,0.05,0.109,1.6,1,0.8616666666666666,0.159,1.6,0.5873140172278779,0.47848898216159497,S0114
H0115,139,10540063,57,52,5,4.8,18,2.15,15.0,0.285,0.26,0.0833333333333333,0.48,0.09,0.215,3.0,1,0.8233333333333333,0.305,3.0,0.6586169045005489,0.5679433368310598,S0115
H0116,140,10540066,57,55,2,2.4,17,1.99,15.0,0.285,0.275,0.0333333333333333,0.24,0.085,0.199,3.0,1,0.5483333333333333,0.28400000000000003,3.0,0.7909306617453203,0.7523609653725079,S0116
H0117,141,10540067,26,26,0,2.2,32,3.31,25.0,0.13,0.13,0.0,0.22,0.16,0.331,5.0,1,0.35,0.491,5.0,0.8764241893076249,0.8651626442812173,S0117
H0118,142,10540067,10,10,0,2.2,0,0.07,0.4,0.05,0.05,0.0,0.22,0.0,0.007,0.08,1,0.27,0.007,0.08,0.9319664492078286,0.9262854144805877,S0118
H0119,143,10540067,66,64,2,2.2,16,1.75,12.0,0.33,0.32,0.0333333333333333,0.22,0.08,0.175,2.4,1,0.5733333333333333,0.255,2.4,0.7585335018963337,0.7103882476390346,S0119
H0120,144,10540067,42,42,0,2.2,3,0.36,2.0,0.21,0.21,0.0,0.22,0.015,0.036,0.4,1,0.43,0.051,0.4,0.970873786407767,0.974816369359916,S0120
H0121,145,10540128,124,119,5,12.2,40,3.77,23.5,0.62,0.595,0.0833333333333333,1.22,0.2,0.377,4.7,1,1.8983333333333332,0.577,4.7,0.430786904078116,0.282791185729276,S0121
H0122,146,10540130,120,116,4,4.5,40,3.96,23.5,0.6,0.58,0.0666666666666666,0.45,0.2,0.396,4.7,1,1.0966666666666665,0.5960000000000001,4.7,0.6663705019991116,0.5786988457502623,S0122
H0123,147,10540130,120,118,2,5.5,36,3.64,24.0,0.6,0.59,0.0333333333333333,0.55,0.18,0.364,4.8,1,1.1733333333333333,0.544,4.8,0.6137479541734862,0.5141657922350472,S0123
H0124,148,10540131,101,92,9,8.8,31,4.54,32.0,0.505,0.46,0.15,0.8800000000000001,0.155,0.454,6.4,1,1.4900000000000002,0.609,6.4,0.5316321105794789,0.40398740818467993,S0124
H0125,149,10540131,105,104,1,7.1,31,4.51,32.0,0.525,0.52,0.0166666666666666,0.71,0.155,0.4509999999999999,6.4,1,1.2466666666666666,0.6059999999999999,6.4,0.609508329947176,0.5086568730325288,S0125
H0126,150,10540168,149,144,5,3.9,14,1.5,10.0,0.745,0.72,0.0833333333333333,0.39,0.07,0.15,2.0,1,1.1933333333333334,0.22,2.0,0.5535055350553506,0.43756558237145854,S0126
H0127,151,10540169,112,109,3,3.9,20,2.21,17.5,0.56,0.545,0.05,0.39,0.1,0.221,3.5,1,0.9850000000000001,0.321,3.5,0.6009615384615384,0.4947534102833158,S0127
H0128,152,10540178,66,34,32,4.8,3,0.39,2.5,0.33,0.17,0.5333333333333333,0.48,0.015,0.039,0.5,1,1.1833333333333333,0.054,0.5,0.6915629322268326,0.6112277019937041,S0128
H0129,153,10540178,186,167,19,8.2,34,3.94,28.0,0.93,0.835,0.3166666666666666,0.82,0.17,0.394,5.6,1,1.9716666666666667,0.5640000000000001,5.6,0.41533988647376435,0.2660020986358867,S0129
H0130,154,10540184,110,102,8,11.0,13,1.23,6.0,0.55,0.51,0.1333333333333333,1.1,0.065,0.123,1.2,1,1.7433333333333334,0.188,1.2,0.6479481641468682,0.5524658971668416,S0130
H0131,155,10540184,111,91,20,11.0,13,1.23,6.0,0.555,0.455,0.3333333333333333,1.1,0.065,0.123,1.2,1,1.8883333333333334,0.188,1.2,0.5923000987166831,0.4832109129066107,S0131
H0132,157,10540187,96,91,5,0.0,34,3.2,18.0,0.48,0.455,0.0833333333333333,0.0,0.17,0.32,3.6,1,0.5383333333333333,0.49,3.6,0.9538950715421304,0.9543546694648478,S0132
