respondent_id,normalized_weight,Choice,CAR_AVAILABLE,PT_AVAILABLE,SLOW_AVAILABLE,TimePT,TimeCar,WaitingTimePT,MarginalCostPT,CostCarCHF,distance_km,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,work_trip,other_trip,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,task_index,panel_row_index
H0014,0.8832827856419051,1,1,1,1,159,28,11,43.2,4.61,32.5,0.795,0.14,0.1833333333333333,4.32,0.461,6.5,1,0,0,0,0,0,15.0,1,0,1,0,1,3,6,3,5,1,5,1,1
H0015,0.2290902236010023,1,1,1,1,194,47,22,9.6,6.98,51.5,0.97,0.235,0.3666666666666666,0.96,0.6980000000000001,10.3,0,0,0,1,0,0,9.0,0,0,0,0,1,4,2,2,4,2,4,1,1
H0016,0.2290902236010023,1,1,1,1,126,26,12,6.6,3.68,27.0,0.63,0.13,0.2,0.6599999999999999,0.368,5.4,0,0,0,1,0,0,9.0,0,0,0,0,1,4,2,2,4,2,4,1,1
H0017,0.2545934244605354,1,1,1,1,219,49,86,38.4,9.04,67.0,1.095,0.245,1.4333333333333331,3.84,0.904,13.4,0,0,0,1,0,0,15.0,1,0,0,1,0,1,3,2,5,1,2,1,1
H0018,0.2290902236010023,1,1,1,1,193,40,14,15.8,5.03,32.5,0.965,0.2,0.2333333333333333,1.58,0.503,6.5,0,0,0,0,0,0,15.0,0,0,0,0,1,1,2,3,5,1,4,1,1
H0019,0.3735873657560173,1,1,1,1,185,61,34,43.2,11.78,88.0,0.925,0.305,0.5666666666666667,4.32,1.178,17.6,1,0,0,0,0,0,7.0,1,0,1,0,1,3,2,1,5,1,1,1,1
H0020,0.5414274486172608,1,1,1,1,142,42,30,26.0,7.45,58.0,0.71,0.21,0.5,2.6,0.745,11.6,0,0,0,1,0,0,7.0,1,0,0,0,1,2,2,3,5,1,1,1,1
H0021,0.2545934244605354,1,1,1,1,108,23,15,9.6,3.4,25.0,0.54,0.115,0.25,0.96,0.3399999999999999,5.0,0,0,0,1,0,0,7.0,0,0,1,0,1,1,1,3,4,4,2,1,1
H0022,0.2545934244605354,1,1,1,1,102,24,18,9.6,3.73,27.0,0.51,0.12,0.3,0.96,0.373,5.4,0,0,0,1,0,0,7.0,0,0,1,1,0,1,1,3,4,4,2,1,1
H0023,2.256576028779217,1,1,1,1,66,16,20,9.6,2.41,17.0,0.33,0.08,0.3333333333333333,0.96,0.241,3.4,0,1,0,1,0,1,9.0,1,0,0,0,1,2,2,3,4,2,2,1,1
H0024,5.694231137832636,0,0,1,1,91,22,11,0.0,2.95,22.5,0.455,0.11,0.1833333333333333,0.0,0.295,4.5,0,1,0,1,0,1,9.0,1,0,0,1,0,2,4,2,4,3,3,1,1
H0025,0.7944811628173415,1,1,1,1,104,35,11,11.0,4.63,31.0,0.52,0.175,0.1833333333333333,1.1,0.4629999999999999,6.2,1,0,0,1,0,1,15.0,1,0,1,1,0,2,2,1,5,1,4,1,1
H0026,0.6019450605361366,1,1,1,1,279,117,38,46.2,15.35,109.0,1.395,0.585,0.6333333333333333,4.62,1.535,21.8,1,0,0,1,0,1,15.0,1,0,0,1,0,3,2,4,4,3,4,1,1
H0027,0.6019450605361366,1,1,1,1,127,31,58,12.4,3.48,24.0,0.635,0.155,0.9666666666666668,1.24,0.348,4.8,1,0,0,1,0,1,15.0,1,0,0,0,1,3,2,4,4,3,4,1,1
H0028,9.027458897812208,0,1,1,1,151,44,10,0.0,5.89,38.5,0.755,0.22,0.1666666666666666,0.0,0.589,7.7,0,1,0,1,0,0,5.0,1,0,1,0,1,2,4,3,4,1,1,1,1
H0029,0.5414274486172608,1,1,1,1,251,76,59,65.8,15.96,119.0,1.255,0.38,0.9833333333333332,6.58,1.596,23.8,0,0,0,1,0,0,9.0,0,0,0,0,1,1,2,1,5,1,4,1,1
H0030,0.6019450605361366,1,1,1,1,166,41,5,12.6,4.34,30.0,0.83,0.205,0.0833333333333333,1.26,0.434,6.0,1,0,0,0,0,0,7.0,1,0,1,0,1,1,2,4,5,4,2,1,1
H0031,0.954424398357919,1,1,1,1,141,36,8,14.4,4.87,32.0,0.705,0.18,0.1333333333333333,1.44,0.487,6.4,0,1,0,0,0,0,7.0,0,0,0,0,1,1,2,2,4,2,4,1,1
H0032,1.423375818700105,0,1,1,1,90,35,8,5.5,4.73,31.0,0.45,0.175,0.1333333333333333,0.55,0.473,6.2,0,1,0,0,0,1,-0.001,1,0,0,1,0,3,2,2,5,1,1,1,1
H0033,0.8584724543995766,1,1,1,1,222,55,34,49.6,9.06,69.0,1.11,0.275,0.5666666666666667,4.96,0.906,13.8,0,1,0,0,0,0,7.0,1,0,1,1,0,2,6,3,4,3,3,1,1
H0034,0.8584724543995766,1,1,1,1,306,92,45,20.2,10.89,82.5,1.53,0.46,0.75,2.02,1.089,16.5,0,1,0,1,0,0,7.0,1,0,0,0,1,2,6,1,5,1,2,1,1
H0035,0.2545934244605354,1,1,1,1,120,39,4,6.1,3.85,22.5,0.6,0.195,0.0666666666666666,0.61,0.385,4.5,0,0,0,0,0,0,5.0,1,0,1,0,1,4,4,1,5,1,3,1,1
H0036,0.954424398357919,1,1,1,1,120,40,4,4.5,3.96,23.5,0.6,0.2,0.0666666666666666,0.45,0.396,4.7,0,1,0,0,0,0,9.0,1,0,1,0,1,2,1,1,5,1,2,1,1
H0037,0.954424398357919,1,1,1,1,120,36,2,5.5,3.64,24.0,0.6,0.18,0.0333333333333333,0.55,0.364,4.8,0,1,0,0,0,0,9.0,1,0,1,1,0,2,1,1,5,1,2,1,1
H0038,0.954424398357919,1,1,1,1,186,34,19,8.2,3.94,28.0,0.93,0.17,0.3166666666666666,0.82,0.394,5.6,0,1,0,1,0,0,9.0,0,0,1,0,1,1,1,1,4,1,4,1,1
H0039,0.2545934244605354,1,1,1,1,110,13,8,11.0,1.23,6.0,0.55,0.065,0.1333333333333333,1.1,0.123,1.2,1,0,0,0,0,0,15.0,1,0,1,0,1,4,2,3,5,1,2,1,1
H0040,0.2545934244605354,1,1,1,1,111,13,20,11.0,1.23,6.0,0.555,0.065,0.3333333333333333,1.1,0.123,1.2,1,0,0,0,0,0,15.0,1,0,1,1,0,4,2,3,5,1,2,1,1
H0041,0.954424398357919,1,1,1,1,96,34,5,0.0,3.2,18.0,0.48,0.17,0.0833333333333333,0.0,0.32,3.6,0,1,0,0,0,0,15.0,1,0,1,1,0,1,4,2,4,1,3,1,1
H0042,0.5414274486172608,0,1,1,1,119,38,11,5.5,4.57,32.0,0.595,0.19,0.1833333333333333,0.55,0.457,6.4,0,0,0,0,0,1,5.0,1,0,0,1,0,3,1,3,4,2,2,1,1
H0043,0.6019450605361366,0,1,1,1,46,35,8,0.0,3.67,25.0,0.23,0.175,0.1333333333333333,0.0,0.367,5.0,0,0,0,1,0,1,7.0,1,1,0,1,0,1,3,3,4,4,4,1,1
H0044,0.5414274486172608,0,1,1,1,123,41,11,0.0,4.08,23.5,0.615,0.205,0.1833333333333333,0.0,0.408,4.7,0,0,0,0,0,1,5.0,1,0,0,0,1,3,3,1,5,1,3,1,1
H0045,0.3360277669782562,1,1,1,1,234,40,49,7.9,4.18,28.8,1.17,0.2,0.8166666666666667,0.79,0.418,5.76,1,0,0,0,0,0,9.0,1,0,0,1,0,4,4,1,5,1,4,1,1
H0046,0.3735873657560173,1,1,1,1,270,171,50,43.3,28.12,208.0,1.35,0.855,0.8333333333333334,4.33,2.8120000000000003,41.6,1,0,0,0,0,0,15.0,1,0,1,0,1,4,2,2,5,2,2,1,1
H0047,0.7944811628173415,0,0,1,1,167,63,17,12.5,9.76,68.0,0.835,0.315,0.2833333333333333,1.25,0.976,13.6,1,0,0,1,0,0,15.0,1,0,1,0,1,4,6,3,5,2,2,1,1
H0048,0.954424398357919,1,1,1,1,470,180,31,61.2,29.12,206.0,2.35,0.9,0.5166666666666667,6.12,2.912,41.2,0,1,0,0,1,0,9.0,1,1,0,0,1,2,6,3,4,2,4,1,1
H0049,0.2290902236010023,1,1,1,1,76,14,7,3.8,1.53,10.9,0.38,0.07,0.1166666666666666,0.38,0.153,2.18,0,0,0,1,0,0,9.0,1,0,1,0,1,2,4,2,5,1,2,1,1
H0050,0.2545934244605354,1,1,1,1,140,66,18,13.3,6.71,37.0,0.7,0.33,0.3,1.33,0.671,7.4,1,0,0,1,0,0,15.0,1,1,0,0,1,4,3,2,4,1,2,1,1
H0051,0.2290902236010023,1,1,1,1,111,16,0,10.4,1.82,11.5,0.555,0.08,0.0,1.04,0.182,2.3,1,0,0,0,0,0,15.0,1,0,0,0,1,4,3,2,4,1,2,1,1
H0052,0.7944811628173415,1,1,1,1,207,55,27,24.8,5.98,44.0,1.035,0.275,0.45,2.48,0.5980000000000001,8.8,1,0,0,1,0,1,7.0,1,0,0,0,1,2,6,2,3,2,1,1,1
H0053,9.027458897812208,1,1,1,1,117,33,0,8.8,3.48,23.0,0.585,0.165,0.0,0.8800000000000001,0.348,4.6,0,1,0,1,0,0,7.0,0,0,1,1,0,1,4,1,4,1,2,1,1
H0054,0.2290902236010023,1,1,1,1,96,32,3,11.0,3.41,18.0,0.48,0.16,0.05,1.1,0.341,3.6,1,0,0,1,0,0,7.0,1,0,0,1,0,1,1,1,4,2,1,1,1
H0055,0.1999290444257219,1,1,1,1,166,44,5,12.2,4.47,28.5,0.83,0.22,0.0833333333333333,1.22,0.4469999999999999,5.7,1,0,0,0,0,0,3.25,1,0,0,0,1,1,3,1,4,2,2,1,1
H0056,0.954424398357919,1,1,1,1,110,35,0,11.0,3.4,19.0,0.55,0.175,0.0,1.1,0.3399999999999999,3.8,0,1,1,0,0,0,9.0,1,1,0,1,0,2,3,6,4,2,3,1,1
H0057,0.2545934244605354,1,1,1,1,46,5,0,5.6,0.72,4.1,0.23,0.025,0.0,0.5599999999999999,0.072,0.82,0,0,1,0,0,0,7.0,0,1,0,0,1,4,3,4,4,2,1,1,1
H0058,0.2545934244605354,1,1,1,1,265,45,37,19.2,6.31,42.0,1.325,0.225,0.6166666666666667,1.92,0.631,8.4,0,0,1,0,0,0,7.0,0,1,0,0,1,4,3,4,4,2,1,1,1
H0059,0.3360277669782562,1,1,1,1,461,117,41,79.4,17.77,134.0,2.305,0.585,0.6833333333333333,7.94,1.777,26.8,1,0,0,0,0,0,15.0,1,0,1,0,1,3,3,1,4,1,2,1,1
H0060,2.029711386372872,1,1,1,1,84,31,12,9.6,3.24,23.0,0.42,0.155,0.2,0.96,0.324,4.6,0,1,0,0,0,0,9.0,1,0,0,1,0,1,6,1,4,1,3,1,1
H0061,0.6019450605361366,1,1,1,1,141,28,17,6.0,2.92,21.0,0.705,0.14,0.2833333333333333,0.6,0.292,4.2,0,0,0,0,0,0,15.0,1,0,1,0,1,1,3,3,3,2,2,1,1
H0062,0.6019450605361366,1,1,1,1,118,28,15,6.0,2.92,21.0,0.59,0.14,0.25,0.6,0.292,4.2,0,0,0,0,0,0,15.0,1,0,1,0,1,1,3,3,3,2,2,1,1
H0063,0.3360277669782562,1,1,1,1,135,20,37,13.2,2.19,15.6,0.675,0.1,0.6166666666666667,1.3199999999999998,0.219,3.12,1,0,0,0,0,0,15.0,1,0,1,0,1,3,2,2,5,1,1,1,1
H0064,0.3360277669782562,1,1,1,1,68,7,0,5.2,0.79,5.5,0.34,0.035,0.0,0.52,0.079,1.1,1,0,0,0,0,0,15.0,1,0,1,0,1,3,2,2,5,1,1,1,1
H0065,0.3735873657560173,1,1,1,1,232,77,9,50.0,10.15,72.0,1.16,0.385,0.15,5.0,1.015,14.4,1,0,0,0,0,0,15.0,1,0,1,0,1,2,2,3,4,3,2,1,1
H0066,0.8832827856419051,0,1,1,1,141,44,10,7.0,4.64,31.5,0.705,0.22,0.1666666666666666,0.7,0.4639999999999999,6.3,1,0,0,0,0,1,10.807,1,0,1,0,1,3,2,3,4,3,2,1,1
H0067,0.8584724543995766,1,1,1,1,245,71,15,14.2,9.37,66.0,1.225,0.355,0.25,1.42,0.937,13.2,0,1,0,0,1,0,9.0,0,0,1,0,1,2,4,1,5,1,3,1,1
H0068,0.8584724543995766,1,1,1,1,85,35,3,5.5,3.54,24.0,0.425,0.175,0.05,0.55,0.354,4.8,0,1,0,0,1,0,9.0,0,0,1,1,0,2,4,1,5,1,3,1,1
H0069,0.2545934244605354,1,1,1,1,154,30,0,4.8,3.24,19.6,0.77,0.15,0.0,0.48,0.324,3.92,1,0,0,0,0,0,9.0,1,0,1,0,1,4,5,1,5,1,3,1,1
H0070,0.8584724543995766,0,0,1,1,128,46,10,0.0,5.4,33.1,0.64,0.23,0.1666666666666666,0.0,0.54,6.62,0,1,0,1,0,0,9.0,0,1,0,0,1,3,1,2,4,1,2,1,1
H0071,0.3735873657560173,1,1,1,1,239,70,30,22.7,9.46,70.5,1.195,0.35,0.5,2.27,0.946,14.1,1,0,1,0,0,0,15.0,1,0,0,0,1,5,2,2,5,2,3,1,1
H0072,0.2290902236010023,1,1,1,1,155,47,33,22.6,5.93,43.0,0.775,0.235,0.55,2.26,0.593,8.6,1,0,1,0,0,0,15.0,1,1,0,1,0,1,3,1,4,1,2,1,1
H0073,0.2290902236010023,1,1,1,1,206,71,32,26.0,9.56,71.0,1.03,0.355,0.5333333333333333,2.6,0.956,14.2,0,0,0,1,0,0,9.0,1,1,0,1,0,3,6,3,4,2,3,1,1
H0074,0.8584724543995766,1,1,1,1,70,10,0,3.4,1.02,5.0,0.35,0.05,0.0,0.3399999999999999,0.102,1.0,0,1,0,1,0,0,7.0,1,0,0,1,0,2,2,1,4,1,2,1,1
H0075,0.8584724543995766,1,1,1,1,35,9,0,3.4,1.0,5.0,0.175,0.045,0.0,0.3399999999999999,0.1,1.0,0,1,0,1,0,0,7.0,1,0,0,1,0,2,2,1,4,1,2,1,1
H0076,2.256576028779217,1,1,1,1,183,69,53,17.2,12.93,96.0,0.915,0.345,0.8833333333333333,1.72,1.293,19.2,0,1,0,1,0,0,15.0,1,0,1,0,1,2,4,4,4,3,2,1,1
H0077,0.954424398357919,0,1,1,1,145,54,20,0.0,9.84,76.0,0.725,0.27,0.3333333333333333,0.0,0.984,15.2,0,1,0,1,0,0,7.0,1,0,0,1,0,5,4,1,5,1,3,1,1
H0078,2.256576028779217,1,1,1,1,284,95,74,0.0,17.77,128.0,1.42,0.475,1.2333333333333334,0.0,1.777,25.6,0,1,1,0,0,0,15.0,1,1,0,0,1,3,2,3,4,2,5,1,1
H0079,2.256576028779217,1,1,1,1,126,20,30,11.4,2.32,15.0,0.63,0.1,0.5,1.14,0.2319999999999999,3.0,0,1,0,1,0,0,9.0,1,1,0,0,1,4,1,1,4,1,1,1,1
H0080,2.256576028779217,1,1,1,1,134,20,28,8.0,2.32,15.0,0.67,0.1,0.4666666666666667,0.8,0.2319999999999999,3.0,0,1,0,1,0,0,9.0,1,1,0,1,0,4,1,1,4,1,1,1,1
H0081,0.7495589495214057,1,1,1,1,57,17,0,3.7,1.69,9.0,0.285,0.085,0.0,0.37,0.1689999999999999,1.8,0,1,0,0,1,1,7.0,1,0,0,1,0,6,5,3,5,1,2,1,1
H0082,0.3735873657560173,1,1,1,1,289,62,81,40.0,11.32,85.0,1.445,0.31,1.35,4.0,1.132,17.0,1,0,1,0,0,0,15.0,1,0,1,0,1,1,4,2,5,1,2,1,1
H0083,2.029711386372872,1,1,1,1,127,36,0,29.0,5.36,39.0,0.635,0.18,0.0,2.9,0.536,7.8,0,1,0,0,0,0,5.0,1,0,0,1,0,2,1,2,4,2,2,1,1
H0084,0.2290902236010023,1,1,1,1,76,27,4,7.9,3.53,25.5,0.38,0.135,0.0666666666666666,0.79,0.353,5.1,0,0,0,1,0,0,5.0,1,0,0,0,1,1,6,1,4,1,1,1,1
H0085,0.2545934244605354,1,1,1,1,162,34,54,21.6,5.12,37.0,0.81,0.17,0.9,2.16,0.512,7.4,1,0,0,1,0,0,3.25,1,0,1,1,0,1,1,1,4,1,4,1,1
H0086,0.2545934244605354,1,1,1,1,150,32,15,23.2,5.07,35.0,0.75,0.16,0.25,2.32,0.507,7.0,1,0,0,1,0,0,3.25,1,0,1,1,0,1,1,1,4,1,4,1,1
H0087,0.1999290444257219,1,1,1,1,44,12,0,6.8,1.39,10.5,0.22,0.06,0.0,0.6799999999999999,0.1389999999999999,2.1,1,0,0,0,1,0,5.0,1,0,0,1,0,2,3,2,4,2,2,1,1
H0088,0.3735873657560173,1,1,1,1,188,51,15,45.0,6.48,51.0,0.94,0.255,0.25,4.5,0.648,10.2,1,0,0,0,0,0,15.0,0,0,0,0,1,1,1,1,5,1,5,1,1
H0089,0.2290902236010023,2,1,1,1,26,16,0,6.0,1.89,12.0,0.13,0.08,0.0,0.6,0.189,2.4,1,0,0,0,0,0,15.0,0,0,0,1,0,2,3,2,5,1,2,1,1
H0090,0.2290902236010023,2,1,1,1,26,16,0,6.0,1.89,12.0,0.13,0.08,0.0,0.6,0.189,2.4,1,0,0,0,0,0,15.0,0,0,0,1,0,2,3,2,5,1,2,1,1
H0091,0.954424398357919,0,1,1,1,180,86,30,51.4,18.69,122.0,0.9,0.43,0.5,5.14,1.869,24.4,0,1,0,1,0,0,9.0,0,0,0,0,1,3,2,1,4,1,1,1,1
H0092,0.5414274486172608,1,1,1,1,129,33,14,32.0,5.13,37.0,0.645,0.165,0.2333333333333333,3.2,0.513,7.4,1,0,0,0,0,0,15.0,1,1,0,1,0,1,2,2,4,2,2,1,1
H0093,0.8584724543995766,2,1,1,1,27,2,0,3.0,0.39,2.5,0.135,0.01,0.0,0.3,0.039,0.5,0,1,0,0,1,0,7.0,1,0,0,0,1,2,2,3,5,3,4,1,1
H0094,0.954424398357919,1,1,1,1,113,42,0,34.6,5.4,42.0,0.565,0.21,0.0,3.46,0.54,8.4,0,1,0,0,0,0,5.0,1,0,0,1,0,2,6,3,3,1,2,1,1
H0095,0.954424398357919,1,1,1,1,188,42,37,34.6,5.4,42.0,0.94,0.21,0.6166666666666667,3.46,0.54,8.4,0,1,0,0,0,0,5.0,1,0,0,0,1,2,6,3,3,1,2,1,1
H0096,2.256576028779217,1,1,1,1,221,56,43,38.4,9.49,72.0,1.105,0.28,0.7166666666666667,3.84,0.949,14.4,0,1,0,1,0,0,7.0,1,0,0,0,1,2,3,1,5,1,1,1,1
H0097,2.029711386372872,1,1,1,1,72,27,1,7.6,4.13,31.0,0.36,0.135,0.0166666666666666,0.76,0.413,6.2,0,1,0,1,0,0,3.25,0,0,0,0,1,4,3,4,4,2,2,1,1
H0098,2.029711386372872,1,1,1,1,126,27,15,14.8,4.14,31.0,0.63,0.135,0.25,1.48,0.414,6.2,0,1,0,1,0,0,3.25,0,0,0,0,1,4,3,4,4,2,2,1,1
H0099,0.6019450605361366,1,1,1,1,338,63,72,51.8,14.32,101.0,1.69,0.315,1.2,5.18,1.432,20.2,1,0,0,0,0,0,9.035,0,0,0,0,1,2,3,2,5,2,3,1,1
H0100,0.2290902236010023,1,1,1,1,220,59,37,20.9,10.27,78.5,1.1,0.295,0.6166666666666667,2.09,1.027,15.7,1,0,0,1,0,0,15.0,0,0,0,0,1,2,4,4,4,2,2,1,1
H0101,0.3360277669782562,1,1,1,1,28,7,0,6.0,0.79,4.5,0.14,0.035,0.0,0.6,0.079,0.9,1,0,0,0,0,0,7.0,1,0,0,1,0,2,1,1,4,1,1,1,1
H0102,2.029711386372872,1,1,1,1,262,30,33,49.2,3.93,27.0,1.31,0.15,0.55,4.92,0.393,5.4,0,1,0,0,0,0,7.384,0,0,0,0,1,3,6,6,2,1,5,1,1
H0103,0.3360277669782562,1,1,1,1,72,14,0,2.6,1.39,5.5,0.36,0.07,0.0,0.26,0.1389999999999999,1.1,1,0,0,0,0,0,15.0,1,0,1,0,1,5,5,2,5,1,4,1,1
H0104,0.3360277669782562,1,1,1,1,73,14,3,2.6,1.39,5.5,0.365,0.07,0.05,0.26,0.1389999999999999,1.1,1,0,0,0,0,0,15.0,1,0,1,1,0,5,5,2,5,1,4,1,1
H0105,0.2290902236010023,1,1,1,1,82,26,0,10.6,2.67,16.2,0.41,0.13,0.0,1.06,0.267,3.24,0,0,0,1,0,0,7.0,1,1,0,0,1,1,6,2,4,2,2,1,1
H0106,0.7944811628173415,1,1,1,1,75,39,0,6.2,3.97,25.0,0.375,0.195,0.0,0.62,0.397,5.0,1,0,0,0,0,1,5.0,1,0,0,0,1,2,1,2,4,1,4,1,1
H0107,0.2545934244605354,1,1,1,1,44,15,0,3.2,1.63,7.1,0.22,0.075,0.0,0.32,0.1629999999999999,1.42,1,0,0,0,0,0,7.0,1,0,0,0,1,1,1,2,3,2,2,1,1
H0108,0.2545934244605354,1,1,1,1,78,27,11,3.7,2.81,13.5,0.39,0.135,0.1833333333333333,0.37,0.281,2.7,1,0,0,0,0,0,7.0,1,0,0,1,0,1,1,2,3,2,2,1,1
H0109,0.8584724543995766,1,1,1,1,89,28,4,7.4,2.87,14.0,0.445,0.14,0.0666666666666666,0.74,0.287,2.8,0,1,0,1,0,0,7.0,1,0,0,1,0,2,1,2,4,1,1,1,1
H0110,0.6019450605361366,1,1,1,1,96,38,0,11.0,3.78,16.9,0.48,0.19,0.0,1.1,0.378,3.38,1,0,1,0,0,0,15.0,1,0,0,0,1,2,2,2,5,2,3,1,1
H0111,0.954424398357919,1,1,1,1,262,61,37,27.6,6.48,39.3,1.31,0.305,0.6166666666666667,2.76,0.648,7.859999999999999,0,1,0,0,1,0,5.0,1,0,0,0,1,3,3,1,5,2,2,1,1
H0112,0.3735873657560173,1,1,1,1,75,34,1,4.4,3.25,14.0,0.375,0.17,0.0166666666666666,0.44,0.325,2.8,1,0,0,0,0,0,15.0,1,0,1,1,0,1,2,3,4,1,3,1,1
H0113,0.6019450605361366,1,1,1,1,257,120,50,23.7,17.61,110.0,1.285,0.6,0.8333333333333334,2.37,1.761,22.0,0,0,0,0,0,0,9.0,1,0,1,1,0,2,2,4,4,3,2,1,1
H0114,2.029711386372872,1,1,1,1,52,30,0,7.4,3.25,14.0,0.26,0.15,0.0,0.74,0.325,2.8,0,1,0,1,0,0,9.0,1,0,0,1,0,1,2,2,4,1,1,1,1
H0115,0.8584724543995766,1,1,1,1,197,40,46,12.8,4.06,24.0,0.985,0.2,0.7666666666666667,1.28,0.4059999999999999,4.8,0,1,1,0,0,0,5.0,1,0,0,0,1,1,3,3,4,3,3,1,1
H0116,0.8584724543995766,1,1,1,1,182,40,27,16.8,4.06,24.0,0.91,0.2,0.45,1.6800000000000002,0.4059999999999999,4.8,0,1,1,0,0,0,5.0,1,0,0,1,0,1,3,3,4,3,3,1,1
H0117,0.2290902236010023,1,1,1,1,165,33,25,5.1,3.4,18.5,0.825,0.165,0.4166666666666667,0.51,0.3399999999999999,3.7,1,0,0,1,0,0,9.0,1,0,1,0,1,4,4,3,5,1,4,1,1
H0118,2.256576028779217,0,1,1,1,61,36,1,0.0,4.24,18.0,0.305,0.18,0.0166666666666666,0.0,0.424,3.6,0,1,0,1,0,0,9.0,1,0,0,1,0,3,1,1,5,1,2,1,1
H0119,0.2545934244605354,1,1,1,1,137,64,12,14.0,9.19,64.0,0.685,0.32,0.2,1.4,0.919,12.8,0,0,0,1,0,0,7.0,1,0,0,1,0,3,4,3,5,2,2,1,1
H0120,0.8584724543995766,0,1,1,1,127,23,0,8.0,2.31,14.7,0.635,0.115,0.0,0.8,0.231,2.94,0,1,0,0,0,0,9.0,1,1,0,0,1,6,2,2,5,1,2,1,1
H0121,0.5414274486172608,1,1,1,1,139,35,0,8.6,3.47,17.5,0.695,0.175,0.0,0.86,0.347,3.5,1,0,0,1,0,0,5.0,1,0,1,1,0,3,3,2,4,3,4,1,1
H0122,2.029711386372872,0,1,1,1,45,23,0,7.4,2.32,10.0,0.225,0.115,0.0,0.74,0.2319999999999999,2.0,0,1,0,1,0,0,3.25,1,0,0,1,0,1,4,2,3,2,2,1,1
H0123,0.2290902236010023,1,1,1,1,111,31,13,4.8,3.17,17.5,0.555,0.155,0.2166666666666666,0.48,0.317,3.5,1,0,0,1,0,0,5.0,1,0,1,0,1,1,1,4,5,1,1,1,1
