respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Mobil05,LifSty07,Envir05,Mobil12,LifSty01,TimePT,TimePT_non_wait,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimePT_non_wait_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,Choice
H0042,10540009,0.9984088205497536,44,female,44 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,1,2,3,4,2,1,0,a work trip,not high education,1,car is available for this trip,2,6,3,4,3,3,222,188,34,49.6,55,9.06,69.0,1.11,0.94,0.275,0.5666666666666667,4.96,0.906,13.8,1
H0043,10540009,0.9984088205497536,44,female,44 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,1,2,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,3,4,3,3,99,96,3,5.6,16,1.76,13.0,0.495,0.48,0.08,0.05,0.5599999999999999,0.176,2.6,1
H0044,10540009,0.9984088205497536,44,female,44 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,1,2,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,3,4,3,3,65,65,0,5.4,5,0.6,3.8,0.325,0.325,0.025,0.0,0.54,0.06,0.76,1
H0045,10540031,0.9984088205497536,45,female,45 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,1,5,1,2,306,261,45,20.2,92,10.89,82.5,1.53,1.305,0.46,0.75,2.02,1.089,16.5,1
H0046,10540046,0.2960937410777467,45,male,45 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,1,0,1,1,1,1,-1,0,1,a non-work trip,not high education,1,car is available for this trip,4,4,1,5,1,3,120,116,4,6.1,39,3.85,22.5,0.6,0.58,0.195,0.06666666666666667,0.61,0.385,4.5,1
H0047,10540130,1.1100015300256885,40,male,40 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,1,2,5,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,1,5,1,2,120,116,4,4.5,40,3.96,23.5,0.6,0.58,0.2,0.06666666666666667,0.45,0.396,4.7,1
H0048,10540130,1.1100015300256885,40,male,40 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,1,2,5,4,2,1,0,a work trip,not high education,1,car is available for this trip,2,1,1,5,1,2,120,118,2,5.5,36,3.64,24.0,0.6,0.59,0.18,0.03333333333333333,0.55,0.364,4.8,1
H0049,10540178,1.1100015300256885,59,male,59 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,0,0,1,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,1,1,1,4,1,4,186,167,19,8.2,34,3.94,28.0,0.93,0.835,0.17,0.31666666666666665,0.82,0.394,5.6,1
H0050,10540184,0.2960937410777467,63,male,63 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,-1,2,-1,0,1,a non-work trip,high education,1,car is available for this trip,4,2,3,5,1,2,110,102,8,11.0,13,1.23,6.0,0.55,0.51,0.065,0.13333333333333333,1.1,0.123,1.2,1
H0051,10540184,0.2960937410777467,63,male,63 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,-1,2,-1,1,0,a work trip,high education,1,car is available for this trip,4,2,3,5,1,2,111,91,20,11.0,13,1.23,6.0,0.555,0.455,0.065,0.3333333333333333,1.1,0.123,1.2,1
H0052,10540187,1.1100015300256885,45,male,45 years old,15000,around CHF 15000 per month,0,1,0,0,0,0,15.0,1,0,1,1,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,1,4,2,4,1,3,96,91,5,0.0,34,3.2,18.0,0.48,0.455,0.17,0.08333333333333333,0.0,0.32,3.6,1
H0053,10540202,0.9984088205497536,53,female,53 years old,15000,around CHF 15000 per month,0,1,0,1,0,0,15.0,0,0,1,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,1,3,3,1,4,92,92,0,8.2,16,1.58,10.0,0.46,0.46,0.08,0.0,0.82,0.158,2.0,1
H0054,10540237,0.9239865491924742,34,female,34 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,2,2,3,1,0,1,a non-work trip,high education,1,car is available for this trip,2,3,1,5,1,4,64,61,3,6.0,11,1.16,6.5,0.32,0.305,0.055,0.05,0.6,0.11599999999999999,1.3,1
H0055,10540250,0.7000658609902283,25,male,30 or younger,7000,around CHF 7000 per month,0,0,0,1,0,1,7.0,1,1,0,1,2,2,-1,1,0,a work trip,not high education,1,car is available for this trip,1,3,3,4,4,4,46,38,8,0.0,35,3.67,25.0,0.23,0.19,0.175,0.13333333333333333,0.0,0.367,5.0,0
H0056,10540252,0.9239865491924742,25,female,30 or younger,7000,around CHF 7000 per month,1,0,0,0,0,1,7.0,1,0,1,1,2,2,-1,0,1,a non-work trip,high education,1,car is available for this trip,2,1,2,4,3,2,172,160,12,7.8,16,1.71,12.0,0.86,0.8,0.08,0.2,0.78,0.17099999999999999,2.4,1
H0057,10540265,0.4344844372177664,44,male,44 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,4,2,2,4,1,3,168,132,36,35.1,28,2.97,22.0,0.84,0.66,0.14,0.6,3.5100000000000002,0.29700000000000004,4.4,1
H0058,10540266,0.390802389501682,41,female,41 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,0,2,4,4,2,1,0,a work trip,high education,1,car is available for this trip,4,4,1,5,1,4,234,185,49,7.9,40,4.18,28.8,1.17,0.925,0.2,0.8166666666666667,0.79,0.418,5.76,1
H0059,10540269,0.26643335936145884,52,female,52 years old,5000,around CHF 5000 per month,0,0,0,0,1,0,5.0,1,1,0,2,2,4,-1,0,1,a non-work trip,not high education,1,car is available for this trip,2,2,4,4,2,4,97,97,0,11.0,33,3.27,17.5,0.485,0.485,0.165,0.0,1.1,0.327,3.5,1
H0060,10540271,0.9239865491924742,35,female,35 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,1,0,2,6,6,4,0,1,a non-work trip,high education,1,car is available for this trip,1,2,2,4,3,3,196,178,18,12.6,25,3.12,23.0,0.98,0.89,0.125,0.3,1.26,0.312,4.6,1
H0061,10540271,0.9239865491924742,35,female,35 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,1,0,2,6,6,4,0,1,a non-work trip,high education,1,car is available for this trip,1,2,2,4,3,3,93,82,11,6.0,8,0.85,5.1,0.465,0.41,0.04,0.18333333333333332,0.6,0.08499999999999999,1.02,1
H0062,10540297,0.4344844372177664,44,male,44 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,1,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,4,2,2,5,2,2,270,220,50,43.3,171,28.12,208.0,1.35,1.1,0.855,0.8333333333333334,4.33,2.8120000000000003,41.6,1
H0063,10540298,0.9239865491924742,33,female,33 years old,15000,around CHF 15000 per month,1,0,0,1,0,0,15.0,1,0,1,1,0,2,-1,0,1,a non-work trip,high education,0,car is not available for this trip,4,6,3,5,2,2,167,150,17,12.5,63,9.76,68.0,0.835,0.75,0.315,0.2833333333333333,1.25,0.976,13.6,0
H0064,10540351,1.1100015300256885,51,male,51 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,1,1,0,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,2,6,3,4,2,4,470,439,31,61.2,180,29.12,206.0,2.35,2.195,0.9,0.5166666666666667,6.12,2.912,41.2,1
H0065,10540354,0.26643335936145884,43,female,43 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,0,1,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,2,4,2,5,1,2,76,69,7,3.8,14,1.53,10.9,0.38,0.345,0.07,0.11666666666666667,0.38,0.153,2.18,1
H0066,10540395,0.2960937410777467,47,male,47 years old,15000,around CHF 15000 per month,1,0,0,1,0,0,15.0,1,1,0,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,4,3,2,4,1,2,140,122,18,13.3,66,6.71,37.0,0.7,0.61,0.33,0.3,1.33,0.671,7.4,1
H0067,10540396,0.26643335936145884,40,female,40 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,4,3,2,4,1,2,111,111,0,10.4,16,1.82,11.5,0.555,0.555,0.08,0.0,1.04,0.182,2.3,1
H0068,10540515,0.9239865491924742,29,female,30 or younger,7000,around CHF 7000 per month,1,0,0,1,0,1,7.0,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,2,6,2,3,2,1,207,180,27,24.8,55,5.98,44.0,1.035,0.9,0.275,0.45,2.48,0.5980000000000001,8.8,1
H0069,10540515,0.9239865491924742,29,female,30 or younger,7000,around CHF 7000 per month,1,0,0,1,0,1,7.0,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,2,6,2,3,2,1,68,68,0,2.6,16,1.76,13.0,0.34,0.34,0.08,0.0,0.26,0.176,2.6,1
H0070,10540516,1.0272633905783595,30,male,30 or younger,7000,around CHF 7000 per month,1,0,0,1,0,1,7.0,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,2,4,1,4,1,2,55,52,3,5.5,38,3.77,25.0,0.275,0.26,0.19,0.05,0.55,0.377,5.0,1
H0071,10540517,10.498991021243546,39,male,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,4,3,1,1,0,a work trip,not high education,1,car is available for this trip,1,4,1,4,1,2,117,117,0,8.8,33,3.48,23.0,0.585,0.585,0.165,0.0,0.8800000000000001,0.348,4.6,1
H0072,10540518,0.26643335936145884,41,female,41 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,2,4,3,1,1,0,a work trip,high education,1,car is available for this trip,1,1,1,4,2,1,96,93,3,11.0,32,3.41,18.0,0.48,0.465,0.16,0.05,1.1,0.341,3.6,1
H0073,10540548,1.1100015300256885,48,male,48 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,1,1,0,1,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,2,3,6,4,2,3,110,110,0,11.0,35,3.4,19.0,0.55,0.55,0.175,0.0,1.1,0.33999999999999997,3.8,1
H0074,10540559,0.2960937410777467,63,male,63 years old,7000,around CHF 7000 per month,0,0,1,0,0,0,7.0,0,1,0,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,4,3,4,4,2,1,46,46,0,5.6,5,0.72,4.1,0.23,0.23,0.025,0.0,0.5599999999999999,0.072,0.82,1
H0075,10540559,0.2960937410777467,63,male,63 years old,7000,around CHF 7000 per month,0,0,1,0,0,0,7.0,0,1,0,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,4,3,4,4,2,1,265,228,37,19.2,45,6.31,42.0,1.325,1.14,0.225,0.6166666666666667,1.92,0.631,8.4,1
H0076,10540563,0.390802389501682,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,8,5,3,0,1,a non-work trip,high education,1,car is available for this trip,3,3,1,4,1,2,461,420,41,79.4,117,17.77,134.0,2.305,2.1,0.585,0.6833333333333333,7.94,1.777,26.8,1
H0077,10540672,2.3605670058945383,34,female,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,1,6,1,4,1,3,84,72,12,9.6,31,3.24,23.0,0.42,0.36,0.155,0.2,0.96,0.324,4.6,1
H0078,10540689,0.7000658609902283,38,male,38 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,3,3,2,2,141,124,17,6.0,28,2.92,21.0,0.705,0.62,0.14,0.2833333333333333,0.6,0.292,4.2,1
H0079,10540689,0.7000658609902283,38,male,38 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,1,3,3,3,2,2,118,103,15,6.0,28,2.92,21.0,0.59,0.515,0.14,0.25,0.6,0.292,4.2,1
H0080,10540691,0.390802389501682,43,female,43 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,1,135,98,37,13.2,20,2.19,15.6,0.675,0.49,0.1,0.6166666666666667,1.3199999999999998,0.219,3.12,1
H0081,10540691,0.390802389501682,43,female,43 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,3,2,2,5,1,1,68,68,0,5.2,7,0.79,5.5,0.34,0.34,0.035,0.0,0.52,0.079,1.1,1
H0082,10540692,1.0272633905783595,37,male,37 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,2,3,4,2,0,1,a non-work trip,high education,1,car is available for this trip,4,2,1,5,1,1,278,238,40,61.6,62,8.54,65.5,1.39,1.19,0.31,0.6666666666666666,6.16,0.8539999999999999,13.1,1
