respondent_id,human_id,Choice,alternative_code,alternative_name,availability,travel_time,waiting_time,travel_cost,distance_km,scaled_time,scaled_waiting,scaled_cost,scaled_distance
H0010,10360011,1,1,CAR,1,93,0,20.1,135.5,0.465,0.0,2.0100000000000002,27.1
H0010,10360011,1,2,SLOW_MODES,1,0,0,0.0,135.5,0.0,0.0,0.0,27.1
H0011,10360013,1,0,PT,1,166,15,16.2,20.0,0.83,0.25,1.6199999999999999,4.0
H0011,10360013,1,1,CAR,1,24,0,2.97,20.0,0.12,0.0,0.29700000000000004,4.0
H0011,10360013,1,2,SLOW_MODES,1,0,0,0.0,20.0,0.0,0.0,0.0,4.0
H0012,10360014,1,0,PT,1,87,8,9.6,28.0,0.435,0.13333333333333333,0.96,5.6
H0012,10360014,1,1,CAR,1,27,0,4.07,28.0,0.135,0.0,0.40700000000000003,5.6
H0012,10360014,1,2,SLOW_MODES,1,0,0,0.0,28.0,0.0,0.0,0.0,5.6
H0013,10360016,1,0,PT,1,174,10,20.0,22.0,0.87,0.16666666666666666,2.0,4.4
H0013,10360016,1,1,CAR,1,30,0,3.68,22.0,0.15,0.0,0.368,4.4
H0013,10360016,1,2,SLOW_MODES,1,0,0,0.0,22.0,0.0,0.0,0.0,4.4
H0014,10360024,1,0,PT,1,188,12,15.2,24.5,0.94,0.2,1.52,4.9
H0014,10360024,1,1,CAR,1,26,0,3.34,24.5,0.13,0.0,0.33399999999999996,4.9
H0014,10360024,1,2,SLOW_MODES,1,0,0,0.0,24.5,0.0,0.0,0.0,4.9
H0015,10360035,1,0,PT,1,108,10,11.0,30.0,0.54,0.16666666666666666,1.1,6.0
H0015,10360035,1,1,CAR,1,33,0,4.7,30.0,0.165,0.0,0.47000000000000003,6.0
H0015,10360035,1,2,SLOW_MODES,1,0,0,0.0,30.0,0.0,0.0,0.0,6.0
H0016,10360113,1,0,PT,1,126,19,14.0,14.2,0.63,0.31666666666666665,1.4,2.84
H0016,10360113,1,1,CAR,1,14,0,1.81,14.2,0.07,0.0,0.181,2.84
H0016,10360113,1,2,SLOW_MODES,1,0,0,0.0,14.2,0.0,0.0,0.0,2.84
H0017,10360139,1,0,PT,1,124,11,7.8,31.0,0.62,0.18333333333333332,0.78,6.2
H0017,10360139,1,1,CAR,1,33,0,4.46,31.0,0.165,0.0,0.446,6.2
H0017,10360139,1,2,SLOW_MODES,1,0,0,0.0,31.0,0.0,0.0,0.0,6.2
H0018,10360159,1,0,PT,1,192,40,11.8,22.5,0.96,0.6666666666666666,1.1800000000000002,4.5
H0018,10360159,1,1,CAR,1,29,0,3.2,22.5,0.145,0.0,0.32,4.5
H0018,10360159,1,2,SLOW_MODES,1,0,0,0.0,22.5,0.0,0.0,0.0,4.5
H0019,10360177,1,0,PT,1,126,5,12.4,16.5,0.63,0.08333333333333333,1.24,3.3
H0019,10360177,1,1,CAR,1,15,0,2.32,16.5,0.075,0.0,0.23199999999999998,3.3
H0019,10360177,1,2,SLOW_MODES,1,0,0,0.0,16.5,0.0,0.0,0.0,3.3
H0020,10360177,1,0,PT,1,160,53,24.8,54.0,0.8,0.8833333333333333,2.48,10.8
H0020,10360177,1,1,CAR,1,39,0,7.06,54.0,0.195,0.0,0.706,10.8
H0020,10360177,1,2,SLOW_MODES,1,0,0,0.0,54.0,0.0,0.0,0.0,10.8
H0021,10360193,1,0,PT,1,148,11,43.2,32.5,0.74,0.18333333333333332,4.32,6.5
H0021,10360193,1,1,CAR,1,28,0,4.61,32.5,0.14,0.0,0.461,6.5
H0021,10360193,1,2,SLOW_MODES,1,0,0,0.0,32.5,0.0,0.0,0.0,6.5
H0022,10360195,1,0,PT,1,172,22,9.6,51.5,0.86,0.36666666666666664,0.96,10.3
H0022,10360195,1,1,CAR,1,47,0,6.98,51.5,0.235,0.0,0.6980000000000001,10.3
H0022,10360195,1,2,SLOW_MODES,1,0,0,0.0,51.5,0.0,0.0,0.0,10.3
H0023,10360196,1,0,PT,1,114,12,6.6,27.0,0.57,0.2,0.6599999999999999,5.4
H0023,10360196,1,1,CAR,1,26,0,3.68,27.0,0.13,0.0,0.368,5.4
H0023,10360196,1,2,SLOW_MODES,1,0,0,0.0,27.0,0.0,0.0,0.0,5.4
H0024,10360235,1,0,PT,1,133,86,38.4,67.0,0.665,1.4333333333333333,3.84,13.4
H0024,10360235,1,1,CAR,1,49,0,9.04,67.0,0.245,0.0,0.9039999999999999,13.4
H0024,10360235,1,2,SLOW_MODES,1,0,0,0.0,67.0,0.0,0.0,0.0,13.4
H0025,10360236,1,0,PT,1,179,14,15.8,32.5,0.895,0.23333333333333334,1.58,6.5
H0025,10360236,1,1,CAR,1,40,0,5.03,32.5,0.2,0.0,0.503,6.5
H0025,10360236,1,2,SLOW_MODES,1,0,0,0.0,32.5,0.0,0.0,0.0,6.5
H0026,10360286,1,0,PT,1,151,34,43.2,88.0,0.755,0.5666666666666667,4.32,17.6
H0026,10360286,1,1,CAR,1,61,0,11.78,88.0,0.305,0.0,1.178,17.6
H0026,10360286,1,2,SLOW_MODES,1,0,0,0.0,88.0,0.0,0.0,0.0,17.6
H0027,10360322,1,0,PT,1,112,30,26.0,58.0,0.56,0.5,2.6,11.6
H0027,10360322,1,1,CAR,1,42,0,7.45,58.0,0.21,0.0,0.745,11.6
H0027,10360322,1,2,SLOW_MODES,1,0,0,0.0,58.0,0.0,0.0,0.0,11.6
H0028,10360322,1,0,PT,1,103,5,11.0,12.5,0.515,0.08333333333333333,1.1,2.5
H0028,10360322,1,1,CAR,1,18,0,1.83,12.5,0.09,0.0,0.183,2.5
H0028,10360322,1,2,SLOW_MODES,1,0,0,0.0,12.5,0.0,0.0,0.0,2.5
H0029,10360414,1,0,PT,1,93,15,9.6,25.0,0.465,0.25,0.96,5.0
H0029,10360414,1,1,CAR,1,23,0,3.4,25.0,0.115,0.0,0.33999999999999997,5.0
H0029,10360414,1,2,SLOW_MODES,1,0,0,0.0,25.0,0.0,0.0,0.0,5.0
H0030,10360414,1,0,PT,1,84,18,9.6,27.0,0.42,0.3,0.96,5.4
H0030,10360414,1,1,CAR,1,24,0,3.73,27.0,0.12,0.0,0.373,5.4
H0030,10360414,1,2,SLOW_MODES,1,0,0,0.0,27.0,0.0,0.0,0.0,5.4
H0031,10360415,1,0,PT,1,69,8,6.0,14.0,0.345,0.13333333333333333,0.6,2.8
H0031,10360415,1,1,CAR,1,18,0,2.01,14.0,0.09,0.0,0.20099999999999998,2.8
H0031,10360415,1,2,SLOW_MODES,1,0,0,0.0,14.0,0.0,0.0,0.0,2.8
H0032,10360460,1,0,PT,1,46,20,9.6,17.0,0.23,0.3333333333333333,0.96,3.4
H0032,10360460,1,1,CAR,1,16,0,2.41,17.0,0.08,0.0,0.24100000000000002,3.4
H0032,10360460,1,2,SLOW_MODES,1,0,0,0.0,17.0,0.0,0.0,0.0,3.4
H0033,10360465,1,0,PT,1,120,18,9.6,10.5,0.6,0.3,0.96,2.1
H0033,10360465,1,1,CAR,1,12,0,1.32,10.5,0.06,0.0,0.132,2.1
H0033,10360465,1,2,SLOW_MODES,1,0,0,0.0,10.5,0.0,0.0,0.0,2.1
H0034,10360465,1,0,PT,1,113,17,9.6,20.5,0.565,0.2833333333333333,0.96,4.1
H0034,10360465,1,1,CAR,1,20,0,2.74,20.5,0.1,0.0,0.274,4.1
H0034,10360465,1,2,SLOW_MODES,1,0,0,0.0,20.5,0.0,0.0,0.0,4.1
H0035,10360518,1,0,PT,1,93,11,11.0,31.0,0.465,0.18333333333333332,1.1,6.2
H0035,10360518,1,1,CAR,1,35,0,4.63,31.0,0.175,0.0,0.46299999999999997,6.2
H0035,10360518,1,2,SLOW_MODES,1,0,0,0.0,31.0,0.0,0.0,0.0,6.2
H0036,10360519,1,0,PT,1,241,38,46.2,109.0,1.205,0.6333333333333333,4.62,21.8
H0036,10360519,1,1,CAR,1,117,0,15.35,109.0,0.585,0.0,1.535,21.8
H0036,10360519,1,2,SLOW_MODES,1,0,0,0.0,109.0,0.0,0.0,0.0,21.8
H0037,10360519,1,0,PT,1,69,58,12.4,24.0,0.345,0.9666666666666667,1.24,4.8
H0037,10360519,1,1,CAR,1,31,0,3.48,24.0,0.155,0.0,0.348,4.8
H0037,10360519,1,2,SLOW_MODES,1,0,0,0.0,24.0,0.0,0.0,0.0,4.8
H0038,10360526,0,0,PT,1,141,10,0.0,38.5,0.705,0.16666666666666666,0.0,7.7
H0038,10360526,0,1,CAR,1,44,0,5.89,38.5,0.22,0.0,0.589,7.7
H0038,10360526,0,2,SLOW_MODES,1,0,0,0.0,38.5,0.0,0.0,0.0,7.7
H0039,10360533,1,0,PT,1,192,59,65.8,119.0,0.96,0.9833333333333333,6.58,23.8
H0039,10360533,1,1,CAR,1,76,0,15.96,119.0,0.38,0.0,1.596,23.8
H0039,10360533,1,2,SLOW_MODES,1,0,0,0.0,119.0,0.0,0.0,0.0,23.8
H0040,10360536,1,0,PT,1,161,5,12.6,30.0,0.805,0.08333333333333333,1.26,6.0
H0040,10360536,1,1,CAR,1,41,0,4.34,30.0,0.205,0.0,0.434,6.0
H0040,10360536,1,2,SLOW_MODES,1,0,0,0.0,30.0,0.0,0.0,0.0,6.0
H0041,10360566,1,0,PT,1,133,8,14.4,32.0,0.665,0.13333333333333333,1.44,6.4
H0041,10360566,1,1,CAR,1,36,0,4.87,32.0,0.18,0.0,0.487,6.4
H0041,10360566,1,2,SLOW_MODES,1,0,0,0.0,32.0,0.0,0.0,0.0,6.4
H0042,10540009,1,0,PT,1,188,34,49.6,69.0,0.94,0.5666666666666667,4.96,13.8
H0042,10540009,1,1,CAR,1,55,0,9.06,69.0,0.275,0.0,0.906,13.8
H0042,10540009,1,2,SLOW_MODES,1,0,0,0.0,69.0,0.0,0.0,0.0,13.8
H0043,10540009,1,0,PT,1,96,3,5.6,13.0,0.48,0.05,0.5599999999999999,2.6
H0043,10540009,1,1,CAR,1,16,0,1.76,13.0,0.08,0.0,0.176,2.6
H0043,10540009,1,2,SLOW_MODES,1,0,0,0.0,13.0,0.0,0.0,0.0,2.6
H0044,10540009,1,0,PT,1,65,0,5.4,3.8,0.325,0.0,0.54,0.76
H0044,10540009,1,1,CAR,1,5,0,0.6,3.8,0.025,0.0,0.06,0.76
H0044,10540009,1,2,SLOW_MODES,1,0,0,0.0,3.8,0.0,0.0,0.0,0.76
H0045,10540031,1,0,PT,1,261,45,20.2,82.5,1.305,0.75,2.02,16.5
H0045,10540031,1,1,CAR,1,92,0,10.89,82.5,0.46,0.0,1.089,16.5
H0045,10540031,1,2,SLOW_MODES,1,0,0,0.0,82.5,0.0,0.0,0.0,16.5
H0046,10540046,1,0,PT,1,116,4,6.1,22.5,0.58,0.06666666666666667,0.61,4.5
H0046,10540046,1,1,CAR,1,39,0,3.85,22.5,0.195,0.0,0.385,4.5
H0046,10540046,1,2,SLOW_MODES,1,0,0,0.0,22.5,0.0,0.0,0.0,4.5
H0047,10540130,1,0,PT,1,116,4,4.5,23.5,0.58,0.06666666666666667,0.45,4.7
H0047,10540130,1,1,CAR,1,40,0,3.96,23.5,0.2,0.0,0.396,4.7
H0047,10540130,1,2,SLOW_MODES,1,0,0,0.0,23.5,0.0,0.0,0.0,4.7
H0048,10540130,1,0,PT,1,118,2,5.5,24.0,0.59,0.03333333333333333,0.55,4.8
H0048,10540130,1,1,CAR,1,36,0,3.64,24.0,0.18,0.0,0.364,4.8
H0048,10540130,1,2,SLOW_MODES,1,0,0,0.0,24.0,0.0,0.0,0.0,4.8
H0049,10540178,1,0,PT,1,167,19,8.2,28.0,0.835,0.31666666666666665,0.82,5.6
H0049,10540178,1,1,CAR,1,34,0,3.94,28.0,0.17,0.0,0.394,5.6
H0049,10540178,1,2,SLOW_MODES,1,0,0,0.0,28.0,0.0,0.0,0.0,5.6
H0050,10540184,1,0,PT,1,102,8,11.0,6.0,0.51,0.13333333333333333,1.1,1.2
H0050,10540184,1,1,CAR,1,13,0,1.23,6.0,0.065,0.0,0.123,1.2
H0050,10540184,1,2,SLOW_MODES,1,0,0,0.0,6.0,0.0,0.0,0.0,1.2
H0051,10540184,1,0,PT,1,91,20,11.0,6.0,0.455,0.3333333333333333,1.1,1.2
H0051,10540184,1,1,CAR,1,13,0,1.23,6.0,0.065,0.0,0.123,1.2
H0051,10540184,1,2,SLOW_MODES,1,0,0,0.0,6.0,0.0,0.0,0.0,1.2
H0052,10540187,1,0,PT,1,91,5,0.0,18.0,0.455,0.08333333333333333,0.0,3.6
H0052,10540187,1,1,CAR,1,34,0,3.2,18.0,0.17,0.0,0.32,3.6
H0052,10540187,1,2,SLOW_MODES,1,0,0,0.0,18.0,0.0,0.0,0.0,3.6
H0053,10540202,1,0,PT,1,92,0,8.2,10.0,0.46,0.0,0.82,2.0
H0053,10540202,1,1,CAR,1,16,0,1.58,10.0,0.08,0.0,0.158,2.0
H0053,10540202,1,2,SLOW_MODES,1,0,0,0.0,10.0,0.0,0.0,0.0,2.0
H0054,10540237,1,0,PT,1,61,3,6.0,6.5,0.305,0.05,0.6,1.3
H0054,10540237,1,1,CAR,1,11,0,1.16,6.5,0.055,0.0,0.11599999999999999,1.3
H0054,10540237,1,2,SLOW_MODES,1,0,0,0.0,6.5,0.0,0.0,0.0,1.3
H0055,10540250,0,0,PT,1,38,8,0.0,25.0,0.19,0.13333333333333333,0.0,5.0
H0055,10540250,0,1,CAR,1,35,0,3.67,25.0,0.175,0.0,0.367,5.0
H0055,10540250,0,2,SLOW_MODES,1,0,0,0.0,25.0,0.0,0.0,0.0,5.0
H0056,10540252,1,0,PT,1,160,12,7.8,12.0,0.8,0.2,0.78,2.4
H0056,10540252,1,1,CAR,1,16,0,1.71,12.0,0.08,0.0,0.17099999999999999,2.4
H0056,10540252,1,2,SLOW_MODES,1,0,0,0.0,12.0,0.0,0.0,0.0,2.4
H0057,10540265,1,0,PT,1,132,36,35.1,22.0,0.66,0.6,3.5100000000000002,4.4
H0057,10540265,1,1,CAR,1,28,0,2.97,22.0,0.14,0.0,0.29700000000000004,4.4
H0057,10540265,1,2,SLOW_MODES,1,0,0,0.0,22.0,0.0,0.0,0.0,4.4
H0058,10540266,1,0,PT,1,185,49,7.9,28.8,0.925,0.8166666666666667,0.79,5.76
H0058,10540266,1,1,CAR,1,40,0,4.18,28.8,0.2,0.0,0.418,5.76
H0058,10540266,1,2,SLOW_MODES,1,0,0,0.0,28.8,0.0,0.0,0.0,5.76
H0059,10540269,1,0,PT,1,97,0,11.0,17.5,0.485,0.0,1.1,3.5
H0059,10540269,1,1,CAR,1,33,0,3.27,17.5,0.165,0.0,0.327,3.5
H0059,10540269,1,2,SLOW_MODES,1,0,0,0.0,17.5,0.0,0.0,0.0,3.5
H0060,10540271,1,0,PT,1,178,18,12.6,23.0,0.89,0.3,1.26,4.6
H0060,10540271,1,1,CAR,1,25,0,3.12,23.0,0.125,0.0,0.312,4.6
H0060,10540271,1,2,SLOW_MODES,1,0,0,0.0,23.0,0.0,0.0,0.0,4.6
H0061,10540271,1,0,PT,1,82,11,6.0,5.1,0.41,0.18333333333333332,0.6,1.02
H0061,10540271,1,1,CAR,1,8,0,0.85,5.1,0.04,0.0,0.08499999999999999,1.02
H0061,10540271,1,2,SLOW_MODES,1,0,0,0.0,5.1,0.0,0.0,0.0,1.02
H0062,10540297,1,0,PT,1,220,50,43.3,208.0,1.1,0.8333333333333334,4.33,41.6
H0062,10540297,1,1,CAR,1,171,0,28.12,208.0,0.855,0.0,2.8120000000000003,41.6
H0062,10540297,1,2,SLOW_MODES,1,0,0,0.0,208.0,0.0,0.0,0.0,41.6
H0063,10540298,0,0,PT,1,150,17,12.5,68.0,0.75,0.2833333333333333,1.25,13.6
H0063,10540298,0,1,CAR,0,63,0,9.76,68.0,0.315,0.0,0.976,13.6
H0063,10540298,0,2,SLOW_MODES,1,0,0,0.0,68.0,0.0,0.0,0.0,13.6
H0064,10540351,1,0,PT,1,439,31,61.2,206.0,2.195,0.5166666666666667,6.12,41.2
H0064,10540351,1,1,CAR,1,180,0,29.12,206.0,0.9,0.0,2.912,41.2
H0064,10540351,1,2,SLOW_MODES,1,0,0,0.0,206.0,0.0,0.0,0.0,41.2
H0065,10540354,1,0,PT,1,69,7,3.8,10.9,0.345,0.11666666666666667,0.38,2.18
H0065,10540354,1,1,CAR,1,14,0,1.53,10.9,0.07,0.0,0.153,2.18
H0065,10540354,1,2,SLOW_MODES,1,0,0,0.0,10.9,0.0,0.0,0.0,2.18
H0066,10540395,1,0,PT,1,122,18,13.3,37.0,0.61,0.3,1.33,7.4
H0066,10540395,1,1,CAR,1,66,0,6.71,37.0,0.33,0.0,0.671,7.4
H0066,10540395,1,2,SLOW_MODES,1,0,0,0.0,37.0,0.0,0.0,0.0,7.4
H0067,10540396,1,0,PT,1,111,0,10.4,11.5,0.555,0.0,1.04,2.3
H0067,10540396,1,1,CAR,1,16,0,1.82,11.5,0.08,0.0,0.182,2.3
H0067,10540396,1,2,SLOW_MODES,1,0,0,0.0,11.5,0.0,0.0,0.0,2.3
H0068,10540515,1,0,PT,1,180,27,24.8,44.0,0.9,0.45,2.48,8.8
H0068,10540515,1,1,CAR,1,55,0,5.98,44.0,0.275,0.0,0.5980000000000001,8.8
H0068,10540515,1,2,SLOW_MODES,1,0,0,0.0,44.0,0.0,0.0,0.0,8.8
H0069,10540515,1,0,PT,1,68,0,2.6,13.0,0.34,0.0,0.26,2.6
H0069,10540515,1,1,CAR,1,16,0,1.76,13.0,0.08,0.0,0.176,2.6
H0069,10540515,1,2,SLOW_MODES,1,0,0,0.0,13.0,0.0,0.0,0.0,2.6
H0070,10540516,1,0,PT,1,52,3,5.5,25.0,0.26,0.05,0.55,5.0
H0070,10540516,1,1,CAR,1,38,0,3.77,25.0,0.19,0.0,0.377,5.0
H0070,10540516,1,2,SLOW_MODES,1,0,0,0.0,25.0,0.0,0.0,0.0,5.0
H0071,10540517,1,0,PT,1,117,0,8.8,23.0,0.585,0.0,0.8800000000000001,4.6
H0071,10540517,1,1,CAR,1,33,0,3.48,23.0,0.165,0.0,0.348,4.6
H0071,10540517,1,2,SLOW_MODES,1,0,0,0.0,23.0,0.0,0.0,0.0,4.6
H0072,10540518,1,0,PT,1,93,3,11.0,18.0,0.465,0.05,1.1,3.6
H0072,10540518,1,1,CAR,1,32,0,3.41,18.0,0.16,0.0,0.341,3.6
H0072,10540518,1,2,SLOW_MODES,1,0,0,0.0,18.0,0.0,0.0,0.0,3.6
H0073,10540548,1,0,PT,1,110,0,11.0,19.0,0.55,0.0,1.1,3.8
H0073,10540548,1,1,CAR,1,35,0,3.4,19.0,0.175,0.0,0.33999999999999997,3.8
H0073,10540548,1,2,SLOW_MODES,1,0,0,0.0,19.0,0.0,0.0,0.0,3.8
H0074,10540559,1,0,PT,1,46,0,5.6,4.1,0.23,0.0,0.5599999999999999,0.82
H0074,10540559,1,1,CAR,1,5,0,0.72,4.1,0.025,0.0,0.072,0.82
H0074,10540559,1,2,SLOW_MODES,1,0,0,0.0,4.1,0.0,0.0,0.0,0.82
H0075,10540559,1,0,PT,1,228,37,19.2,42.0,1.14,0.6166666666666667,1.92,8.4
H0075,10540559,1,1,CAR,1,45,0,6.31,42.0,0.225,0.0,0.631,8.4
H0075,10540559,1,2,SLOW_MODES,1,0,0,0.0,42.0,0.0,0.0,0.0,8.4
H0076,10540563,1,0,PT,1,420,41,79.4,134.0,2.1,0.6833333333333333,7.94,26.8
H0076,10540563,1,1,CAR,1,117,0,17.77,134.0,0.585,0.0,1.777,26.8
H0076,10540563,1,2,SLOW_MODES,1,0,0,0.0,134.0,0.0,0.0,0.0,26.8
H0077,10540672,1,0,PT,1,72,12,9.6,23.0,0.36,0.2,0.96,4.6
H0077,10540672,1,1,CAR,1,31,0,3.24,23.0,0.155,0.0,0.324,4.6
H0077,10540672,1,2,SLOW_MODES,1,0,0,0.0,23.0,0.0,0.0,0.0,4.6
H0078,10540689,1,0,PT,1,124,17,6.0,21.0,0.62,0.2833333333333333,0.6,4.2
H0078,10540689,1,1,CAR,1,28,0,2.92,21.0,0.14,0.0,0.292,4.2
H0078,10540689,1,2,SLOW_MODES,1,0,0,0.0,21.0,0.0,0.0,0.0,4.2
H0079,10540689,1,0,PT,1,103,15,6.0,21.0,0.515,0.25,0.6,4.2
H0079,10540689,1,1,CAR,1,28,0,2.92,21.0,0.14,0.0,0.292,4.2
H0079,10540689,1,2,SLOW_MODES,1,0,0,0.0,21.0,0.0,0.0,0.0,4.2
H0080,10540691,1,0,PT,1,98,37,13.2,15.6,0.49,0.6166666666666667,1.3199999999999998,3.12
H0080,10540691,1,1,CAR,1,20,0,2.19,15.6,0.1,0.0,0.219,3.12
H0080,10540691,1,2,SLOW_MODES,1,0,0,0.0,15.6,0.0,0.0,0.0,3.12
H0081,10540691,1,0,PT,1,68,0,5.2,5.5,0.34,0.0,0.52,1.1
H0081,10540691,1,1,CAR,1,7,0,0.79,5.5,0.035,0.0,0.079,1.1
H0081,10540691,1,2,SLOW_MODES,1,0,0,0.0,5.5,0.0,0.0,0.0,1.1
H0082,10540692,1,0,PT,1,238,40,61.6,65.5,1.19,0.6666666666666666,6.16,13.1
H0082,10540692,1,1,CAR,1,62,0,8.54,65.5,0.31,0.0,0.8539999999999999,13.1
H0082,10540692,1,2,SLOW_MODES,1,0,0,0.0,65.5,0.0,0.0,0.0,13.1
H0083,10540692,1,0,PT,1,33,0,5.4,3.1,0.165,0.0,0.54,0.62
H0083,10540692,1,1,CAR,1,4,0,0.54,3.1,0.02,0.0,0.054000000000000006,0.62
H0083,10540692,1,2,SLOW_MODES,1,0,0,0.0,3.1,0.0,0.0,0.0,0.62
H0084,10540774,1,0,PT,1,223,9,50.0,72.0,1.115,0.15,5.0,14.4
H0084,10540774,1,1,CAR,1,77,0,10.15,72.0,0.385,0.0,1.0150000000000001,14.4
H0084,10540774,1,2,SLOW_MODES,1,0,0,0.0,72.0,0.0,0.0,0.0,14.4
H0085,10541086,1,0,PT,1,230,15,14.2,66.0,1.15,0.25,1.42,13.2
H0085,10541086,1,1,CAR,1,71,0,9.37,66.0,0.355,0.0,0.9369999999999999,13.2
H0085,10541086,1,2,SLOW_MODES,1,0,0,0.0,66.0,0.0,0.0,0.0,13.2
H0086,10541086,1,0,PT,1,82,3,5.5,24.0,0.41,0.05,0.55,4.8
H0086,10541086,1,1,CAR,1,35,0,3.54,24.0,0.175,0.0,0.354,4.8
H0086,10541086,1,2,SLOW_MODES,1,0,0,0.0,24.0,0.0,0.0,0.0,4.8
H0087,10980079,1,0,PT,1,154,0,4.8,19.6,0.77,0.0,0.48,3.9200000000000004
H0087,10980079,1,1,CAR,1,30,0,3.24,19.6,0.15,0.0,0.324,3.9200000000000004
H0087,10980079,1,2,SLOW_MODES,1,0,0,0.0,19.6,0.0,0.0,0.0,3.9200000000000004
H0088,10980195,1,0,PT,1,73,36,19.0,39.0,0.365,0.6,1.9,7.8
H0088,10980195,1,1,CAR,1,35,0,4.51,39.0,0.175,0.0,0.45099999999999996,7.8
H0088,10980195,1,2,SLOW_MODES,1,0,0,0.0,39.0,0.0,0.0,0.0,7.8
H0089,11460027,0,0,PT,1,118,10,0.0,33.1,0.59,0.16666666666666666,0.0,6.62
H0089,11460027,0,1,CAR,0,46,0,5.4,33.1,0.23,0.0,0.54,6.62
H0089,11460027,0,2,SLOW_MODES,1,0,0,0.0,33.1,0.0,0.0,0.0,6.62
H0090,11460060,1,0,PT,1,209,30,22.7,70.5,1.045,0.5,2.27,14.1
H0090,11460060,1,1,CAR,1,70,0,9.46,70.5,0.35,0.0,0.9460000000000001,14.1
H0090,11460060,1,2,SLOW_MODES,1,0,0,0.0,70.5,0.0,0.0,0.0,14.1
H0091,11460070,1,0,PT,1,122,33,22.6,43.0,0.61,0.55,2.2600000000000002,8.6
H0091,11460070,1,1,CAR,1,47,0,5.93,43.0,0.235,0.0,0.593,8.6
H0091,11460070,1,2,SLOW_MODES,1,0,0,0.0,43.0,0.0,0.0,0.0,8.6
H0092,11460082,1,0,PT,1,174,32,26.0,71.0,0.87,0.5333333333333333,2.6,14.2
H0092,11460082,1,1,CAR,1,71,0,9.56,71.0,0.355,0.0,0.9560000000000001,14.2
H0092,11460082,1,2,SLOW_MODES,1,0,0,0.0,71.0,0.0,0.0,0.0,14.2
H0093,14050001,1,0,PT,1,70,0,3.4,5.0,0.35,0.0,0.33999999999999997,1.0
H0093,14050001,1,1,CAR,1,10,0,1.02,5.0,0.05,0.0,0.10200000000000001,1.0
H0093,14050001,1,2,SLOW_MODES,1,0,0,0.0,5.0,0.0,0.0,0.0,1.0
H0094,14050001,1,0,PT,1,35,0,3.4,5.0,0.175,0.0,0.33999999999999997,1.0
H0094,14050001,1,1,CAR,1,9,0,1.0,5.0,0.045,0.0,0.1,1.0
H0094,14050001,1,2,SLOW_MODES,1,0,0,0.0,5.0,0.0,0.0,0.0,1.0
