ID,GROUP,SURVEY,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV,task_count,persona_source,purpose_text,first_class_text,ticket_text,who_text,luggage_text,age_text,sex_text,income_text,ga_text,origin_text,dest_text,survey_text,car_av_text
14,2,0,1,0,1,2,1,3,1,2,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
15,2,0,1,0,1,2,1,3,1,2,0,17,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
16,2,0,1,0,1,2,1,3,1,2,0,25,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 0,car is available for this trip
17,2,0,1,0,2,1,0,1,1,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 2,payer code 1,no luggage,age code 1,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
18,2,0,1,0,2,1,0,3,1,3,0,2,25,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 2,payer code 1,no luggage,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 25,survey stratum 0,car is available for this trip
19,2,0,1,0,2,1,1,1,0,1,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 2,payer code 1,luggage code 1,age code 1,female,income code 1,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
20,2,0,1,0,2,2,1,2,0,1,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 2,payer code 2,luggage code 1,age code 2,female,income code 1,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
21,2,0,1,0,3,1,0,2,1,4,0,25,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 1,no luggage,age code 2,male,income code 4,does not have a GA travelcard,origin zone code 25,destination zone code 2,survey stratum 0,car is not available for this trip
22,2,0,1,0,3,2,0,5,1,3,0,22,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 2,no luggage,age code 5,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 0,car is available for this trip
23,2,0,1,0,3,2,1,2,1,2,0,15,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 15,destination zone code 1,survey stratum 0,car is available for this trip
24,2,0,1,0,3,2,1,3,1,2,0,17,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is not available for this trip
25,2,0,1,0,3,2,1,3,1,3,0,2,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 3,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 17,survey stratum 0,car is available for this trip
26,2,0,1,0,4,2,0,3,1,2,0,25,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 4,payer code 2,no luggage,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 0,car is available for this trip
27,2,0,1,0,4,2,1,2,1,2,0,22,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 4,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 0,car is not available for this trip
28,2,0,1,0,5,1,1,5,1,1,0,25,23,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 5,payer code 1,luggage code 1,age code 5,male,income code 1,does not have a GA travelcard,origin zone code 25,destination zone code 23,survey stratum 0,car is not available for this trip
29,2,0,1,0,5,1,1,3,0,2,0,2,22,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 5,payer code 1,luggage code 1,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 22,survey stratum 0,car is available for this trip
30,2,0,1,0,5,2,1,2,1,2,0,22,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 5,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 0,car is available for this trip
31,2,0,1,0,5,2,1,3,1,3,0,17,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 5,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is available for this trip
32,2,0,1,0,5,3,1,2,1,4,0,9,25,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 5,payer code 3,luggage code 1,age code 2,male,income code 4,does not have a GA travelcard,origin zone code 9,destination zone code 25,survey stratum 0,car is not available for this trip
33,2,0,1,0,6,1,0,2,0,4,1,25,22,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,no luggage,age code 2,female,income code 4,has a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is not available for this trip
34,2,0,1,0,6,1,0,3,0,2,1,1,10,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,no luggage,age code 3,female,income code 2,has a GA travelcard,origin zone code 1,destination zone code 10,survey stratum 0,car is not available for this trip
35,2,0,1,0,6,1,1,2,0,1,1,1,17,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 2,female,income code 1,has a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is not available for this trip
36,2,0,1,0,6,1,1,2,0,2,1,17,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 2,female,income code 2,has a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
37,2,0,1,0,6,1,1,2,0,4,1,22,25,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 2,female,income code 4,has a GA travelcard,origin zone code 22,destination zone code 25,survey stratum 0,car is available for this trip
38,2,0,1,0,6,1,1,2,1,2,1,1,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 2,male,income code 2,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is not available for this trip
39,2,0,1,0,6,1,1,2,1,2,1,17,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 2,male,income code 2,has a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is not available for this trip
40,2,0,1,0,6,1,1,3,1,1,1,19,17,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 3,male,income code 1,has a GA travelcard,origin zone code 19,destination zone code 17,survey stratum 0,car is not available for this trip
41,2,0,1,0,6,1,1,3,1,2,1,5,22,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 1,luggage code 1,age code 3,male,income code 2,has a GA travelcard,origin zone code 5,destination zone code 22,survey stratum 0,car is available for this trip
42,2,0,1,0,6,2,1,2,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 2,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
43,2,0,1,0,6,2,1,3,0,3,1,1,2,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,female,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is not available for this trip
44,2,0,1,0,6,2,1,3,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
45,2,0,1,0,6,2,1,3,1,3,1,19,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 19,destination zone code 2,survey stratum 0,car is available for this trip
46,2,0,1,0,6,2,1,3,1,3,1,20,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 20,destination zone code 1,survey stratum 0,car is not available for this trip
47,2,0,1,0,6,3,1,2,1,2,1,17,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 1,age code 2,male,income code 2,has a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is available for this trip
48,2,0,1,0,6,3,1,3,1,2,1,25,22,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 1,age code 3,male,income code 2,has a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is available for this trip
49,2,0,1,0,6,3,1,3,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
50,2,0,1,0,6,3,1,4,1,2,1,17,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 1,age code 4,male,income code 2,has a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is available for this trip
51,2,0,1,0,6,3,1,4,1,2,1,25,10,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 1,age code 4,male,income code 2,has a GA travelcard,origin zone code 25,destination zone code 10,survey stratum 0,car is available for this trip
52,2,0,1,0,6,3,1,2,1,2,1,25,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 1,age code 2,male,income code 2,has a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 0,car is not available for this trip
53,2,0,1,0,6,3,3,2,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 6,payer code 3,luggage code 3,age code 2,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
54,2,0,1,0,7,1,1,2,0,2,1,17,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 7,payer code 1,luggage code 1,age code 2,female,income code 2,has a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
55,2,0,1,0,8,1,1,1,0,1,0,17,1,0,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 1,luggage code 1,age code 1,female,income code 1,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
56,2,0,1,0,8,1,1,2,0,4,0,17,1,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 1,luggage code 1,age code 2,female,income code 4,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is available for this trip
57,2,0,1,0,8,2,0,3,0,3,0,1,22,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 2,no luggage,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 22,survey stratum 0,car is available for this trip
58,2,0,1,0,8,2,1,1,1,4,0,17,20,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 2,luggage code 1,age code 1,male,income code 4,does not have a GA travelcard,origin zone code 17,destination zone code 20,survey stratum 0,car is available for this trip
59,2,0,1,0,8,2,1,3,0,3,0,17,22,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 2,luggage code 1,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 22,survey stratum 0,car is available for this trip
60,2,0,1,0,8,2,1,4,1,4,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 8,payer code 2,luggage code 1,age code 4,male,income code 4,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
61,2,0,1,0,10,1,1,3,0,1,0,10,17,1,9,empirical_cleaned_profile,purpose code 1,second class,ticket category code 10,payer code 1,luggage code 1,age code 3,female,income code 1,does not have a GA travelcard,origin zone code 10,destination zone code 17,survey stratum 0,car is available for this trip
62,2,0,1,1,1,1,1,2,0,2,0,2,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 1,luggage code 1,age code 2,female,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 17,survey stratum 0,car is available for this trip
63,2,0,1,1,1,1,1,3,0,2,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 1,luggage code 1,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
64,2,0,1,1,1,1,1,3,1,3,0,2,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 1,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
65,2,0,1,1,1,2,0,4,1,2,0,17,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,no luggage,age code 4,male,income code 2,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is available for this trip
66,2,0,1,1,1,2,1,2,0,2,0,2,5,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 2,female,income code 2,does not have a GA travelcard,origin zone code 2,destination zone code 5,survey stratum 0,car is available for this trip
67,2,0,1,1,1,2,1,2,1,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
68,2,0,1,1,1,2,1,2,1,2,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
69,2,0,1,1,1,2,1,2,1,3,0,18,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 18,destination zone code 2,survey stratum 0,car is available for this trip
70,2,0,1,1,1,2,1,3,0,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
71,2,0,1,1,1,2,1,3,0,3,0,17,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is available for this trip
72,2,0,1,1,1,2,1,3,1,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
73,2,0,1,1,1,2,1,3,1,3,0,17,1,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is not available for this trip
74,2,0,1,1,1,2,1,2,0,4,0,2,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 1,payer code 2,luggage code 1,age code 2,female,income code 4,does not have a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
75,2,0,1,1,2,2,3,2,1,2,0,10,25,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 2,payer code 2,luggage code 3,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 10,destination zone code 25,survey stratum 0,car is available for this trip
76,2,0,1,1,3,2,0,2,1,3,0,1,17,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 3,payer code 2,no luggage,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is not available for this trip
77,2,0,1,1,3,2,0,4,0,2,0,1,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 3,payer code 2,no luggage,age code 4,female,income code 2,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
78,2,0,1,1,3,2,1,2,0,3,0,1,2,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 3,payer code 2,luggage code 1,age code 2,female,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is not available for this trip
79,2,0,1,1,3,2,1,3,1,3,0,23,25,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 3,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 23,destination zone code 25,survey stratum 0,car is available for this trip
80,2,0,1,1,4,1,1,4,1,3,0,19,17,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 4,payer code 1,luggage code 1,age code 4,male,income code 3,does not have a GA travelcard,origin zone code 19,destination zone code 17,survey stratum 0,car is not available for this trip
81,2,0,1,1,4,2,0,2,1,4,0,22,25,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 4,payer code 2,no luggage,age code 2,male,income code 4,does not have a GA travelcard,origin zone code 22,destination zone code 25,survey stratum 0,car is available for this trip
82,2,0,1,1,5,1,1,3,1,3,0,17,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 1,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 2,survey stratum 0,car is available for this trip
83,2,0,1,1,5,2,1,2,0,4,0,2,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 2,luggage code 1,age code 2,female,income code 4,does not have a GA travelcard,origin zone code 2,destination zone code 17,survey stratum 0,car is available for this trip
84,2,0,1,1,5,2,1,2,1,3,0,22,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 2,luggage code 1,age code 2,male,income code 3,does not have a GA travelcard,origin zone code 22,destination zone code 1,survey stratum 0,car is available for this trip
85,2,0,1,1,5,2,1,3,1,3,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
86,2,0,1,1,5,2,1,3,1,3,0,25,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 25,destination zone code 1,survey stratum 0,car is available for this trip
87,2,0,1,1,5,2,1,2,1,2,0,20,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 5,payer code 2,luggage code 1,age code 2,male,income code 2,does not have a GA travelcard,origin zone code 20,destination zone code 2,survey stratum 0,car is available for this trip
88,2,0,1,1,6,1,1,3,1,3,1,1,25,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 1,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 25,survey stratum 0,car is available for this trip
89,2,0,1,1,6,1,1,3,1,3,1,2,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 1,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
90,2,0,1,1,6,1,1,4,1,1,1,1,17,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 1,luggage code 1,age code 4,male,income code 1,has a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is not available for this trip
91,2,0,1,1,6,2,1,1,1,2,1,2,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 1,male,income code 2,has a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
92,2,0,1,1,6,2,1,2,1,2,1,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 2,male,income code 2,has a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
93,2,0,1,1,6,2,1,3,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
94,2,0,1,1,6,2,1,3,1,3,1,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
95,2,0,1,1,6,2,1,3,1,3,1,2,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
96,2,0,1,1,6,2,1,3,1,3,1,19,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 19,destination zone code 17,survey stratum 0,car is available for this trip
97,2,0,1,1,6,2,1,4,1,3,1,1,2,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 1,age code 4,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 2,survey stratum 0,car is available for this trip
98,2,0,1,1,6,2,3,2,1,3,1,10,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 2,luggage code 3,age code 2,male,income code 3,has a GA travelcard,origin zone code 10,destination zone code 1,survey stratum 0,car is available for this trip
99,2,0,1,1,6,3,1,3,1,3,1,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 3,luggage code 1,age code 3,male,income code 3,has a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
100,2,0,1,1,6,3,1,4,0,3,1,22,2,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 3,luggage code 1,age code 4,female,income code 3,has a GA travelcard,origin zone code 22,destination zone code 2,survey stratum 0,car is not available for this trip
101,2,0,1,1,6,3,1,4,1,4,1,2,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 6,payer code 3,luggage code 1,age code 4,male,income code 4,has a GA travelcard,origin zone code 2,destination zone code 1,survey stratum 0,car is available for this trip
102,2,0,1,1,8,1,1,3,0,3,0,1,17,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 8,payer code 1,luggage code 1,age code 3,female,income code 3,does not have a GA travelcard,origin zone code 1,destination zone code 17,survey stratum 0,car is available for this trip
103,2,0,1,1,8,2,1,3,0,2,0,25,22,0,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 8,payer code 2,luggage code 1,age code 3,female,income code 2,does not have a GA travelcard,origin zone code 25,destination zone code 22,survey stratum 0,car is not available for this trip
104,2,0,1,1,8,2,1,3,1,3,0,17,1,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 8,payer code 2,luggage code 1,age code 3,male,income code 3,does not have a GA travelcard,origin zone code 17,destination zone code 1,survey stratum 0,car is available for this trip
105,2,0,1,1,10,2,1,2,0,3,0,25,23,1,9,empirical_cleaned_profile,purpose code 1,first class,ticket category code 10,payer code 2,luggage code 1,age code 2,female,income code 3,does not have a GA travelcard,origin zone code 25,destination zone code 23,survey stratum 0,car is available for this trip
