GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE,custom_id,task_position,task_id,TRAIN_COST_SCALED,SM_COST_SCALED,CAR_COST_SCALED,TRAIN_TIME_SCALED,SM_TIME_SCALED,CAR_TIME_SCALED,chosen_alternative_name
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,30,29,46,10,0,117,182,2,56,2,H0007_T02,0.42,0.46,1.82,0.8,0.29,1.17,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,42,60,36,56,30,0,117,112,2,57,3,H0007_T03,0.42,0.56,1.12,1.01,0.36,1.17,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,35,30,32,49,20,0,72,112,2,58,4,H0007_T04,0.35,0.49,1.12,0.8,0.32,0.72,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,31,60,32,38,20,0,90,182,2,59,5,H0007_T05,0.31,0.38,1.82,1.01,0.32,0.9,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,87,31,120,29,46,10,0,90,112,2,60,6,H0007_T06,0.31,0.46,1.12,0.87,0.29,0.9,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,42,120,36,56,10,0,72,140,1,61,7,H0007_T07,0.42,0.56,1.4,0.8,0.36,0.72,TRAIN
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,80,31,30,36,40,30,0,90,140,2,62,8,H0007_T08,0.31,0.4,1.4,0.8,0.36,0.9,SWISSMETRO
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,35,60,29,43,10,0,72,140,2,63,9,H0007_T09,0.35,0.43,1.4,1.01,0.29,0.72,SWISSMETRO
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,26,120,56,34,20,0,130,30,2,64,1,H0008_T01,0.26,0.34,0.3,1.09,0.56,1.3,SWISSMETRO
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,30,53,32,10,0,130,39,2,65,2,H0008_T02,0.26,0.32,0.39,1.0,0.53,1.3,SWISSMETRO
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,26,60,60,40,30,0,130,24,2,66,3,H0008_T03,0.26,0.4,0.24,1.26,0.6,1.3,SWISSMETRO
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,22,30,56,35,20,0,80,24,3,67,4,H0008_T04,0.22,0.35,0.24,1.0,0.56,0.8,CAR
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,20,60,56,24,20,0,100,39,2,68,5,H0008_T05,0.2,0.24,0.39,1.26,0.56,1.0,SWISSMETRO
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,20,120,53,32,10,0,100,24,3,69,6,H0008_T06,0.2,0.32,0.24,1.09,0.53,1.0,CAR
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,26,120,60,40,10,0,80,30,3,70,7,H0008_T07,0.26,0.4,0.3,1.0,0.6,0.8,CAR
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,100,20,30,60,26,30,0,100,30,2,71,8,H0008_T08,0.2,0.26,0.3,1.0,0.6,1.0,SWISSMETRO
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,126,22,60,53,28,10,0,80,30,2,72,9,H0008_T09,0.22,0.28,0.3,1.26,0.53,0.8,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,30,53,28,10,0,60,32,2,73,1,H0009_T01,0.24,0.28,0.32,1.16,0.53,0.6,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,22,30,46,32,20,0,78,40,2,74,2,H0009_T02,0.22,0.32,0.4,1.16,0.46,0.78,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,24,120,49,36,10,1,78,52,2,75,3,H0009_T03,0.24,0.36,0.52,1.16,0.49,0.78,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,95,22,60,46,32,30,1,48,52,2,76,4,H0009_T04,0.22,0.32,0.52,0.95,0.46,0.48,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,30,46,29,30,1,78,32,2,77,5,H0009_T05,0.24,0.29,0.32,1.02,0.46,0.78,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,29,60,46,32,20,0,48,32,2,78,6,H0009_T06,0.29,0.32,0.32,1.02,0.46,0.48,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,22,30,49,25,10,1,48,40,2,79,7,H0009_T07,0.22,0.25,0.4,1.02,0.49,0.48,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,102,24,60,49,36,30,0,60,40,2,80,8,H0009_T08,0.24,0.36,0.4,1.02,0.49,0.6,SWISSMETRO
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,29,30,49,35,30,0,48,52,2,81,9,H0009_T09,0.29,0.35,0.52,1.16,0.49,0.48,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,42,120,59,46,30,1,0,0,2,82,1,H0010_T01,0.42,0.46,0.0,1.31,0.59,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,31,120,62,38,30,0,0,0,1,83,2,H0010_T02,0.31,0.38,0.0,1.1,0.62,0.0,TRAIN
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,31,120,66,40,20,1,0,0,2,84,3,H0010_T03,0.31,0.4,0.0,1.31,0.66,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,31,60,66,40,10,0,0,0,2,85,4,H0010_T04,0.31,0.4,0.0,1.17,0.66,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,35,120,66,42,30,0,0,0,2,86,5,H0010_T05,0.35,0.42,0.0,1.17,0.66,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,35,60,66,42,20,1,0,0,2,87,6,H0010_T06,0.35,0.42,0.0,1.1,0.66,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,42,60,62,49,10,1,0,0,2,88,7,H0010_T07,0.42,0.49,0.0,1.1,0.62,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,110,35,120,59,43,20,0,0,0,2,89,8,H0010_T08,0.35,0.43,0.0,1.1,0.59,0.0,SWISSMETRO
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,117,42,30,66,56,20,1,0,0,1,90,9,H0010_T09,0.42,0.56,0.0,1.17,0.66,0.0,TRAIN
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,32,30,52,38,10,0,0,0,2,91,1,H0011_T01,0.32,0.38,0.0,1.16,0.52,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,32,120,48,43,10,1,0,0,2,92,2,H0011_T02,0.32,0.43,0.0,1.16,0.48,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,29,30,45,40,20,0,0,0,2,93,3,H0011_T03,0.29,0.4,0.0,1.16,0.45,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,93,29,60,45,40,30,1,0,0,2,94,4,H0011_T04,0.29,0.4,0.0,0.93,0.45,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,32,30,45,40,30,1,0,0,2,95,5,H0011_T05,0.32,0.4,0.0,1.01,0.45,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,29,30,48,34,10,1,0,0,2,96,6,H0011_T06,0.29,0.34,0.0,1.01,0.48,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,38,60,45,43,20,0,0,0,2,97,7,H0011_T07,0.38,0.43,0.0,1.01,0.45,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,116,38,30,48,45,30,0,0,0,2,98,8,H0011_T08,0.38,0.45,0.0,1.16,0.48,0.0,SWISSMETRO
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,101,32,60,48,43,30,0,0,0,2,99,9,H0011_T09,0.32,0.43,0.0,1.01,0.48,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,36,30,66,42,10,0,0,0,2,100,1,H0012_T01,0.36,0.42,0.0,1.31,0.66,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,36,120,62,50,10,1,0,0,2,101,2,H0012_T02,0.36,0.5,0.0,1.31,0.62,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,32,30,59,48,20,0,0,0,2,102,3,H0012_T03,0.32,0.48,0.0,1.31,0.59,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,110,32,60,59,48,30,1,0,0,2,103,4,H0012_T04,0.32,0.48,0.0,1.1,0.59,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,36,30,59,45,30,1,0,0,2,104,5,H0012_T05,0.36,0.45,0.0,1.17,0.59,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,32,30,62,38,10,1,0,0,2,105,6,H0012_T06,0.32,0.38,0.0,1.17,0.62,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,43,60,59,48,20,0,0,0,2,106,7,H0012_T07,0.43,0.48,0.0,1.17,0.59,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,131,43,30,62,49,30,0,0,0,2,107,8,H0012_T08,0.43,0.49,0.0,1.31,0.62,0.0,SWISSMETRO
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,36,60,62,50,30,0,0,0,2,108,9,H0012_T09,0.36,0.5,0.0,1.17,0.62,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,168,37,120,86,40,30,1,0,0,2,109,1,H0013_T01,0.37,0.4,0.0,1.68,0.86,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,28,120,89,32,30,0,0,0,2,110,2,H0013_T02,0.28,0.32,0.0,1.29,0.89,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,168,28,120,93,32,20,1,0,0,2,111,3,H0013_T03,0.28,0.32,0.0,1.68,0.93,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,142,28,60,93,32,10,0,0,0,2,112,4,H0013_T04,0.28,0.32,0.0,1.42,0.93,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,142,31,120,93,34,30,0,0,0,2,113,5,H0013_T05,0.31,0.34,0.0,1.42,0.93,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,31,60,93,34,20,1,0,0,1,114,6,H0013_T06,0.31,0.34,0.0,1.29,0.93,0.0,TRAIN
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,37,60,89,42,10,1,0,0,1,115,7,H0013_T07,0.37,0.42,0.0,1.29,0.89,0.0,TRAIN
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,31,120,86,36,20,0,0,0,2,116,8,H0013_T08,0.31,0.36,0.0,1.29,0.86,0.0,SWISSMETRO
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,142,37,30,93,46,20,1,0,0,2,117,9,H0013_T09,0.37,0.46,0.0,1.42,0.93,0.0,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,130,31,120,77,38,20,0,91,100,2,118,1,H0014_T01,0.31,0.38,1.0,1.3,0.77,0.91,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,31,30,74,36,10,0,91,130,2,119,2,H0014_T02,0.31,0.36,1.3,1.18,0.74,0.91,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,31,60,81,43,30,0,91,80,2,120,3,H0014_T03,0.31,0.43,0.8,1.53,0.81,0.91,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,26,30,77,38,20,0,56,80,1,121,4,H0014_T04,0.26,0.38,0.8,1.18,0.77,0.56,TRAIN
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,23,60,77,28,20,0,70,130,2,122,5,H0014_T05,0.23,0.28,1.3,1.53,0.77,0.7,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,130,23,120,74,35,10,0,70,80,2,123,6,H0014_T06,0.23,0.35,0.8,1.3,0.74,0.7,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,31,120,81,43,10,0,56,100,2,124,7,H0014_T07,0.31,0.43,1.0,1.18,0.81,0.56,SWISSMETRO
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,118,23,30,81,29,30,0,70,100,1,125,8,H0014_T08,0.23,0.29,1.0,1.18,0.81,0.7,TRAIN
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,26,60,74,32,10,0,56,100,2,126,9,H0014_T09,0.26,0.32,1.0,1.53,0.74,0.56,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,111,26,120,41,31,30,1,0,0,2,127,1,H0015_T01,0.26,0.31,0.0,1.11,0.41,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,111,20,120,48,26,20,1,0,0,2,128,2,H0015_T02,0.2,0.26,0.0,1.11,0.48,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,20,120,44,24,30,0,0,0,2,129,3,H0015_T03,0.2,0.24,0.0,0.9,0.44,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,20,60,48,26,10,0,0,0,2,130,4,H0015_T04,0.2,0.26,0.0,0.97,0.48,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,22,120,48,26,30,0,0,0,2,131,5,H0015_T05,0.22,0.26,0.0,0.97,0.48,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,22,60,48,26,20,1,0,0,2,132,6,H0015_T06,0.22,0.26,0.0,0.9,0.48,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,26,60,44,32,10,1,0,0,2,133,7,H0015_T07,0.26,0.32,0.0,0.9,0.44,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,90,22,120,41,28,20,0,0,0,2,134,8,H0015_T08,0.22,0.28,0.0,0.9,0.41,0.0,SWISSMETRO
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,26,30,48,40,20,1,0,0,1,135,9,H0015_T09,0.26,0.4,0.0,0.97,0.48,0.0,TRAIN
