custom_id,ID,mode_id,alternative_name,CHOICE,choice,availability,travel_time,travel_cost,headway,seat_configuration,travel_time_hundredth,travel_cost_hundredth,GROUP,SURVEY,SP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV
5,1,3,CAR,2,0,1,90,84,0,0,0.9,0.84,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
6,1,1,TRAIN,2,0,1,112,36,120,0,1.12,0.36,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
6,1,2,SWISSMETRO,2,1,1,60,49,10,0,0.6,0.49,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
6,1,3,CAR,2,0,1,90,52,0,0,0.9,0.52,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
7,1,1,TRAIN,2,0,1,103,48,120,0,1.03,0.48,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
7,1,2,SWISSMETRO,2,1,1,67,58,10,0,0.67,0.58,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
7,1,3,CAR,2,0,1,72,65,0,0,0.72,0.65,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
8,1,1,TRAIN,1,1,1,103,36,30,0,1.03,0.36,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
8,1,2,SWISSMETRO,1,0,1,67,43,30,0,0.67,0.43,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
8,1,3,CAR,1,0,1,90,65,0,0,0.9,0.65,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
9,1,1,TRAIN,2,0,1,130,40,60,0,1.3,0.4,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
9,1,2,SWISSMETRO,2,1,1,60,46,10,0,0.6,0.46,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
9,1,3,CAR,2,0,1,72,65,0,0,0.72,0.65,2,0,1,1,0,1,1,0,3,0,2,0,2,1,1
10,2,1,TRAIN,2,0,1,184,62,120,0,1.84,0.62,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
10,2,2,SWISSMETRO,2,1,1,76,70,20,0,0.76,0.7,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
10,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
11,2,1,TRAIN,2,0,1,170,62,30,0,1.7,0.62,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
11,2,2,SWISSMETRO,2,1,1,70,66,10,0,0.7,0.66,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
11,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
12,2,1,TRAIN,2,0,1,213,62,60,0,2.13,0.62,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
12,2,2,SWISSMETRO,2,1,1,84,82,30,0,0.84,0.82,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
12,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
13,2,1,TRAIN,2,0,1,170,52,30,0,1.7,0.52,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
13,2,2,SWISSMETRO,2,1,1,76,72,20,0,0.76,0.72,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
13,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
14,2,1,TRAIN,2,0,1,213,47,60,0,2.13,0.47,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
14,2,2,SWISSMETRO,2,1,1,76,53,20,0,0.76,0.53,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
14,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
15,2,1,TRAIN,2,0,1,184,47,120,0,1.84,0.47,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
15,2,2,SWISSMETRO,2,1,1,70,66,10,0,0.7,0.66,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
15,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
16,2,1,TRAIN,2,0,1,170,62,120,0,1.7,0.62,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
16,2,2,SWISSMETRO,2,1,1,84,82,10,0,0.84,0.82,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
16,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
17,2,1,TRAIN,2,0,1,170,47,30,0,1.7,0.47,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
17,2,2,SWISSMETRO,2,1,1,84,57,30,0,0.84,0.57,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
17,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
18,2,1,TRAIN,2,0,1,213,52,60,0,2.13,0.52,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
18,2,2,SWISSMETRO,2,1,1,70,62,10,0,0.7,0.62,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
18,2,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,0,1,0,22,1,0
19,3,1,TRAIN,2,0,1,58,32,30,0,0.58,0.32,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
19,3,2,SWISSMETRO,2,1,1,29,35,10,0,0.29,0.35,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
19,3,3,CAR,2,0,1,105,40,0,0,1.05,0.4,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
20,3,1,TRAIN,2,0,1,58,29,30,0,0.58,0.29,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
20,3,2,SWISSMETRO,2,1,1,25,38,20,0,0.25,0.38,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
20,3,3,CAR,2,0,1,136,50,0,0,1.36,0.5,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
21,3,1,TRAIN,2,0,1,58,32,120,0,0.58,0.32,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
21,3,2,SWISSMETRO,2,1,1,27,40,10,1,0.27,0.4,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
21,3,3,CAR,2,0,1,136,65,0,0,1.36,0.65,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
22,3,1,TRAIN,2,0,1,47,29,60,0,0.47,0.29,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
22,3,2,SWISSMETRO,2,1,1,25,38,30,1,0.25,0.38,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
22,3,3,CAR,2,0,1,84,65,0,0,0.84,0.65,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
23,3,1,TRAIN,2,0,1,51,32,30,0,0.51,0.32,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
23,3,2,SWISSMETRO,2,1,1,25,36,30,1,0.25,0.36,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
23,3,3,CAR,2,0,1,136,40,0,0,1.36,0.4,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
24,3,1,TRAIN,2,0,1,51,38,60,0,0.51,0.38,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
24,3,2,SWISSMETRO,2,1,1,25,42,20,0,0.25,0.42,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
24,3,3,CAR,2,0,1,84,40,0,0,0.84,0.4,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
25,3,1,TRAIN,2,0,1,51,29,30,0,0.51,0.29,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
25,3,2,SWISSMETRO,2,1,1,27,32,10,1,0.27,0.32,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
25,3,3,CAR,2,0,1,84,50,0,0,0.84,0.5,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
26,3,1,TRAIN,2,0,1,51,32,60,0,0.51,0.32,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
26,3,2,SWISSMETRO,2,1,1,27,40,30,0,0.27,0.4,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
26,3,3,CAR,2,0,1,105,50,0,0,1.05,0.5,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
27,3,1,TRAIN,2,0,1,58,38,30,0,0.58,0.38,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
27,3,2,SWISSMETRO,2,1,1,27,42,30,0,0.27,0.42,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
27,3,3,CAR,2,0,1,84,65,0,0,0.84,0.65,2,0,1,1,0,1,1,1,2,1,2,0,10,25,1
28,4,1,TRAIN,2,0,1,138,40,30,0,1.38,0.4,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
28,4,2,SWISSMETRO,2,1,1,65,45,10,0,0.65,0.45,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
28,4,3,CAR,2,0,1,135,80,0,0,1.35,0.8,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
29,4,1,TRAIN,2,0,1,138,40,120,0,1.38,0.4,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
29,4,2,SWISSMETRO,2,1,1,61,52,10,1,0.61,0.52,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
29,4,3,CAR,2,0,1,175,130,0,0,1.75,1.3,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
30,4,1,TRAIN,2,0,1,138,36,30,0,1.38,0.36,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
30,4,2,SWISSMETRO,2,1,1,58,49,20,0,0.58,0.49,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
30,4,3,CAR,2,0,1,175,100,0,0,1.75,1.0,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
31,4,1,TRAIN,2,0,1,105,36,60,0,1.05,0.36,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
31,4,2,SWISSMETRO,2,1,1,58,49,30,1,0.58,0.49,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
31,4,3,CAR,2,0,1,108,130,0,0,1.08,1.3,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
32,4,1,TRAIN,2,0,1,116,40,30,0,1.16,0.4,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
32,4,2,SWISSMETRO,2,1,1,58,46,30,1,0.58,0.46,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
32,4,3,CAR,2,0,1,175,80,0,0,1.75,0.8,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
33,4,1,TRAIN,2,0,1,116,36,30,0,1.16,0.36,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
33,4,2,SWISSMETRO,2,1,1,61,42,10,1,0.61,0.42,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
33,4,3,CAR,2,0,1,108,100,0,0,1.08,1.0,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
34,4,1,TRAIN,2,0,1,116,48,60,0,1.16,0.48,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
34,4,2,SWISSMETRO,2,1,1,58,50,20,0,0.58,0.5,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
34,4,3,CAR,2,0,1,108,80,0,0,1.08,0.8,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
35,4,1,TRAIN,2,0,1,138,48,30,0,1.38,0.48,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
35,4,2,SWISSMETRO,2,1,1,61,52,30,0,0.61,0.52,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
35,4,3,CAR,2,0,1,108,130,0,0,1.08,1.3,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
36,4,1,TRAIN,2,0,1,116,40,60,0,1.16,0.4,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
36,4,2,SWISSMETRO,2,1,1,61,52,30,0,0.61,0.52,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
36,4,3,CAR,2,0,1,135,100,0,0,1.35,1.0,2,0,1,1,0,1,1,1,2,1,3,0,19,2,1
37,5,1,TRAIN,2,0,1,269,70,120,0,2.69,0.7,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
37,5,2,SWISSMETRO,2,1,1,216,72,20,0,2.16,0.72,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
37,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
38,5,1,TRAIN,2,0,1,243,70,30,0,2.43,0.7,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
38,5,2,SWISSMETRO,2,1,1,213,70,10,0,2.13,0.7,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
38,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
39,5,1,TRAIN,2,0,1,320,70,60,0,3.2,0.7,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
39,5,2,SWISSMETRO,2,1,1,220,74,30,0,2.2,0.74,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
39,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
40,5,1,TRAIN,2,0,1,243,58,30,0,2.43,0.58,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
40,5,2,SWISSMETRO,2,1,1,216,66,20,0,2.16,0.66,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
40,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
41,5,1,TRAIN,2,0,1,320,52,60,0,3.2,0.52,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
41,5,2,SWISSMETRO,2,1,1,216,57,20,0,2.16,0.57,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
41,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
42,5,1,TRAIN,2,0,1,269,52,120,0,2.69,0.52,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
42,5,2,SWISSMETRO,2,1,1,213,62,10,0,2.13,0.62,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
42,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
43,5,1,TRAIN,2,0,1,243,70,120,0,2.43,0.7,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
43,5,2,SWISSMETRO,2,1,1,220,74,10,0,2.2,0.74,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
43,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
44,5,1,TRAIN,2,0,1,243,52,30,0,2.43,0.52,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
44,5,2,SWISSMETRO,2,1,1,220,57,30,0,2.2,0.57,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
44,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
45,5,1,TRAIN,2,0,1,320,58,60,0,3.2,0.58,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
45,5,2,SWISSMETRO,2,1,1,213,64,10,0,2.13,0.64,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
45,5,3,CAR,2,0,0,0,0,0,0,0.0,0.0,2,0,1,1,0,1,1,1,2,1,3,0,21,17,0
46,6,1,TRAIN,2,0,1,116,35,120,0,1.16,0.35,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
46,6,2,SWISSMETRO,2,1,1,46,38,30,1,0.46,0.38,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
46,6,3,CAR,2,0,1,70,35,0,0,0.7,0.35,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
47,6,1,TRAIN,2,0,1,95,26,120,0,0.95,0.26,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
47,6,2,SWISSMETRO,2,1,1,49,29,30,0,0.49,0.29,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
47,6,3,CAR,2,0,1,91,28,0,0,0.91,0.28,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
48,6,1,TRAIN,2,0,1,116,26,120,0,1.16,0.26,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
48,6,2,SWISSMETRO,2,1,1,53,32,20,1,0.53,0.32,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
48,6,3,CAR,2,0,1,56,28,0,0,0.56,0.28,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
49,6,1,TRAIN,2,0,1,102,26,60,0,1.02,0.26,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
49,6,2,SWISSMETRO,2,1,1,53,32,10,0,0.53,0.32,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
49,6,3,CAR,2,0,1,91,45,0,0,0.91,0.45,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
50,6,1,TRAIN,2,0,1,102,29,120,0,1.02,0.29,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
50,6,2,SWISSMETRO,2,1,1,53,32,30,0,0.53,0.32,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
50,6,3,CAR,2,0,1,56,45,0,0,0.56,0.45,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
51,6,1,TRAIN,2,0,1,95,29,60,0,0.95,0.29,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
51,6,2,SWISSMETRO,2,1,1,53,32,20,1,0.53,0.32,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
51,6,3,CAR,2,0,1,91,35,0,0,0.91,0.35,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
52,6,1,TRAIN,2,0,1,95,35,60,0,0.95,0.35,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
52,6,2,SWISSMETRO,2,1,1,49,40,10,1,0.49,0.4,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
52,6,3,CAR,2,0,1,70,28,0,0,0.7,0.28,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
53,6,1,TRAIN,2,0,1,95,29,120,0,0.95,0.29,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
53,6,2,SWISSMETRO,2,1,1,46,35,20,0,0.46,0.35,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
53,6,3,CAR,2,0,1,70,45,0,0,0.7,0.45,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
54,6,1,TRAIN,2,0,1,102,35,30,0,1.02,0.35,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
54,6,2,SWISSMETRO,2,1,1,53,46,20,1,0.53,0.46,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
54,6,3,CAR,2,0,1,70,45,0,0,0.7,0.45,2,0,1,1,0,1,1,1,3,0,3,0,9,17,1
55,7,1,TRAIN,2,0,1,87,42,120,0,0.87,0.42,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
55,7,2,SWISSMETRO,2,1,1,32,49,20,0,0.32,0.49,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
55,7,3,CAR,2,0,1,117,140,0,0,1.17,1.4,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
56,7,1,TRAIN,2,0,1,80,42,30,0,0.8,0.42,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
56,7,2,SWISSMETRO,2,1,1,29,46,10,0,0.29,0.46,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
56,7,3,CAR,2,0,1,117,182,0,0,1.17,1.82,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
57,7,1,TRAIN,2,0,1,101,42,60,0,1.01,0.42,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
57,7,2,SWISSMETRO,2,1,1,36,56,30,0,0.36,0.56,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
57,7,3,CAR,2,0,1,117,112,0,0,1.17,1.12,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
58,7,1,TRAIN,2,0,1,80,35,30,0,0.8,0.35,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
58,7,2,SWISSMETRO,2,1,1,32,49,20,0,0.32,0.49,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
58,7,3,CAR,2,0,1,72,112,0,0,0.72,1.12,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
59,7,1,TRAIN,2,0,1,101,31,60,0,1.01,0.31,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
59,7,2,SWISSMETRO,2,1,1,32,38,20,0,0.32,0.38,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
59,7,3,CAR,2,0,1,90,182,0,0,0.9,1.82,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
60,7,1,TRAIN,2,0,1,87,31,120,0,0.87,0.31,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
60,7,2,SWISSMETRO,2,1,1,29,46,10,0,0.29,0.46,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
60,7,3,CAR,2,0,1,90,112,0,0,0.9,1.12,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
61,7,1,TRAIN,1,1,1,80,42,120,0,0.8,0.42,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
61,7,2,SWISSMETRO,1,0,1,36,56,10,0,0.36,0.56,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
61,7,3,CAR,1,0,1,72,140,0,0,0.72,1.4,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
62,7,1,TRAIN,2,0,1,80,31,30,0,0.8,0.31,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
62,7,2,SWISSMETRO,2,1,1,36,40,30,0,0.36,0.4,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
62,7,3,CAR,2,0,1,90,140,0,0,0.9,1.4,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
63,7,1,TRAIN,2,0,1,101,35,60,0,1.01,0.35,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
63,7,2,SWISSMETRO,2,1,1,29,43,10,0,0.29,0.43,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
63,7,3,CAR,2,0,1,72,140,0,0,0.72,1.4,2,0,1,1,0,1,1,1,3,1,1,0,1,2,1
64,8,1,TRAIN,2,0,1,109,26,120,0,1.09,0.26,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
64,8,2,SWISSMETRO,2,1,1,56,34,20,0,0.56,0.34,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
64,8,3,CAR,2,0,1,130,30,0,0,1.3,0.3,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
65,8,1,TRAIN,2,0,1,100,26,30,0,1.0,0.26,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
65,8,2,SWISSMETRO,2,1,1,53,32,10,0,0.53,0.32,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
65,8,3,CAR,2,0,1,130,39,0,0,1.3,0.39,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
66,8,1,TRAIN,2,0,1,126,26,60,0,1.26,0.26,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
66,8,2,SWISSMETRO,2,1,1,60,40,30,0,0.6,0.4,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
66,8,3,CAR,2,0,1,130,24,0,0,1.3,0.24,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
67,8,1,TRAIN,3,0,1,100,22,30,0,1.0,0.22,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
67,8,2,SWISSMETRO,3,0,1,56,35,20,0,0.56,0.35,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
67,8,3,CAR,3,1,1,80,24,0,0,0.8,0.24,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
68,8,1,TRAIN,2,0,1,126,20,60,0,1.26,0.2,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
68,8,2,SWISSMETRO,2,1,1,56,24,20,0,0.56,0.24,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
68,8,3,CAR,2,0,1,100,39,0,0,1.0,0.39,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
69,8,1,TRAIN,3,0,1,109,20,120,0,1.09,0.2,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
69,8,2,SWISSMETRO,3,0,1,53,32,10,0,0.53,0.32,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
69,8,3,CAR,3,1,1,100,24,0,0,1.0,0.24,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
70,8,1,TRAIN,3,0,1,100,26,120,0,1.0,0.26,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
70,8,2,SWISSMETRO,3,0,1,60,40,10,0,0.6,0.4,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
70,8,3,CAR,3,1,1,80,30,0,0,0.8,0.3,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
71,8,1,TRAIN,2,0,1,100,20,30,0,1.0,0.2,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
71,8,2,SWISSMETRO,2,1,1,60,26,30,0,0.6,0.26,2,0,1,1,0,1,1,1,4,1,3,0,1,17,1
