source_human_id,survey_stratum,car_av,ga,baseline_train_time,baseline_train_cost,baseline_sm_time,baseline_sm_cost,baseline_car_time,baseline_car_cost
84,0,1,0,177.0,83.0,69.0,108.0,150.0,100.0
85,0,1,0,97.0,83.0,44.0,108.0,60.0,35.0
86,0,1,0,213.0,83.0,84.0,108.0,250.0,205.0
87,0,1,0,181.0,83.0,126.0,108.0,140.0,85.0
88,0,1,1,207.0,4200.0,78.0,5460.0,165.0,165.0
89,0,1,1,112.0,4200.0,57.0,5460.0,120.0,75.0
90,0,0,1,97.0,4200.0,44.0,5460.0,0.0,0.0
91,0,1,1,77.0,4200.0,22.0,5460.0,90.0,120.0
92,0,1,1,103.0,4200.0,50.0,5460.0,80.0,30.0
93,0,1,1,136.0,4200.0,81.0,5460.0,80.0,50.0
94,0,1,1,102.0,4200.0,49.0,5460.0,60.0,100.0
95,0,1,1,107.0,4200.0,52.0,5460.0,120.0,80.0
96,0,1,1,112.0,4200.0,59.0,5460.0,100.0,150.0
97,0,1,1,132.0,4200.0,77.0,5460.0,90.0,65.0
98,0,1,1,140.0,4200.0,99.0,5460.0,80.0,150.0
99,0,1,1,116.0,4200.0,63.0,5460.0,70.0,45.0
100,0,0,1,89.0,4200.0,34.0,5460.0,0.0,0.0
101,0,1,1,94.0,4200.0,39.0,5460.0,75.0,25.0
102,0,1,0,89.0,149.0,36.0,194.0,60.0,40.0
103,0,0,0,54.0,174.0,30.0,226.0,0.0,0.0
104,0,1,0,97.0,222.0,44.0,289.0,60.0,40.0
105,0,1,0,115.0,226.0,91.0,294.0,90.0,45.0
219,0,0,0,229.0,64.0,100.0,80.0,0.0,0.0
220,0,0,0,47.0,18.0,23.0,23.0,0.0,0.0
221,0,1,0,89.0,25.0,34.0,32.0,70.0,20.0
222,0,0,0,227.0,66.0,100.0,82.0,0.0,0.0
223,0,0,0,234.0,57.0,126.0,66.0,0.0,0.0
224,0,1,0,75.0,29.0,51.0,34.0,80.0,35.0
225,0,0,0,249.0,38.0,194.0,45.0,0.0,0.0
226,0,0,0,128.0,35.0,73.0,43.5,0.0,0.0
227,0,0,0,112.0,26.0,59.0,33.0,0.0,0.0
228,0,0,0,93.0,38.0,38.0,46.5,0.0,0.0
229,0,0,0,154.0,48.0,78.0,57.0,0.0,0.0
230,0,0,0,89.0,22.0,40.0,29.0,0.0,0.0
231,0,1,0,122.0,40.0,46.0,46.0,110.0,65.0
232,0,0,0,61.0,24.0,37.0,28.5,0.0,0.0
233,0,0,0,64.0,16.0,40.0,21.0,0.0,0.0
234,0,0,0,112.0,22.0,59.0,29.0,0.0,0.0
235,0,1,0,254.0,56.0,180.0,72.0,170.0,100.0
236,0,0,0,127.0,29.0,74.0,35.0,0.0,0.0
237,0,1,0,209.0,54.0,101.0,67.0,160.0,100.0
238,0,1,0,184.0,57.0,76.0,66.0,190.0,95.0
239,0,0,0,129.0,26.0,105.0,34.0,0.0,0.0
240,0,1,0,74.0,18.0,50.0,22.0,50.0,25.0
241,0,1,0,230.0,62.0,101.0,72.0,190.0,130.0
242,0,1,0,67.0,25.0,43.0,31.0,60.0,40.0
243,0,0,0,119.0,48.0,64.0,54.0,0.0,0.0
244,0,0,0,108.0,32.0,97.0,36.0,0.0,0.0
245,0,1,0,140.0,40.0,64.0,46.0,75.0,70.0
246,0,1,0,128.0,40.0,73.0,48.0,110.0,70.0
247,0,1,0,98.0,32.0,87.0,39.0,100.0,40.0
248,0,0,0,84.0,26.0,60.0,32.0,0.0,0.0
249,0,0,0,63.0,24.0,39.0,28.5,0.0,0.0
250,0,0,0,87.0,35.0,32.0,43.0,0.0,0.0
251,0,1,0,125.0,40.0,49.0,48.0,110.0,35.0
252,0,1,0,115.0,40.0,39.0,48.0,110.0,65.0
253,0,0,0,214.0,62.0,85.0,80.0,0.0,0.0
254,0,0,0,125.0,40.0,49.0,46.0,0.0,0.0
255,0,1,0,129.0,38.0,74.0,45.0,80.0,50.0
256,0,1,0,113.0,26.0,58.0,33.5,70.0,66.0
257,0,1,0,131.0,42.0,88.0,50.0,110.0,70.0
258,0,0,0,163.0,52.0,55.0,64.0,0.0,0.0
259,0,1,0,197.0,45.0,142.0,53.0,180.0,65.0
260,0,0,0,147.0,45.0,71.0,54.0,0.0,0.0
261,0,0,0,64.0,16.0,40.0,21.0,0.0,0.0
262,0,0,0,88.0,22.0,35.0,29.5,0.0,0.0
263,0,0,0,215.0,37.0,86.0,44.0,0.0,0.0
264,0,0,0,114.0,18.0,61.0,21.0,0.0,0.0
265,0,1,0,64.0,15.0,40.0,19.0,70.0,60.0
266,0,1,0,74.0,10.0,50.0,14.0,60.0,10.0
267,0,0,0,95.0,15.0,40.0,19.0,0.0,0.0
268,0,0,0,38.0,10.0,14.0,14.5,0.0,0.0
269,0,1,0,103.0,63.0,48.0,76.0,70.0,50.0
270,0,0,0,169.0,95.0,114.0,106.0,0.0,0.0
271,0,0,0,199.0,106.0,86.0,132.0,0.0,0.0
272,0,0,0,120.0,52.0,97.0,71.0,0.0,0.0
273,0,1,0,166.0,80.0,90.0,99.0,120.0,85.0
274,0,1,0,102.0,48.0,49.0,61.5,60.0,40.0
275,0,0,0,122.0,52.0,77.0,66.5,0.0,0.0
276,0,1,0,60.0,38.0,36.0,50.0,40.0,20.0
277,0,0,0,206.0,108.0,98.0,128.0,0.0,0.0
278,0,1,0,197.0,123.0,68.0,156.0,190.0,100.0
279,0,0,0,208.0,123.0,79.0,144.0,0.0,0.0
280,0,1,0,59.0,45.0,35.0,57.5,70.0,35.0
281,0,1,0,46.0,37.0,22.0,43.0,50.0,30.0
282,0,1,0,96.0,68.0,72.0,83.0,70.0,50.0
283,0,1,0,216.0,108.0,108.0,133.5,170.0,100.0
284,0,0,0,46.0,37.0,22.0,48.0,0.0,0.0
285,0,1,0,160.0,43.0,136.0,52.0,150.0,30.0
286,0,1,0,226.0,74.0,97.0,90.5,210.0,65.0
287,0,0,0,219.0,74.0,90.0,97.0,0.0,0.0
288,0,0,0,219.0,74.0,90.0,90.0,0.0,0.0
289,0,0,0,80.0,24.0,31.0,32.5,0.0,0.0
290,0,1,0,246.0,50.0,138.0,65.0,180.0,105.0
291,0,1,0,214.0,50.0,85.0,65.0,210.0,115.0
292,0,1,0,185.0,50.0,77.0,65.0,160.0,95.0
293,0,1,0,198.0,50.0,90.0,65.0,170.0,115.0
294,0,0,0,172.0,50.0,59.0,65.0,0.0,0.0
295,0,0,1,242.0,2600.0,75.0,3380.0,0.0,0.0
296,0,0,1,143.0,2600.0,88.0,3380.0,0.0,0.0
297,0,0,1,131.0,2600.0,88.0,3380.0,0.0,0.0
298,0,1,1,89.0,2600.0,34.0,3380.0,80.0,40.0
299,0,0,1,117.0,2600.0,62.0,3380.0,0.0,0.0
300,0,0,1,79.0,2600.0,55.0,3380.0,0.0,0.0
301,0,0,1,102.0,2600.0,91.0,3380.0,0.0,0.0
302,0,0,1,132.0,2600.0,56.0,3380.0,0.0,0.0
303,0,0,1,176.0,2600.0,93.0,3380.0,0.0,0.0
304,0,1,1,87.0,2600.0,63.0,3380.0,70.0,40.0
305,0,0,1,232.0,2600.0,177.0,3380.0,0.0,0.0
306,0,1,1,125.0,2600.0,73.0,3380.0,110.0,80.0
307,0,0,1,81.0,2600.0,26.0,3380.0,0.0,0.0
308,0,0,1,125.0,2600.0,49.0,3380.0,0.0,0.0
309,0,0,1,200.0,2600.0,71.0,3380.0,0.0,0.0
310,0,0,1,110.0,2600.0,57.0,3380.0,0.0,0.0
311,0,1,1,121.0,2600.0,66.0,3380.0,100.0,60.0
312,0,0,1,102.0,2600.0,49.0,3380.0,0.0,0.0
313,0,0,1,120.0,2600.0,65.0,3380.0,0.0,0.0
314,0,0,1,87.0,2600.0,34.0,3380.0,0.0,0.0
315,0,0,1,244.0,2600.0,115.0,3380.0,0.0,0.0
316,0,0,1,102.0,2600.0,47.0,3380.0,0.0,0.0
317,0,1,1,392.0,2600.0,284.0,3380.0,210.0,130.0
318,0,1,1,98.0,2600.0,43.0,3380.0,70.0,30.0
319,0,0,1,121.0,2600.0,66.0,3380.0,0.0,0.0
320,0,1,1,94.0,2600.0,39.0,3380.0,80.0,50.0
321,0,1,1,217.0,2600.0,109.0,3380.0,180.0,50.0
322,0,1,1,286.0,2600.0,157.0,3380.0,270.0,95.0
323,0,1,1,82.0,2600.0,27.0,3380.0,70.0,55.0
324,0,0,1,155.0,2600.0,100.0,3380.0,0.0,0.0
325,0,0,1,132.0,1850.0,77.0,2405.0,0.0,0.0
326,0,1,1,144.0,1850.0,89.0,2405.0,90.0,50.0
327,0,0,1,97.0,1850.0,44.0,2405.0,0.0,0.0
328,0,1,1,75.0,1850.0,56.0,2405.0,50.0,25.0
329,0,0,1,173.0,1850.0,122.0,2405.0,0.0,0.0
330,0,0,1,140.0,1850.0,85.0,2405.0,0.0,0.0
331,0,0,1,111.0,1850.0,58.0,2405.0,0.0,0.0
332,0,0,1,139.0,1850.0,86.0,2405.0,0.0,0.0
333,0,0,1,96.0,1850.0,43.0,2405.0,0.0,0.0
334,0,0,1,102.0,1850.0,49.0,2405.0,0.0,0.0
335,0,1,1,144.0,1850.0,89.0,2405.0,100.0,40.0
336,0,0,1,109.0,1850.0,85.0,2405.0,0.0,0.0
337,0,0,0,54.0,209.0,30.0,272.0,0.0,0.0
338,0,0,0,64.0,116.0,40.0,151.0,0.0,0.0
339,0,0,0,107.0,216.0,52.0,281.0,0.0,0.0
340,0,0,0,80.0,54.0,56.0,70.0,0.0,0.0
341,0,1,0,55.0,44.0,31.0,57.0,45.0,30.0
342,0,1,0,201.0,88.0,88.0,108.5,140.0,85.0
343,0,1,0,108.0,53.0,53.0,60.0,70.0,40.0
344,0,1,0,151.0,46.0,98.0,56.0,60.0,35.0
345,0,1,0,139.0,68.0,84.0,81.0,100.0,100.0
346,0,0,0,99.0,54.0,88.0,60.0,0.0,0.0
347,0,0,0,109.0,60.0,54.0,78.5,0.0,0.0
348,0,1,0,165.0,74.0,110.0,84.0,150.0,80.0
349,0,0,0,238.0,99.0,130.0,122.0,0.0,0.0
350,0,1,0,164.0,88.0,56.0,108.5,180.0,95.0
351,0,1,0,97.0,81.0,44.0,94.5,180.0,100.0
352,0,1,0,153.0,68.0,77.0,81.0,110.0,65.0
353,0,1,0,207.0,109.0,99.0,133.0,170.0,95.0
354,0,1,0,254.0,118.0,125.0,141.5,180.0,165.0
355,0,1,0,161.0,81.0,85.0,95.5,150.0,90.0
356,0,1,0,116.0,65.0,61.0,78.5,90.0,55.0
357,0,0,0,262.0,127.0,133.0,150.5,0.0,0.0
358,0,0,0,87.0,22.0,34.0,32.0,0.0,0.0
359,0,0,0,97.0,74.0,44.0,101.5,0.0,0.0
360,0,1,0,179.0,176.0,71.0,217.5,120.0,95.0
361,0,0,0,153.0,136.0,98.0,155.0,0.0,0.0
362,0,1,0,189.0,176.0,76.0,225.0,140.0,85.0
363,0,1,0,94.0,85.0,39.0,112.0,70.0,45.0
364,0,0,0,115.0,136.0,39.0,155.0,0.0,0.0
365,0,1,0,135.0,153.0,94.0,169.0,110.0,200.0
366,0,1,0,85.0,99.0,61.0,119.0,70.0,40.0
367,0,1,0,173.0,83.0,60.0,108.0,140.0,80.0
368,0,0,0,230.0,83.0,122.0,108.0,0.0,0.0
369,0,1,0,161.0,83.0,53.0,108.0,200.0,145.0
370,0,0,1,186.0,4200.0,131.0,5460.0,0.0,0.0
371,0,0,1,114.0,4200.0,59.0,5460.0,0.0,0.0
372,0,1,1,112.0,4200.0,63.0,5460.0,80.0,70.0
373,0,0,1,119.0,4200.0,66.0,5460.0,0.0,0.0
374,0,0,1,172.0,4200.0,117.0,5460.0,0.0,0.0
375,0,1,1,91.0,4200.0,36.0,5460.0,80.0,55.0
376,0,0,1,147.0,4200.0,92.0,5460.0,0.0,0.0
377,0,1,1,137.0,4200.0,82.0,5460.0,90.0,60.0
378,0,1,1,185.0,4200.0,72.0,5460.0,140.0,90.0
379,0,0,1,157.0,4200.0,107.0,5460.0,0.0,0.0
380,0,0,1,172.0,4200.0,59.0,5460.0,0.0,0.0
381,0,0,1,177.0,4200.0,127.0,5460.0,0.0,0.0
382,0,0,1,189.0,4200.0,76.0,5460.0,0.0,0.0
383,0,0,1,92.0,2900.0,37.0,3770.0,0.0,0.0
384,0,0,1,162.0,2900.0,107.0,3770.0,0.0,0.0
385,0,0,1,189.0,2900.0,76.0,3770.0,0.0,0.0
386,0,0,1,172.0,2900.0,59.0,3770.0,0.0,0.0
387,0,1,1,92.0,2900.0,68.0,3770.0,80.0,45.0
388,0,0,1,61.0,2900.0,37.0,3770.0,0.0,0.0
389,0,1,1,112.0,2900.0,88.0,3770.0,140.0,400.0
390,0,1,1,58.0,2900.0,34.0,3770.0,40.0,60.0
391,0,1,0,145.0,163.0,121.0,212.0,90.0,50.0
392,0,1,1,97.0,1429.0,44.0,1858.0,70.0,40.0
393,0,1,0,57.0,204.0,33.0,265.0,60.0,70.0
394,0,1,0,217.0,480.0,104.0,624.0,180.0,150.0
395,0,0,0,152.0,222.0,99.0,289.0,0.0,0.0
396,0,1,0,127.0,58.0,51.0,75.0,120.0,80.0
442,1,1,0,89.0,25.0,34.0,32.0,70.0,40.0
443,1,1,0,271.0,66.0,104.0,86.0,230.0,145.0
444,1,1,0,105.0,26.0,50.0,34.0,70.0,45.0
445,1,1,0,54.0,16.0,30.0,22.0,50.0,30.0
446,1,1,0,110.0,26.0,55.0,34.0,70.0,40.0
447,1,1,0,104.0,26.0,49.0,34.0,80.0,40.0
448,1,1,0,117.0,35.0,62.0,41.0,100.0,60.0
449,1,1,0,249.0,58.0,141.0,70.0,180.0,100.0
450,1,1,0,119.0,42.0,70.0,50.0,100.0,60.0
451,1,1,0,300.0,62.0,194.0,72.0,200.0,125.0
452,1,1,0,82.0,22.0,63.0,51.0,70.0,40.0
453,1,1,0,200.0,62.0,71.0,78.0,250.0,160.0
454,1,1,0,164.0,52.0,56.0,64.0,200.0,115.0
455,1,1,0,125.0,40.0,49.0,46.0,120.0,70.0
456,1,1,0,103.0,63.0,92.0,73.5,90.0,55.0
457,1,1,0,89.0,50.0,34.0,65.5,70.0,45.0
458,1,1,0,120.0,80.0,65.0,98.0,100.0,60.0
459,1,1,0,188.0,111.0,82.0,135.5,170.0,95.0
460,1,1,0,146.0,43.0,122.0,57.0,40.0,30.0
461,1,1,0,89.0,50.0,34.0,65.5,70.0,35.0
462,1,1,0,126.0,52.0,71.0,70.5,70.0,40.0
463,1,1,0,145.0,53.0,90.0,71.0,70.0,40.0
464,1,1,0,92.0,70.0,37.0,88.5,90.0,55.0
465,1,1,0,200.0,123.0,71.0,156.0,210.0,120.0
466,1,1,0,112.0,83.0,63.0,95.0,100.0,60.0
467,1,1,0,119.0,76.0,64.0,95.0,100.0,70.0
468,1,1,0,161.0,86.0,106.0,95.0,140.0,95.0
469,1,1,0,54.0,33.0,30.0,45.0,50.0,30.0
470,1,1,0,189.0,111.0,81.0,139.0,170.0,135.0
471,1,1,0,191.0,106.0,83.0,130.0,170.0,110.0
472,1,1,0,167.0,108.0,112.0,127.5,170.0,110.0
473,1,1,0,388.0,161.0,280.0,190.0,230.0,165.0
474,1,1,0,102.0,53.0,47.0,69.5,70.0,40.0
475,1,1,0,125.0,80.0,49.0,91.0,110.0,80.0
476,1,1,0,866.0,114.0,790.0,136.0,200.0,130.0
477,1,1,0,175.0,74.0,120.0,84.5,100.0,60.0
478,1,1,0,200.0,105.0,71.0,127.5,190.0,165.0
479,1,1,0,54.0,29.0,30.0,37.0,40.0,30.0
480,1,1,0,200.0,105.0,71.0,122.0,210.0,125.0
481,1,1,0,54.0,29.0,30.0,37.0,40.0,35.0
482,1,1,0,267.0,90.0,159.0,109.0,170.0,110.0
483,1,1,0,129.0,68.0,74.0,81.0,100.0,70.0
484,1,1,0,101.0,36.0,90.0,59.0,60.0,30.0
485,1,1,0,142.0,68.0,66.0,82.5,110.0,75.0
486,1,1,0,241.0,90.0,133.0,113.5,170.0,125.0
487,1,1,0,189.0,90.0,81.0,110.5,170.0,105.0
488,1,1,0,89.0,42.0,34.0,54.0,70.0,45.0
489,1,1,0,231.0,105.0,123.0,124.5,200.0,135.0
490,1,1,0,216.0,97.0,108.0,117.0,180.0,115.0
491,1,1,0,143.0,74.0,88.0,84.0,120.0,70.0
492,1,1,0,230.0,92.0,122.0,113.5,180.0,105.0
493,1,1,0,100.0,65.0,45.0,78.5,90.0,60.0
494,1,1,0,193.0,90.0,117.0,102.0,190.0,155.0
495,1,1,0,127.0,153.0,72.0,182.5,130.0,70.0
496,1,1,0,154.0,167.0,99.0,194.0,140.0,95.0
497,1,1,0,217.0,153.0,172.0,171.5,140.0,80.0
498,1,1,0,197.0,176.0,121.0,210.0,180.0,110.0
499,1,1,0,176.0,176.0,68.0,218.0,170.0,110.0
500,1,1,0,194.0,184.0,142.0,210.0,160.0,105.0
501,1,1,0,164.0,176.0,56.0,225.0,170.0,135.0
502,1,1,0,136.0,121.0,81.0,157.5,90.0,60.0
503,1,1,0,191.0,142.0,136.0,160.0,130.0,80.0
504,1,1,0,193.0,181.0,117.0,198.0,170.0,110.0
505,1,1,0,288.0,225.0,121.0,274.0,220.0,185.0
506,1,1,0,265.0,218.0,162.0,255.5,220.0,115.0
507,1,1,0,124.0,111.0,113.0,130.0,90.0,60.0
508,1,1,0,193.0,184.0,85.0,218.0,210.0,110.0
509,1,1,0,164.0,176.0,56.0,217.5,170.0,110.0
510,1,1,0,174.0,19.0,66.0,25.0,170.0,95.0
511,1,1,0,95.0,19.0,40.0,25.0,110.0,75.0
541,1,1,0,105.0,31.0,50.0,41.0,90.0,50.0
542,1,1,0,125.0,40.0,49.0,46.0,140.0,95.0
543,1,1,0,164.0,52.0,56.0,64.0,170.0,105.0
544,1,1,0,148.0,40.0,72.0,50.0,110.0,70.0
545,1,1,0,105.0,32.0,50.0,41.0,90.0,55.0
546,1,1,0,240.0,57.0,164.0,66.0,210.0,125.0
547,1,1,0,103.0,32.0,92.0,36.0,100.0,65.0
548,1,1,0,92.0,35.0,37.0,43.0,90.0,50.0
549,1,1,0,89.0,25.0,34.0,33.0,70.0,40.0
550,1,1,0,92.0,35.0,37.0,43.0,80.0,45.0
551,1,1,0,181.0,42.0,128.0,45.0,120.0,60.0
552,1,1,0,193.0,45.0,138.0,53.0,110.0,60.0
553,1,1,0,196.0,53.0,88.0,64.0,170.0,105.0
554,1,1,0,106.0,38.0,51.0,47.5,100.0,60.0
555,1,1,0,222.0,64.0,93.0,80.0,220.0,145.0
556,1,1,0,98.0,25.0,45.0,31.5,60.0,40.0
557,1,1,0,180.0,52.0,67.0,62.0,140.0,75.0
558,1,1,0,199.0,54.0,91.0,67.0,170.0,95.0
559,1,1,0,110.0,40.0,55.0,46.0,100.0,60.0
560,1,1,0,174.0,49.0,61.0,64.0,140.0,80.0
561,1,1,0,185.0,49.0,142.0,55.0,180.0,95.0
562,1,1,0,89.0,25.0,34.0,32.0,90.0,55.0
563,1,1,0,132.0,42.0,77.0,49.0,110.0,65.0
564,1,1,0,164.0,43.0,115.0,52.0,100.0,55.0
565,1,1,0,126.0,42.0,71.0,49.5,110.0,70.0
566,1,1,0,211.0,54.0,103.0,69.0,160.0,105.0
567,1,1,0,108.0,42.0,53.0,50.0,100.0,65.0
568,1,1,0,135.0,42.0,80.0,49.0,110.0,55.0
569,1,1,0,174.0,49.0,61.0,61.0,150.0,85.0
570,1,1,0,196.0,50.0,145.0,57.5,140.0,80.0
571,1,1,0,164.0,52.0,56.0,64.0,170.0,125.0
572,1,1,0,205.0,53.0,97.0,64.0,200.0,125.0
573,1,1,0,176.0,46.0,124.0,53.0,130.0,65.0
574,1,1,0,105.0,36.0,50.0,46.5,80.0,65.0
575,1,1,0,111.0,38.0,56.0,47.0,90.0,50.0
576,1,1,0,234.0,66.0,179.0,76.0,270.0,180.0
577,1,1,0,157.0,48.0,105.0,55.0,130.0,80.0
578,1,1,0,214.0,54.0,101.0,65.0,160.0,110.0
579,1,1,0,196.0,48.0,120.0,54.0,150.0,90.0
580,1,1,0,168.0,49.0,118.0,55.0,120.0,80.0
581,1,1,0,284.0,62.0,176.0,72.0,220.0,180.0
582,1,1,0,164.0,52.0,56.0,64.0,170.0,95.0
583,1,1,0,220.0,48.0,144.0,54.0,140.0,95.0
584,1,1,0,148.0,45.0,96.0,53.0,120.0,70.0
585,1,1,0,128.0,42.0,76.0,50.0,110.0,60.0
586,1,1,0,116.0,38.0,61.0,48.0,80.0,50.0
587,1,1,0,174.0,49.0,61.0,61.0,150.0,95.0
588,1,1,0,72.0,18.0,48.0,24.0,50.0,25.0
589,1,1,0,181.0,52.0,138.0,60.0,150.0,85.0
590,1,1,0,215.0,56.0,163.0,64.0,170.0,95.0
591,1,1,0,164.0,52.0,56.0,64.0,170.0,105.0
592,1,1,0,186.0,50.0,143.0,57.0,160.0,90.0
593,1,1,0,132.0,80.0,77.0,95.0,100.0,60.0
594,1,1,0,125.0,80.0,49.0,95.0,120.0,70.0
595,1,1,0,254.0,123.0,146.0,150.0,200.0,115.0
596,1,1,0,106.0,80.0,51.0,94.5,110.0,65.0
597,1,1,0,125.0,80.0,49.0,95.0,120.0,80.0
598,1,1,0,260.0,139.0,133.0,166.5,250.0,180.0
599,1,1,0,92.0,70.0,37.0,88.5,110.0,60.0
600,1,1,0,144.0,91.0,92.0,105.5,120.0,80.0
601,1,1,0,149.0,90.0,94.0,106.0,110.0,65.0
602,1,1,0,213.0,111.0,109.0,135.5,180.0,130.0
603,1,1,0,92.0,70.0,37.0,86.0,80.0,45.0
604,1,1,0,174.0,98.0,61.0,116.0,180.0,110.0
605,1,1,0,144.0,91.0,92.0,105.5,120.0,80.0
606,1,1,0,92.0,70.0,37.0,86.0,90.0,55.0
607,1,1,0,247.0,128.0,80.0,165.0,220.0,130.0
608,1,1,0,183.0,106.0,75.0,128.0,160.0,105.0
609,1,1,0,92.0,70.0,37.0,86.0,90.0,50.0
610,1,1,0,121.0,80.0,66.0,91.0,100.0,60.0
611,1,1,0,138.0,80.0,62.0,97.0,120.0,70.0
612,1,1,0,192.0,99.0,109.0,130.0,130.0,70.0
613,1,1,0,138.0,90.0,95.0,99.0,150.0,95.0
