dataset,model_key,respondent_id,task_index,normalized_weight,alternative_name,alternative_code,chosen,alt_available,alt_time,alt_waiting,alt_cost,alt_distance
human,human,H0015,1,0.2290902236010023,PT,0,0,1,194.0,22.0,9.6,0.0
human,human,H0015,1,0.2290902236010023,CAR,1,1,1,47.0,0.0,6.98,0.0
human,human,H0015,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,51.5
human,human,H0016,1,0.2290902236010023,PT,0,0,1,126.0,12.0,6.6,0.0
human,human,H0016,1,0.2290902236010023,CAR,1,1,1,26.0,0.0,3.68,0.0
human,human,H0016,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,27.0
human,human,H0017,1,0.2545934244605354,PT,0,0,1,219.0,86.0,38.4,0.0
human,human,H0017,1,0.2545934244605354,CAR,1,1,1,49.0,0.0,9.04,0.0
human,human,H0017,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,67.0
human,human,H0018,1,0.2290902236010023,PT,0,0,1,193.0,14.0,15.8,0.0
human,human,H0018,1,0.2290902236010023,CAR,1,1,1,40.0,0.0,5.03,0.0
human,human,H0018,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,32.5
human,human,H0019,1,0.3735873657560173,PT,0,0,1,185.0,34.0,43.2,0.0
human,human,H0019,1,0.3735873657560173,CAR,1,1,1,61.0,0.0,11.78,0.0
human,human,H0019,1,0.3735873657560173,SLOW_MODES,2,0,1,0.0,0.0,0.0,88.0
human,human,H0020,1,0.5414274486172608,PT,0,0,1,142.0,30.0,26.0,0.0
human,human,H0020,1,0.5414274486172608,CAR,1,1,1,42.0,0.0,7.45,0.0
human,human,H0020,1,0.5414274486172608,SLOW_MODES,2,0,1,0.0,0.0,0.0,58.0
human,human,H0021,1,0.2545934244605354,PT,0,0,1,108.0,15.0,9.6,0.0
human,human,H0021,1,0.2545934244605354,CAR,1,1,1,23.0,0.0,3.4,0.0
human,human,H0021,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,25.0
human,human,H0022,1,0.2545934244605354,PT,0,0,1,102.0,18.0,9.6,0.0
human,human,H0022,1,0.2545934244605354,CAR,1,1,1,24.0,0.0,3.73,0.0
human,human,H0022,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,27.0
human,human,H0023,1,2.256576028779217,PT,0,0,1,66.0,20.0,9.6,0.0
human,human,H0023,1,2.256576028779217,CAR,1,1,1,16.0,0.0,2.41,0.0
human,human,H0023,1,2.256576028779217,SLOW_MODES,2,0,1,0.0,0.0,0.0,17.0
human,human,H0024,1,5.694231137832636,PT,0,1,1,91.0,11.0,0.0,0.0
human,human,H0024,1,5.694231137832636,CAR,1,0,0,22.0,0.0,2.95,0.0
human,human,H0024,1,5.694231137832636,SLOW_MODES,2,0,1,0.0,0.0,0.0,22.5
human,human,H0025,1,0.7944811628173415,PT,0,0,1,104.0,11.0,11.0,0.0
human,human,H0025,1,0.7944811628173415,CAR,1,1,1,35.0,0.0,4.63,0.0
human,human,H0025,1,0.7944811628173415,SLOW_MODES,2,0,1,0.0,0.0,0.0,31.0
human,human,H0026,1,0.6019450605361366,PT,0,0,1,279.0,38.0,46.2,0.0
human,human,H0026,1,0.6019450605361366,CAR,1,1,1,117.0,0.0,15.35,0.0
human,human,H0026,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,109.0
human,human,H0027,1,0.6019450605361366,PT,0,0,1,127.0,58.0,12.4,0.0
human,human,H0027,1,0.6019450605361366,CAR,1,1,1,31.0,0.0,3.48,0.0
human,human,H0027,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,24.0
human,human,H0028,1,9.027458897812208,PT,0,1,1,151.0,10.0,0.0,0.0
human,human,H0028,1,9.027458897812208,CAR,1,0,1,44.0,0.0,5.89,0.0
human,human,H0028,1,9.027458897812208,SLOW_MODES,2,0,1,0.0,0.0,0.0,38.5
human,human,H0029,1,0.5414274486172608,PT,0,0,1,251.0,59.0,65.8,0.0
human,human,H0029,1,0.5414274486172608,CAR,1,1,1,76.0,0.0,15.96,0.0
human,human,H0029,1,0.5414274486172608,SLOW_MODES,2,0,1,0.0,0.0,0.0,119.0
human,human,H0030,1,0.6019450605361366,PT,0,0,1,166.0,5.0,12.6,0.0
human,human,H0030,1,0.6019450605361366,CAR,1,1,1,41.0,0.0,4.34,0.0
human,human,H0030,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,30.0
human,human,H0031,1,0.954424398357919,PT,0,0,1,141.0,8.0,14.4,0.0
human,human,H0031,1,0.954424398357919,CAR,1,1,1,36.0,0.0,4.87,0.0
human,human,H0031,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,32.0
human,human,H0032,1,1.423375818700105,PT,0,1,1,90.0,8.0,5.5,0.0
human,human,H0032,1,1.423375818700105,CAR,1,0,1,35.0,0.0,4.73,0.0
human,human,H0032,1,1.423375818700105,SLOW_MODES,2,0,1,0.0,0.0,0.0,31.0
human,human,H0033,1,0.8584724543995766,PT,0,0,1,222.0,34.0,49.6,0.0
human,human,H0033,1,0.8584724543995766,CAR,1,1,1,55.0,0.0,9.06,0.0
human,human,H0033,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,69.0
human,human,H0034,1,0.8584724543995766,PT,0,0,1,306.0,45.0,20.2,0.0
human,human,H0034,1,0.8584724543995766,CAR,1,1,1,92.0,0.0,10.89,0.0
human,human,H0034,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,82.5
human,human,H0035,1,0.2545934244605354,PT,0,0,1,120.0,4.0,6.1,0.0
human,human,H0035,1,0.2545934244605354,CAR,1,1,1,39.0,0.0,3.85,0.0
human,human,H0035,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,22.5
human,human,H0036,1,0.954424398357919,PT,0,0,1,120.0,4.0,4.5,0.0
human,human,H0036,1,0.954424398357919,CAR,1,1,1,40.0,0.0,3.96,0.0
human,human,H0036,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,23.5
human,human,H0037,1,0.954424398357919,PT,0,0,1,120.0,2.0,5.5,0.0
human,human,H0037,1,0.954424398357919,CAR,1,1,1,36.0,0.0,3.64,0.0
human,human,H0037,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,24.0
human,human,H0038,1,0.954424398357919,PT,0,0,1,186.0,19.0,8.2,0.0
human,human,H0038,1,0.954424398357919,CAR,1,1,1,34.0,0.0,3.94,0.0
human,human,H0038,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,28.0
human,human,H0039,1,0.2545934244605354,PT,0,0,1,110.0,8.0,11.0,0.0
human,human,H0039,1,0.2545934244605354,CAR,1,1,1,13.0,0.0,1.23,0.0
human,human,H0039,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,6.0
human,human,H0040,1,0.2545934244605354,PT,0,0,1,111.0,20.0,11.0,0.0
human,human,H0040,1,0.2545934244605354,CAR,1,1,1,13.0,0.0,1.23,0.0
human,human,H0040,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,6.0
human,human,H0041,1,0.954424398357919,PT,0,0,1,96.0,5.0,0.0,0.0
human,human,H0041,1,0.954424398357919,CAR,1,1,1,34.0,0.0,3.2,0.0
human,human,H0041,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,18.0
human,human,H0042,1,0.5414274486172608,PT,0,1,1,119.0,11.0,5.5,0.0
human,human,H0042,1,0.5414274486172608,CAR,1,0,1,38.0,0.0,4.57,0.0
human,human,H0042,1,0.5414274486172608,SLOW_MODES,2,0,1,0.0,0.0,0.0,32.0
human,human,H0043,1,0.6019450605361366,PT,0,1,1,46.0,8.0,0.0,0.0
human,human,H0043,1,0.6019450605361366,CAR,1,0,1,35.0,0.0,3.67,0.0
human,human,H0043,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,25.0
human,human,H0044,1,0.5414274486172608,PT,0,1,1,123.0,11.0,0.0,0.0
human,human,H0044,1,0.5414274486172608,CAR,1,0,1,41.0,0.0,4.08,0.0
human,human,H0044,1,0.5414274486172608,SLOW_MODES,2,0,1,0.0,0.0,0.0,23.5
human,human,H0045,1,0.3360277669782562,PT,0,0,1,234.0,49.0,7.9,0.0
human,human,H0045,1,0.3360277669782562,CAR,1,1,1,40.0,0.0,4.18,0.0
human,human,H0045,1,0.3360277669782562,SLOW_MODES,2,0,1,0.0,0.0,0.0,28.8
human,human,H0046,1,0.3735873657560173,PT,0,0,1,270.0,50.0,43.3,0.0
human,human,H0046,1,0.3735873657560173,CAR,1,1,1,171.0,0.0,28.12,0.0
human,human,H0046,1,0.3735873657560173,SLOW_MODES,2,0,1,0.0,0.0,0.0,208.0
human,human,H0047,1,0.7944811628173415,PT,0,1,1,167.0,17.0,12.5,0.0
human,human,H0047,1,0.7944811628173415,CAR,1,0,0,63.0,0.0,9.76,0.0
human,human,H0047,1,0.7944811628173415,SLOW_MODES,2,0,1,0.0,0.0,0.0,68.0
human,human,H0048,1,0.954424398357919,PT,0,0,1,470.0,31.0,61.2,0.0
human,human,H0048,1,0.954424398357919,CAR,1,1,1,180.0,0.0,29.12,0.0
human,human,H0048,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,206.0
human,human,H0049,1,0.2290902236010023,PT,0,0,1,76.0,7.0,3.8,0.0
human,human,H0049,1,0.2290902236010023,CAR,1,1,1,14.0,0.0,1.53,0.0
human,human,H0049,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,10.9
human,human,H0050,1,0.2545934244605354,PT,0,0,1,140.0,18.0,13.3,0.0
human,human,H0050,1,0.2545934244605354,CAR,1,1,1,66.0,0.0,6.71,0.0
human,human,H0050,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,37.0
human,human,H0051,1,0.2290902236010023,PT,0,0,1,111.0,0.0,10.4,0.0
human,human,H0051,1,0.2290902236010023,CAR,1,1,1,16.0,0.0,1.82,0.0
human,human,H0051,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,11.5
human,human,H0052,1,0.7944811628173415,PT,0,0,1,207.0,27.0,24.8,0.0
human,human,H0052,1,0.7944811628173415,CAR,1,1,1,55.0,0.0,5.98,0.0
human,human,H0052,1,0.7944811628173415,SLOW_MODES,2,0,1,0.0,0.0,0.0,44.0
human,human,H0053,1,9.027458897812208,PT,0,0,1,117.0,0.0,8.8,0.0
human,human,H0053,1,9.027458897812208,CAR,1,1,1,33.0,0.0,3.48,0.0
human,human,H0053,1,9.027458897812208,SLOW_MODES,2,0,1,0.0,0.0,0.0,23.0
human,human,H0054,1,0.2290902236010023,PT,0,0,1,96.0,3.0,11.0,0.0
human,human,H0054,1,0.2290902236010023,CAR,1,1,1,32.0,0.0,3.41,0.0
human,human,H0054,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,18.0
human,human,H0055,1,0.1999290444257219,PT,0,0,1,166.0,5.0,12.2,0.0
human,human,H0055,1,0.1999290444257219,CAR,1,1,1,44.0,0.0,4.47,0.0
human,human,H0055,1,0.1999290444257219,SLOW_MODES,2,0,1,0.0,0.0,0.0,28.5
human,human,H0056,1,0.954424398357919,PT,0,0,1,110.0,0.0,11.0,0.0
human,human,H0056,1,0.954424398357919,CAR,1,1,1,35.0,0.0,3.4,0.0
human,human,H0056,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,19.0
human,human,H0057,1,0.2545934244605354,PT,0,0,1,46.0,0.0,5.6,0.0
human,human,H0057,1,0.2545934244605354,CAR,1,1,1,5.0,0.0,0.72,0.0
human,human,H0057,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,4.1
human,human,H0058,1,0.2545934244605354,PT,0,0,1,265.0,37.0,19.2,0.0
human,human,H0058,1,0.2545934244605354,CAR,1,1,1,45.0,0.0,6.31,0.0
human,human,H0058,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,42.0
human,human,H0059,1,0.3360277669782562,PT,0,0,1,461.0,41.0,79.4,0.0
human,human,H0059,1,0.3360277669782562,CAR,1,1,1,117.0,0.0,17.77,0.0
human,human,H0059,1,0.3360277669782562,SLOW_MODES,2,0,1,0.0,0.0,0.0,134.0
human,human,H0060,1,2.029711386372872,PT,0,0,1,84.0,12.0,9.6,0.0
human,human,H0060,1,2.029711386372872,CAR,1,1,1,31.0,0.0,3.24,0.0
human,human,H0060,1,2.029711386372872,SLOW_MODES,2,0,1,0.0,0.0,0.0,23.0
human,human,H0061,1,0.6019450605361366,PT,0,0,1,141.0,17.0,6.0,0.0
human,human,H0061,1,0.6019450605361366,CAR,1,1,1,28.0,0.0,2.92,0.0
human,human,H0061,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,21.0
human,human,H0062,1,0.6019450605361366,PT,0,0,1,118.0,15.0,6.0,0.0
human,human,H0062,1,0.6019450605361366,CAR,1,1,1,28.0,0.0,2.92,0.0
human,human,H0062,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,21.0
human,human,H0063,1,0.3360277669782562,PT,0,0,1,135.0,37.0,13.2,0.0
human,human,H0063,1,0.3360277669782562,CAR,1,1,1,20.0,0.0,2.19,0.0
human,human,H0063,1,0.3360277669782562,SLOW_MODES,2,0,1,0.0,0.0,0.0,15.6
human,human,H0064,1,0.3360277669782562,PT,0,0,1,68.0,0.0,5.2,0.0
human,human,H0064,1,0.3360277669782562,CAR,1,1,1,7.0,0.0,0.79,0.0
human,human,H0064,1,0.3360277669782562,SLOW_MODES,2,0,1,0.0,0.0,0.0,5.5
human,human,H0065,1,0.3735873657560173,PT,0,0,1,232.0,9.0,50.0,0.0
human,human,H0065,1,0.3735873657560173,CAR,1,1,1,77.0,0.0,10.15,0.0
human,human,H0065,1,0.3735873657560173,SLOW_MODES,2,0,1,0.0,0.0,0.0,72.0
human,human,H0066,1,0.8832827856419051,PT,0,1,1,141.0,10.0,7.0,0.0
human,human,H0066,1,0.8832827856419051,CAR,1,0,1,44.0,0.0,4.64,0.0
human,human,H0066,1,0.8832827856419051,SLOW_MODES,2,0,1,0.0,0.0,0.0,31.5
human,human,H0067,1,0.8584724543995766,PT,0,0,1,245.0,15.0,14.2,0.0
human,human,H0067,1,0.8584724543995766,CAR,1,1,1,71.0,0.0,9.37,0.0
human,human,H0067,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,66.0
human,human,H0068,1,0.8584724543995766,PT,0,0,1,85.0,3.0,5.5,0.0
human,human,H0068,1,0.8584724543995766,CAR,1,1,1,35.0,0.0,3.54,0.0
human,human,H0068,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,24.0
human,human,H0069,1,0.2545934244605354,PT,0,0,1,154.0,0.0,4.8,0.0
human,human,H0069,1,0.2545934244605354,CAR,1,1,1,30.0,0.0,3.24,0.0
human,human,H0069,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,19.6
human,human,H0070,1,0.8584724543995766,PT,0,1,1,128.0,10.0,0.0,0.0
human,human,H0070,1,0.8584724543995766,CAR,1,0,0,46.0,0.0,5.4,0.0
human,human,H0070,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,33.1
human,human,H0071,1,0.3735873657560173,PT,0,0,1,239.0,30.0,22.7,0.0
human,human,H0071,1,0.3735873657560173,CAR,1,1,1,70.0,0.0,9.46,0.0
human,human,H0071,1,0.3735873657560173,SLOW_MODES,2,0,1,0.0,0.0,0.0,70.5
human,human,H0072,1,0.2290902236010023,PT,0,0,1,155.0,33.0,22.6,0.0
human,human,H0072,1,0.2290902236010023,CAR,1,1,1,47.0,0.0,5.93,0.0
human,human,H0072,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,43.0
human,human,H0073,1,0.2290902236010023,PT,0,0,1,206.0,32.0,26.0,0.0
human,human,H0073,1,0.2290902236010023,CAR,1,1,1,71.0,0.0,9.56,0.0
human,human,H0073,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,71.0
human,human,H0074,1,0.8584724543995766,PT,0,0,1,70.0,0.0,3.4,0.0
human,human,H0074,1,0.8584724543995766,CAR,1,1,1,10.0,0.0,1.02,0.0
human,human,H0074,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,5.0
human,human,H0075,1,0.8584724543995766,PT,0,0,1,35.0,0.0,3.4,0.0
human,human,H0075,1,0.8584724543995766,CAR,1,1,1,9.0,0.0,1.0,0.0
human,human,H0075,1,0.8584724543995766,SLOW_MODES,2,0,1,0.0,0.0,0.0,5.0
human,human,H0076,1,2.256576028779217,PT,0,0,1,183.0,53.0,17.2,0.0
human,human,H0076,1,2.256576028779217,CAR,1,1,1,69.0,0.0,12.93,0.0
human,human,H0076,1,2.256576028779217,SLOW_MODES,2,0,1,0.0,0.0,0.0,96.0
human,human,H0077,1,0.954424398357919,PT,0,1,1,145.0,20.0,0.0,0.0
human,human,H0077,1,0.954424398357919,CAR,1,0,1,54.0,0.0,9.84,0.0
human,human,H0077,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,76.0
human,human,H0078,1,2.256576028779217,PT,0,0,1,284.0,74.0,0.0,0.0
human,human,H0078,1,2.256576028779217,CAR,1,1,1,95.0,0.0,17.77,0.0
human,human,H0078,1,2.256576028779217,SLOW_MODES,2,0,1,0.0,0.0,0.0,128.0
human,human,H0079,1,2.256576028779217,PT,0,0,1,126.0,30.0,11.4,0.0
human,human,H0079,1,2.256576028779217,CAR,1,1,1,20.0,0.0,2.32,0.0
human,human,H0079,1,2.256576028779217,SLOW_MODES,2,0,1,0.0,0.0,0.0,15.0
human,human,H0080,1,2.256576028779217,PT,0,0,1,134.0,28.0,8.0,0.0
human,human,H0080,1,2.256576028779217,CAR,1,1,1,20.0,0.0,2.32,0.0
human,human,H0080,1,2.256576028779217,SLOW_MODES,2,0,1,0.0,0.0,0.0,15.0
human,human,H0081,1,0.7495589495214057,PT,0,0,1,57.0,0.0,3.7,0.0
human,human,H0081,1,0.7495589495214057,CAR,1,1,1,17.0,0.0,1.69,0.0
human,human,H0081,1,0.7495589495214057,SLOW_MODES,2,0,1,0.0,0.0,0.0,9.0
human,human,H0082,1,0.3735873657560173,PT,0,0,1,289.0,81.0,40.0,0.0
human,human,H0082,1,0.3735873657560173,CAR,1,1,1,62.0,0.0,11.32,0.0
human,human,H0082,1,0.3735873657560173,SLOW_MODES,2,0,1,0.0,0.0,0.0,85.0
human,human,H0083,1,2.029711386372872,PT,0,0,1,127.0,0.0,29.0,0.0
human,human,H0083,1,2.029711386372872,CAR,1,1,1,36.0,0.0,5.36,0.0
human,human,H0083,1,2.029711386372872,SLOW_MODES,2,0,1,0.0,0.0,0.0,39.0
human,human,H0084,1,0.2290902236010023,PT,0,0,1,76.0,4.0,7.9,0.0
human,human,H0084,1,0.2290902236010023,CAR,1,1,1,27.0,0.0,3.53,0.0
human,human,H0084,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,25.5
human,human,H0085,1,0.2545934244605354,PT,0,0,1,162.0,54.0,21.6,0.0
human,human,H0085,1,0.2545934244605354,CAR,1,1,1,34.0,0.0,5.12,0.0
human,human,H0085,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,37.0
human,human,H0086,1,0.2545934244605354,PT,0,0,1,150.0,15.0,23.2,0.0
human,human,H0086,1,0.2545934244605354,CAR,1,1,1,32.0,0.0,5.07,0.0
human,human,H0086,1,0.2545934244605354,SLOW_MODES,2,0,1,0.0,0.0,0.0,35.0
human,human,H0087,1,0.1999290444257219,PT,0,0,1,44.0,0.0,6.8,0.0
human,human,H0087,1,0.1999290444257219,CAR,1,1,1,12.0,0.0,1.39,0.0
human,human,H0087,1,0.1999290444257219,SLOW_MODES,2,0,1,0.0,0.0,0.0,10.5
human,human,H0088,1,0.3735873657560173,PT,0,0,1,188.0,15.0,45.0,0.0
human,human,H0088,1,0.3735873657560173,CAR,1,1,1,51.0,0.0,6.48,0.0
human,human,H0088,1,0.3735873657560173,SLOW_MODES,2,0,1,0.0,0.0,0.0,51.0
human,human,H0089,1,0.2290902236010023,PT,0,0,1,26.0,0.0,6.0,0.0
human,human,H0089,1,0.2290902236010023,CAR,1,0,1,16.0,0.0,1.89,0.0
human,human,H0089,1,0.2290902236010023,SLOW_MODES,2,1,1,0.0,0.0,0.0,12.0
human,human,H0090,1,0.2290902236010023,PT,0,0,1,26.0,0.0,6.0,0.0
human,human,H0090,1,0.2290902236010023,CAR,1,0,1,16.0,0.0,1.89,0.0
human,human,H0090,1,0.2290902236010023,SLOW_MODES,2,1,1,0.0,0.0,0.0,12.0
human,human,H0091,1,0.954424398357919,PT,0,1,1,180.0,30.0,51.4,0.0
human,human,H0091,1,0.954424398357919,CAR,1,0,1,86.0,0.0,18.69,0.0
human,human,H0091,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,122.0
human,human,H0092,1,0.5414274486172608,PT,0,0,1,129.0,14.0,32.0,0.0
human,human,H0092,1,0.5414274486172608,CAR,1,1,1,33.0,0.0,5.13,0.0
human,human,H0092,1,0.5414274486172608,SLOW_MODES,2,0,1,0.0,0.0,0.0,37.0
human,human,H0093,1,0.8584724543995766,PT,0,0,1,27.0,0.0,3.0,0.0
human,human,H0093,1,0.8584724543995766,CAR,1,0,1,2.0,0.0,0.39,0.0
human,human,H0093,1,0.8584724543995766,SLOW_MODES,2,1,1,0.0,0.0,0.0,2.5
human,human,H0094,1,0.954424398357919,PT,0,0,1,113.0,0.0,34.6,0.0
human,human,H0094,1,0.954424398357919,CAR,1,1,1,42.0,0.0,5.4,0.0
human,human,H0094,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,42.0
human,human,H0095,1,0.954424398357919,PT,0,0,1,188.0,37.0,34.6,0.0
human,human,H0095,1,0.954424398357919,CAR,1,1,1,42.0,0.0,5.4,0.0
human,human,H0095,1,0.954424398357919,SLOW_MODES,2,0,1,0.0,0.0,0.0,42.0
human,human,H0096,1,2.256576028779217,PT,0,0,1,221.0,43.0,38.4,0.0
human,human,H0096,1,2.256576028779217,CAR,1,1,1,56.0,0.0,9.49,0.0
human,human,H0096,1,2.256576028779217,SLOW_MODES,2,0,1,0.0,0.0,0.0,72.0
human,human,H0097,1,2.029711386372872,PT,0,0,1,72.0,1.0,7.6,0.0
human,human,H0097,1,2.029711386372872,CAR,1,1,1,27.0,0.0,4.13,0.0
human,human,H0097,1,2.029711386372872,SLOW_MODES,2,0,1,0.0,0.0,0.0,31.0
human,human,H0098,1,2.029711386372872,PT,0,0,1,126.0,15.0,14.8,0.0
human,human,H0098,1,2.029711386372872,CAR,1,1,1,27.0,0.0,4.14,0.0
human,human,H0098,1,2.029711386372872,SLOW_MODES,2,0,1,0.0,0.0,0.0,31.0
human,human,H0099,1,0.6019450605361366,PT,0,0,1,338.0,72.0,51.8,0.0
human,human,H0099,1,0.6019450605361366,CAR,1,1,1,63.0,0.0,14.32,0.0
human,human,H0099,1,0.6019450605361366,SLOW_MODES,2,0,1,0.0,0.0,0.0,101.0
human,human,H0100,1,0.2290902236010023,PT,0,0,1,220.0,37.0,20.9,0.0
human,human,H0100,1,0.2290902236010023,CAR,1,1,1,59.0,0.0,10.27,0.0
human,human,H0100,1,0.2290902236010023,SLOW_MODES,2,0,1,0.0,0.0,0.0,78.5
human,human,H0101,1,0.3360277669782562,PT,0,0,1,28.0,0.0,6.0,0.0
