respondent_id,source_observation_id,human_id,normalized_weight,Weight,LangCode,UrbRur,OccupStat,TripPurpose,Education,Region,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,Envir01,Envir02,Envir05,Envir06,Mobil10,Mobil11,Mobil16
H0011,15,10350197,0.8860232194455376,0.000378621,1,1,1,1,8,1,30,male,30 or younger,15000,around CHF 15000 per month,1,0,0,0,0,1,15.0,0,0,0,2,1,2,0,1,0,a work-related trip,university education,1,car is available for this trip,2,4,4,4,6,4,4
H0012,16,10350199,0.543107257288418,0.000232084,1,1,2,3,6,1,33,female,33 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,2,3,1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,4,4,5,5,5,5,3
H0013,17,10350199,0.543107257288418,0.000232084,1,1,2,3,6,1,33,female,33 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,2,3,1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,4,4,5,5,5,5,3
H0014,19,10350271,2.0360086784578657,0.00087004,1,1,2,3,3,1,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,3,4,5,2,4,2
H0015,20,10350271,2.0360086784578657,0.00087004,1,1,2,3,3,1,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,3,4,5,2,4,2
H0016,21,10350272,0.9573855529584482,0.000409116,1,1,1,1,3,1,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,2,1,4,4,6,6,3
H0017,22,10350272,0.9573855529584482,0.000409116,1,1,1,3,3,1,42,male,42 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,0,2,3,2,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,1,4,4,6,6,3
H0018,23,10359998,0.9573855529584482,0.000409116,1,1,1,1,3,1,50,male,50 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,2,4,3,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,3,3,3,6,6,3
H0019,24,10359999,0.9573855529584482,0.000409116,1,1,-1,1,-1,1,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,0,0,0,-1,-1,-1,-1,1,0,a work-related trip,education not reported,1,car is available for this trip,-2,-2,-2,-2,-2,-2,-2
H0020,25,10360009,0.7518844977110388,0.0003213,1,2,9,3,3,1,69,male,65 or older,7000,around CHF 7000 per month,0,1,1,0,0,0,7.0,0,1,0,4,4,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,6,3,5,5,2,4,4
H0021,26,10360009,0.7518844977110388,0.0003213,1,2,9,3,3,1,69,male,65 or older,7000,around CHF 7000 per month,0,1,1,0,0,0,7.0,0,1,0,4,4,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,6,3,5,5,2,4,4
H0022,27,10360009,0.7518844977110388,0.0003213,1,2,9,1,3,1,69,male,65 or older,7000,around CHF 7000 per month,0,1,1,0,0,0,7.0,0,1,0,4,4,4,2,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,6,3,5,5,2,4,4
H0023,28,10360009,0.7518844977110388,0.0003213,1,2,9,1,3,1,69,male,65 or older,7000,around CHF 7000 per month,0,1,1,0,0,0,7.0,0,1,0,4,4,4,2,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,6,3,5,5,2,4,4
H0024,29,10360011,0.9573855529584482,0.000409116,1,2,1,1,3,1,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,4,4,5,3,3,4
H0025,30,10360011,0.9573855529584482,0.000409116,1,2,1,1,3,1,56,male,56 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,2,2,2,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,3,4,4,5,3,3,4
H0026,31,10360013,0.2553833146722722,0.000109132,1,2,1,-1,6,1,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,0,1,a trip with unreported purpose,applied higher education,1,car is available for this trip,3,1,5,4,5,5,5
H0027,32,10360014,0.2553833146722722,0.000109132,1,2,1,3,6,1,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,0,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,3,1,5,4,5,5,3
H0028,33,10360015,0.3747464412665672,0.000160139,1,2,-1,1,-1,1,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,0,0,0,-1,-1,-1,-1,1,0,a work-related trip,education not reported,1,car is available for this trip,-2,-2,-2,-2,-2,-2,-2
H0029,34,10360016,0.8611359127752702,0.000367986,1,2,1,-1,3,1,44,female,44 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,1,1,0,0,1,a trip with unreported purpose,vocational or secondary education,1,car is available for this trip,1,3,3,3,6,5,4
H0030,35,10360023,5.1376504081954355,0.002195453,1,2,8,2,2,1,17,female,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,1,2,6,5,3,1,0,a mixed work-and-leisure trip,compulsory education,0,car is not available for this trip,1,4,4,4,3,4,2
H0031,36,10360023,5.1376504081954355,0.002195453,1,2,8,3,2,1,17,female,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,1,2,6,5,3,0,1,a leisure-related trip,compulsory education,0,car is not available for this trip,1,4,4,4,3,4,2
H0032,37,10360023,5.1376504081954355,0.002195453,1,2,8,3,2,1,17,female,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,1,2,6,5,3,0,1,a leisure-related trip,compulsory education,0,car is not available for this trip,1,4,4,4,3,4,2
H0033,38,10360024,0.2553833146722722,0.000109132,1,2,1,2,4,1,51,male,51 years old,9000,around CHF 9000 per month,0,0,1,0,0,0,9.0,1,0,0,2,5,5,3,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,4,4,5,5,2,4,2
H0034,39,10360035,0.8611359127752702,0.000367986,1,2,2,3,3,1,54,female,54 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,1,1,0,3,2,4,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,6,3,4,5,6,4,2
H0035,42,10360036,0.2553833146722722,0.000109132,1,2,-1,1,-1,1,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,0,0,0,-1,-1,-1,-1,1,0,a work-related trip,education not reported,1,car is available for this trip,-2,-2,-2,-2,-2,-2,-2
H0036,44,10360095,0.543107257288418,0.000232084,1,2,2,1,5,1,30,female,30 or younger,7000,around CHF 7000 per month,0,0,0,1,0,1,7.0,0,0,0,2,2,2,-1,1,0,a work-related trip,high school education,1,car is available for this trip,4,5,5,5,6,4,2
H0037,45,10360095,0.543107257288418,0.000232084,1,2,2,1,5,1,30,female,30 or younger,7000,around CHF 7000 per month,0,0,0,1,0,1,7.0,0,0,0,2,2,2,-1,1,0,a work-related trip,high school education,1,car is available for this trip,4,5,5,5,6,4,2
H0038,46,10360113,0.9573855529584482,0.000409116,1,2,1,-1,3,1,53,male,53 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,0,0,1,3,3,4,0,0,1,a trip with unreported purpose,vocational or secondary education,1,car is available for this trip,1,4,3,4,4,4,4
H0039,47,10360122,0.2005493353683038,8.57e-05,1,2,9,3,6,1,71,male,65 or older,5000,around CHF 5000 per month,1,0,0,0,0,0,5.0,0,0,1,2,0,2,0,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,2,4,5,5,4,5,4
H0040,48,10360139,0.2298009887184065,9.82e-05,1,2,2,2,5,1,46,female,46 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,0,1,0,2,3,4,2,1,0,a mixed work-and-leisure trip,high school education,1,car is available for this trip,2,4,4,3,4,5,4
H0041,49,10360139,0.2298009887184065,9.82e-05,1,2,2,3,5,1,46,female,46 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,0,1,0,2,3,4,2,0,1,a leisure-related trip,high school education,1,car is available for this trip,2,4,4,3,4,5,4
H0042,50,10360159,0.8611359127752702,0.000367986,1,2,2,3,3,1,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,2,3,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,3,4,4,5,5,4
H0043,51,10360159,0.8611359127752702,0.000367986,1,2,2,3,3,1,42,female,42 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,0,0,1,2,3,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,3,4,4,5,5,4
H0044,52,10360162,3.007924112668377,0.001285365,1,2,9,3,2,1,70,male,65 or older,3250,around CHF 3250 per month,0,1,0,0,1,0,3.25,0,0,0,1,2,2,0,0,1,a leisure-related trip,compulsory education,1,car is available for this trip,2,5,4,4,6,4,1
H0045,54,10360162,3.007924112668377,0.001285365,1,2,9,3,2,1,70,male,65 or older,3250,around CHF 3250 per month,0,1,0,0,1,0,3.25,0,0,0,1,2,2,0,0,1,a leisure-related trip,compulsory education,1,car is available for this trip,2,5,4,4,6,4,1
H0046,55,10360162,3.007924112668377,0.001285365,1,2,9,3,2,1,70,male,65 or older,3250,around CHF 3250 per month,0,1,0,0,1,0,3.25,0,0,0,1,2,2,0,0,1,a leisure-related trip,compulsory education,1,car is available for this trip,2,5,4,4,6,4,1
H0047,56,10360177,2.2635771809925926,0.000967286,1,2,1,3,3,1,34,male,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,2,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,5,4,5,4,5,4
H0048,57,10360177,2.2635771809925926,0.000967286,1,2,1,3,3,1,34,male,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,2,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,5,4,5,4,5,4
H0049,59,10360193,0.8860232194455376,0.000378621,1,2,1,2,7,1,37,male,37 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,0,2,0,1,0,a mixed work-and-leisure trip,university education,1,car is available for this trip,3,4,5,5,4,5,4
H0050,60,10360195,0.2298009887184065,9.82e-05,1,2,2,2,5,1,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,1,0,a mixed work-and-leisure trip,high school education,1,car is available for this trip,4,5,4,5,6,6,3
H0051,61,10360196,0.2298009887184065,9.82e-05,1,2,2,2,5,1,52,female,52 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,4,4,0,1,0,a mixed work-and-leisure trip,high school education,1,car is available for this trip,4,5,4,5,6,6,3
H0052,62,10360202,2.0360086784578657,0.00087004,1,2,2,3,3,1,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,5,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,5,5,3,5,5,4
H0053,63,10360202,2.0360086784578657,0.00087004,1,2,2,3,3,1,39,female,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,5,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,5,5,3,5,5,4
H0054,64,10360205,0.2005493353683038,8.57e-05,1,2,9,3,6,1,69,male,65 or older,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,0,0,1,2,-1,2,-1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,2,4,4,4,6,3,5
H0055,65,10360205,0.2005493353683038,8.57e-05,1,2,9,3,6,1,69,male,65 or older,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,0,0,1,2,-1,2,-1,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,2,4,4,4,6,3,5
H0056,66,10360206,0.1804241978634332,7.71e-05,1,2,9,3,5,1,67,female,65 or older,7000,around CHF 7000 per month,0,0,0,0,0,0,7.0,0,1,0,2,-1,2,-1,0,1,a leisure-related trip,high school education,1,car is available for this trip,1,3,4,4,6,5,5
H0057,68,10360212,0.2553833146722722,0.000109132,1,2,9,3,6,1,59,male,59 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,0,2,0,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,5,5,5,5,5
H0058,69,10360212,0.2553833146722722,0.000109132,1,2,9,3,6,1,59,male,59 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,0,2,0,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,5,5,5,5,5,5,5
H0059,70,10360217,0.3425743028459903,0.000146391,1,2,8,1,4,1,19,female,30 or younger,7000,around CHF 7000 per month,0,0,0,0,0,1,7.0,1,0,0,2,3,5,2,1,0,a work-related trip,vocational or secondary education,0,car is not available for this trip,-1,5,4,4,3,2,4
H0060,71,10360225,0.2298009887184065,9.82e-05,1,2,2,1,6,1,60,female,60 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,1,3,2,0,1,0,a work-related trip,applied higher education,1,car is available for this trip,2,2,5,5,6,5,5
H0061,72,10360225,0.2298009887184065,9.82e-05,1,2,2,3,6,1,60,female,60 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,1,3,2,0,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,2,2,5,5,6,5,5
H0062,73,10360225,0.2298009887184065,9.82e-05,1,2,2,1,6,1,60,female,60 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,1,3,2,0,1,0,a work-related trip,applied higher education,1,car is available for this trip,2,2,5,5,6,5,5
H0063,74,10360235,0.2553833146722722,0.000109132,1,2,1,1,4,1,61,male,61 years old,15000,around CHF 15000 per month,0,0,0,1,0,0,15.0,1,0,0,3,5,3,0,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,3,5,5,4,4,4
H0064,75,10360236,0.2298009887184065,9.82e-05,1,2,2,2,4,1,48,female,48 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,0,0,0,3,5,3,-1,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,1,2,5,5,5,4,5
H0065,76,10360266,0.1804241978634332,7.71e-05,1,2,9,3,5,1,72,female,65 or older,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,0,2,0,0,1,a leisure-related trip,high school education,1,car is available for this trip,3,5,5,5,6,4,2
H0066,77,10360266,0.1804241978634332,7.71e-05,1,2,9,3,5,1,72,female,65 or older,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,0,2,0,0,1,a leisure-related trip,high school education,1,car is available for this trip,3,5,5,5,6,4,2
H0067,78,10360266,0.1804241978634332,7.71e-05,1,2,9,3,5,1,72,female,65 or older,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,0,0,0,1,0,2,0,0,1,a leisure-related trip,high school education,1,car is available for this trip,3,5,5,5,6,4,2
H0068,80,10360283,0.6762935451898376,0.000288998,1,2,-1,3,-1,1,-1,traveler,30 or younger,-1,unknown income,0,0,0,0,0,1,-0.001,0,0,0,-1,-1,-1,-1,0,1,a leisure-related trip,education not reported,1,car is available for this trip,4,4,5,5,3,3,2
H0069,82,10360284,0.6762935451898376,0.000288998,1,2,9,3,3,1,66,female,65 or older,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,2,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,5,5,5,3,4,2
H0070,83,10360284,0.6762935451898376,0.000288998,1,2,9,3,3,1,66,female,65 or older,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,2,2,0,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,4,5,5,5,3,4,2
H0071,84,10360285,0.543107257288418,0.000232084,1,2,6,3,6,1,39,female,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,1,0,2,4,4,2,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,2,3,4,4,5,4,4
H0072,85,10360285,0.543107257288418,0.000232084,1,2,6,3,6,1,39,female,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,1,0,2,4,4,2,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,2,3,4,4,5,4,4
H0073,86,10360286,0.3747464412665672,0.000160139,1,2,1,2,7,1,42,male,42 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,2,4,4,2,1,0,a mixed work-and-leisure trip,university education,1,car is available for this trip,3,3,5,5,3,3,4
H0074,87,10360322,0.543107257288418,0.000232084,1,2,1,2,4,1,35,female,35 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,0,1,3,3,1,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,2,2,5,5,4,5,4
H0075,88,10360322,0.543107257288418,0.000232084,1,2,1,3,4,1,35,female,35 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,1,0,0,1,3,3,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,2,5,5,4,5,4
H0076,90,10360366,0.2943067346860529,0.000125765,1,2,9,3,7,1,78,male,65 or older,3250,around CHF 3250 per month,1,0,0,0,0,0,3.25,0,0,1,1,-1,2,-1,0,1,a leisure-related trip,university education,1,car is available for this trip,1,3,5,5,6,5,1
H0077,91,10360414,0.2553833146722722,0.000109132,1,2,1,2,4,1,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,1,3,4,4,4,4,3
H0078,92,10360414,0.2553833146722722,0.000109132,1,2,1,1,4,1,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work-related trip,vocational or secondary education,1,car is available for this trip,1,3,4,4,4,4,3
H0079,94,10360415,2.0360086784578657,0.00087004,1,2,2,3,3,1,36,female,36 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,1,5,5,3,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,3,4,4,4,4,4
H0080,95,10360458,0.8611359127752702,0.000367986,1,2,1,3,3,1,41,female,41 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,0,2,5,5,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,5,1,2,2,4,5
H0081,96,10360458,0.8611359127752702,0.000367986,1,2,1,3,3,1,41,female,41 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,0,2,5,5,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,5,1,2,2,4,5
H0082,98,10360460,2.2635771809925926,0.000967286,1,2,1,2,3,1,27,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,2,1,2,0,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,2,4,4,4,3,4,4
H0083,99,10360462,0.1804241978634332,7.71e-05,1,2,9,3,6,1,65,female,65 or older,2000,around CHF 2000 per month,1,0,0,0,0,0,2.0,0,1,0,1,0,1,0,0,1,a leisure-related trip,applied higher education,1,car is available for this trip,1,3,4,4,6,5,5
H0084,100,10360464,5.711897805574239,0.002440844,1,2,8,1,2,1,17,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,1,4,4,1,1,0,a work-related trip,compulsory education,0,car is not available for this trip,2,4,4,4,6,4,4
H0085,101,10360465,0.8611359127752702,0.000367986,1,2,2,3,3,1,43,female,43 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,1,1,4,4,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,2,4,4,4,4,4
H0086,102,10360465,0.8611359127752702,0.000367986,1,2,2,3,3,1,43,female,43 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,0,1,1,4,4,1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,2,4,4,4,4,4
H0087,103,10360475,0.3747464412665672,0.000160139,1,2,1,3,8,1,50,male,50 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,7,4,1,0,1,a leisure-related trip,university education,1,car is available for this trip,5,5,4,5,5,5,4
H0088,104,10360475,0.3747464412665672,0.000160139,1,2,1,-1,8,1,50,male,50 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,7,4,1,0,1,a trip with unreported purpose,university education,1,car is available for this trip,5,5,4,5,5,5,4
H0089,105,10360518,0.796946084663805,0.000340556,1,2,2,1,7,1,28,female,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,1,2,2,2,0,1,0,a work-related trip,university education,1,car is available for this trip,2,3,5,5,6,4,4
H0090,106,10360519,0.6038126284528191,0.000258025,1,2,2,1,6,1,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,1,0,a work-related trip,applied higher education,1,car is available for this trip,3,3,4,4,6,3,2
H0091,107,10360519,0.6038126284528191,0.000258025,1,2,2,-1,6,1,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,0,1,a trip with unreported purpose,applied higher education,1,car is available for this trip,3,3,4,4,6,3,2
H0092,108,10360526,9.055467089443033,0.003869639,1,2,2,2,2,1,31,male,31 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,3,4,2,1,0,a mixed work-and-leisure trip,compulsory education,1,car is available for this trip,2,5,4,4,4,4,4
H0093,109,10360527,0.8611359127752702,0.000367986,1,2,3,3,3,1,41,female,41 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,1,0,1,3,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,4,4,4,4,4
H0094,110,10360527,0.8611359127752702,0.000367986,1,2,3,3,3,1,41,female,41 years old,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,1,1,0,1,3,4,2,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,2,4,4,4,4,4,4
H0095,111,10360532,0.8860232194455376,0.000378621,1,2,1,1,7,1,37,male,37 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,2,3,1,1,0,a work-related trip,university education,1,car is available for this trip,1,4,-1,4,3,3,3
H0096,114,10360533,0.543107257288418,0.000232084,1,2,2,2,4,1,39,female,39 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,3,3,1,1,0,a mixed work-and-leisure trip,vocational or secondary education,1,car is available for this trip,1,4,5,5,2,4,3
H0097,115,10360536,0.6038126284528191,0.000258025,1,2,1,2,6,1,39,male,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,1,1,0,0,1,0,a mixed work-and-leisure trip,applied higher education,1,car is available for this trip,1,2,5,5,6,5,4
H0098,121,10360564,0.7518844977110388,0.0003213,1,2,9,3,3,1,75,male,65 or older,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,0,1,0,2,1,2,-1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,4,4,5,4,4,3
H0099,122,10360564,0.7518844977110388,0.0003213,1,2,9,3,3,1,75,male,65 or older,5000,around CHF 5000 per month,0,1,0,0,0,0,5.0,0,1,0,2,1,2,-1,0,1,a leisure-related trip,vocational or secondary education,1,car is available for this trip,1,4,4,5,4,4,3
