parameter_name,human_estimate,source_table,normalization,source_note,estimate,std_error,z_value,p_value,significant_5pct,difference_ai_minus_human,sign_match
MAAS_WALK_REL_CAR,-1.342,Table_4,private_car_base_for_sd_subset,Computed as MAAS_WALK minus MAAS_CAR.,-2.2434834619547503,0.0,,,0,-0.9014834619547503,1
B_TIME_ES,-0.116,Table_4,direct,Mode-specific travel time coefficient for e-scootersharing.,-31.61138496498709,0.0,,,0,-31.49538496498709,1
B_TIME_BS,-0.09,Table_4,direct,Mode-specific travel time coefficient for bikesharing.,-8.48155595891447,2.140338780562781,-3.9627165736278105,7.410173392252695e-05,1,-8.39155595891447,1
B_TIME_WALK,-0.212,Table_4,direct,Mode-specific travel time coefficient for walking.,-208.9366439197436,0.0,,,0,-208.7246439197436,1
B_TIME_CAR,-0.057,Table_4,direct,Mode-specific travel time coefficient for private car.,87.26094857309245,0.0,,,0,87.31794857309245,0
B_ACCESS_SHARED,-0.04,Table_4,direct,Shared-mode access time coefficient.,-19.4383177106124,2.8434211069376985,-6.836243025412101,8.129719120120171e-12,1,-19.3983177106124,1
B_ACCESS_CAR,-0.034,Table_4,direct,Private-car access time coefficient.,-40.6473234418921,5.7573270089659045,-7.06010330463979,1.6637802247032596e-12,1,-40.6133234418921,1
B_EGRESS_SHARED,-0.03,Table_4,direct,Shared-mode egress time coefficient.,-247.81395433994035,13.058824662435653,-18.976742604775858,0.0,1,-247.78395433994035,1
B_EGRESS_CAR,-0.042,Table_4,direct,Private-car egress time coefficient.,-162.5415927685879,0.0,,,0,-162.4995927685879,1
B_PARKING,-0.04,Table_4,direct,Generic parking-search-time coefficient.,160.22802126574348,0.0,,,0,160.26802126574347,0
B_COST_LOGMEAN,-1.886,Table_4,direct,Mean term in the log-normal cost coefficient.,5.437099062357263,0.0,,,0,7.323099062357263,0
SIGMA_COST,-1.414,Table_4,direct,Scale term in the log-normal cost coefficient.,-2.0712336043885955,0.0289133317181182,-71.63593682601025,0.0,1,-0.6572336043885956,1
B_AVAILABILITY,0.006,Table_4,direct,Availability coefficient for shared modes.,0.6160833700185325,0.0,,,0,0.6100833700185325,1
B_SCHEME_SD,0.418,Table_4,direct,Free-floating scheme coefficient for short-distance shared modes.,-239.356395495624,0.0,,,0,-239.77439549562402,0
B_RANGE,0.006,Table_4,direct,Battery range coefficient for shared modes.,132.07867695849208,0.0,,,0,132.07267695849208,1
B_PEDELEC,-0.321,Table_4,direct,Pedelec dummy coefficient within bikesharing.,-92.44580336847046,0.0,,,0,-92.12480336847047,1
SIGMA_ES,1.315,Table_4,direct,Random intercept scale for e-scootersharing.,303.8667207992195,0.0,,,0,302.5517207992195,1
SIGMA_BS,1.587,Table_4,direct,Random intercept scale for bikesharing.,69.16321322132788,0.0,,,0,67.57621322132788,1
SIGMA_WALK,-2.933,Table_4,direct,Random intercept scale for walking.,-7.418458237177419,0.0,,,0,-4.485458237177419,1
