respondent_id,persona_id,female,gender_text,age_band,age_years,income_band,metropolis,metropolis_text,household_cars,accessible_bikes,pt_pass,pt_pass_text,maas_subscription,maas_text
24,P0024,0,male,68_plus,68,500_1999_eur,1,metropolis,2,1,0,does not hold a public transport pass,1,has an active MaaS subscription
25,P0025,0,male,50_59,56,2000_3999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
26,P0026,0,male,60_67,64,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
27,P0027,0,male,50_59,52,2000_3999_eur,1,metropolis,3,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
28,P0028,1,female,68_plus,72,4000_plus_eur,0,large city,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
29,P0029,0,male,40_49,48,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
30,P0030,0,male,68_plus,68,500_1999_eur,0,large city,2,3,1,holds a public transport pass,0,does not have a MaaS subscription
31,P0031,1,female,40_49,44,500_1999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
32,P0032,0,male,40_49,43,500_1999_eur,1,metropolis,2,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
33,P0033,0,male,30_39,37,4000_plus_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
34,P0034,0,male,30_39,31,4000_plus_eur,0,large city,0,0,0,does not hold a public transport pass,1,has an active MaaS subscription
35,P0035,0,male,68_plus,75,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
36,P0036,1,female,50_59,51,4000_plus_eur,1,metropolis,1,4,1,holds a public transport pass,0,does not have a MaaS subscription
37,P0037,1,female,18_29,20,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
38,P0038,1,female,18_29,19,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
39,P0039,1,female,68_plus,80,4000_plus_eur,0,large city,2,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
40,P0040,0,male,68_plus,76,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
41,P0041,1,female,30_39,37,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
42,P0042,0,male,18_29,28,2000_3999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
43,P0043,1,female,30_39,39,2000_3999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
44,P0044,1,female,30_39,30,2000_3999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
45,P0045,1,female,50_59,57,2000_3999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
46,P0046,0,male,50_59,53,2000_3999_eur,0,large city,2,1,1,holds a public transport pass,0,does not have a MaaS subscription
47,P0047,0,male,60_67,62,2000_3999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
48,P0048,1,female,50_59,57,lt_500_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
49,P0049,0,male,68_plus,69,2000_3999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription
50,P0050,1,female,68_plus,74,2000_3999_eur,0,large city,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
51,P0051,1,female,50_59,58,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
52,P0052,0,male,50_59,54,4000_plus_eur,0,large city,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
53,P0053,1,female,50_59,58,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,1,has an active MaaS subscription
54,P0054,1,female,60_67,61,2000_3999_eur,0,large city,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
55,P0055,0,male,60_67,67,500_1999_eur,0,large city,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription
56,P0056,0,male,68_plus,68,500_1999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
57,P0057,1,female,60_67,65,2000_3999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
58,P0058,0,male,40_49,42,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
59,P0059,1,female,68_plus,76,2000_3999_eur,1,metropolis,2,0,1,holds a public transport pass,1,has an active MaaS subscription
60,P0060,1,female,50_59,54,2000_3999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
61,P0061,0,male,50_59,52,500_1999_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
62,P0062,1,female,60_67,63,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
63,P0063,0,male,40_49,40,4000_plus_eur,0,large city,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
64,P0064,1,female,30_39,38,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
65,P0065,1,female,60_67,61,2000_3999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
66,P0066,0,male,40_49,48,500_1999_eur,0,large city,2,4,1,holds a public transport pass,0,does not have a MaaS subscription
67,P0067,0,male,30_39,30,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,1,has an active MaaS subscription
68,P0068,0,male,68_plus,76,500_1999_eur,1,metropolis,4,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
69,P0069,0,male,68_plus,75,4000_plus_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
70,P0070,0,male,40_49,45,2000_3999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
71,P0071,1,female,60_67,66,2000_3999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
72,P0072,0,male,40_49,44,500_1999_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
73,P0073,1,female,40_49,45,2000_3999_eur,1,metropolis,2,1,1,holds a public transport pass,1,has an active MaaS subscription
74,P0074,1,female,30_39,32,lt_500_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
75,P0075,0,male,50_59,59,4000_plus_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
76,P0076,1,female,40_49,48,lt_500_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
77,P0077,0,male,60_67,65,2000_3999_eur,1,metropolis,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
78,P0078,0,male,50_59,53,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,1,has an active MaaS subscription
79,P0079,0,male,40_49,44,4000_plus_eur,1,metropolis,3,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
80,P0080,0,male,40_49,43,500_1999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
81,P0081,1,female,40_49,41,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
82,P0082,1,female,30_39,36,2000_3999_eur,0,large city,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
83,P0083,0,male,50_59,53,500_1999_eur,1,metropolis,2,2,1,holds a public transport pass,0,does not have a MaaS subscription
84,P0084,0,male,68_plus,69,4000_plus_eur,0,large city,0,5,1,holds a public transport pass,0,does not have a MaaS subscription
85,P0085,0,male,40_49,43,500_1999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
86,P0086,1,female,40_49,43,500_1999_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
87,P0087,1,female,30_39,31,500_1999_eur,1,metropolis,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
88,P0088,1,female,30_39,38,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
89,P0089,1,female,40_49,40,4000_plus_eur,0,large city,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
90,P0090,0,male,30_39,34,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,0,does not have a MaaS subscription
91,P0091,1,female,68_plus,69,4000_plus_eur,1,metropolis,2,3,1,holds a public transport pass,0,does not have a MaaS subscription
92,P0092,0,male,30_39,31,500_1999_eur,1,metropolis,0,3,1,holds a public transport pass,0,does not have a MaaS subscription
93,P0093,0,male,60_67,60,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
94,P0094,0,male,40_49,44,500_1999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
95,P0095,1,female,50_59,51,500_1999_eur,1,metropolis,1,4,1,holds a public transport pass,0,does not have a MaaS subscription
96,P0096,0,male,50_59,54,2000_3999_eur,0,large city,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
97,P0097,0,male,60_67,60,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
98,P0098,0,male,30_39,37,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
99,P0099,0,male,40_49,47,2000_3999_eur,1,metropolis,4,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
100,P0100,0,male,18_29,18,4000_plus_eur,0,large city,0,5,0,does not hold a public transport pass,0,does not have a MaaS subscription
101,P0101,0,male,50_59,53,4000_plus_eur,1,metropolis,3,2,0,does not hold a public transport pass,1,has an active MaaS subscription
102,P0102,0,male,68_plus,75,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
103,P0103,0,male,18_29,23,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,1,has an active MaaS subscription
104,P0104,1,female,18_29,25,500_1999_eur,1,metropolis,2,1,1,holds a public transport pass,0,does not have a MaaS subscription
105,P0105,1,female,68_plus,69,500_1999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription
106,P0106,0,male,50_59,51,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,1,has an active MaaS subscription
107,P0107,0,male,50_59,56,2000_3999_eur,0,large city,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
108,P0108,0,male,40_49,47,500_1999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
109,P0109,1,female,68_plus,71,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,1,has an active MaaS subscription
110,P0110,1,female,68_plus,71,2000_3999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
111,P0111,1,female,40_49,40,2000_3999_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
112,P0112,1,female,68_plus,79,500_1999_eur,0,large city,3,0,1,holds a public transport pass,0,does not have a MaaS subscription
113,P0113,1,female,50_59,56,500_1999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
114,P0114,0,male,40_49,40,2000_3999_eur,1,metropolis,1,5,1,holds a public transport pass,0,does not have a MaaS subscription
115,P0115,0,male,50_59,52,500_1999_eur,1,metropolis,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
116,P0116,1,female,68_plus,76,lt_500_eur,0,large city,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
117,P0117,1,female,60_67,62,4000_plus_eur,0,large city,1,1,1,holds a public transport pass,1,has an active MaaS subscription
118,P0118,0,male,50_59,55,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
119,P0119,0,male,18_29,29,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
120,P0120,0,male,68_plus,71,2000_3999_eur,0,large city,3,1,1,holds a public transport pass,1,has an active MaaS subscription
121,P0121,1,female,50_59,51,2000_3999_eur,0,large city,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
122,P0122,0,male,40_49,40,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
123,P0123,0,male,18_29,19,2000_3999_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
124,P0124,0,male,40_49,46,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
125,P0125,1,female,50_59,53,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
126,P0126,1,female,60_67,66,500_1999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
127,P0127,0,male,40_49,47,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
128,P0128,0,male,30_39,36,4000_plus_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
129,P0129,1,female,50_59,54,500_1999_eur,1,metropolis,0,2,1,holds a public transport pass,0,does not have a MaaS subscription
130,P0130,0,male,60_67,65,500_1999_eur,1,metropolis,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
131,P0131,0,male,40_49,45,2000_3999_eur,0,large city,0,5,1,holds a public transport pass,0,does not have a MaaS subscription
132,P0132,1,female,40_49,41,2000_3999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
133,P0133,0,male,18_29,25,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,1,has an active MaaS subscription
134,P0134,0,male,60_67,64,lt_500_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
135,P0135,0,male,50_59,52,4000_plus_eur,1,metropolis,1,1,1,holds a public transport pass,1,has an active MaaS subscription
136,P0136,1,female,40_49,41,lt_500_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
137,P0137,0,male,68_plus,69,2000_3999_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
138,P0138,0,male,50_59,55,500_1999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
139,P0139,0,male,68_plus,74,lt_500_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
140,P0140,1,female,40_49,48,500_1999_eur,1,metropolis,2,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
141,P0141,0,male,68_plus,79,2000_3999_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
142,P0142,0,male,50_59,51,4000_plus_eur,1,metropolis,4,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
143,P0143,1,female,40_49,47,lt_500_eur,1,metropolis,3,1,1,holds a public transport pass,0,does not have a MaaS subscription
144,P0144,0,male,40_49,45,4000_plus_eur,1,metropolis,2,3,1,holds a public transport pass,0,does not have a MaaS subscription
145,P0145,0,male,50_59,52,500_1999_eur,0,large city,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
146,P0146,1,female,50_59,56,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
147,P0147,0,male,40_49,47,500_1999_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
148,P0148,0,male,40_49,48,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
149,P0149,0,male,50_59,59,2000_3999_eur,1,metropolis,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
150,P0150,0,male,60_67,65,2000_3999_eur,0,large city,3,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
151,P0151,1,female,18_29,18,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
152,P0152,1,female,50_59,57,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
153,P0153,0,male,50_59,54,500_1999_eur,0,large city,1,3,1,holds a public transport pass,1,has an active MaaS subscription
154,P0154,0,male,50_59,58,500_1999_eur,1,metropolis,0,3,1,holds a public transport pass,0,does not have a MaaS subscription
155,P0155,1,female,60_67,63,2000_3999_eur,0,large city,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
156,P0156,0,male,40_49,40,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
157,P0157,1,female,60_67,67,4000_plus_eur,0,large city,2,2,1,holds a public transport pass,0,does not have a MaaS subscription
158,P0158,1,female,40_49,40,2000_3999_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
159,P0159,1,female,18_29,28,500_1999_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription
160,P0160,0,male,30_39,34,4000_plus_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
161,P0161,0,male,60_67,66,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
162,P0162,0,male,50_59,55,500_1999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
163,P0163,1,female,50_59,55,2000_3999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
164,P0164,1,female,68_plus,75,2000_3999_eur,0,large city,0,3,1,holds a public transport pass,0,does not have a MaaS subscription
165,P0165,0,male,60_67,64,2000_3999_eur,1,metropolis,0,2,1,holds a public transport pass,1,has an active MaaS subscription
166,P0166,1,female,18_29,18,4000_plus_eur,0,large city,2,1,1,holds a public transport pass,0,does not have a MaaS subscription
167,P0167,1,female,40_49,44,4000_plus_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
168,P0168,0,male,60_67,63,4000_plus_eur,1,metropolis,3,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
169,P0169,1,female,68_plus,77,2000_3999_eur,0,large city,0,5,1,holds a public transport pass,0,does not have a MaaS subscription
170,P0170,0,male,30_39,33,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
171,P0171,1,female,40_49,46,500_1999_eur,0,large city,4,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
172,P0172,1,female,30_39,35,2000_3999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
173,P0173,1,female,18_29,19,2000_3999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
174,P0174,1,female,50_59,53,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
175,P0175,0,male,40_49,47,500_1999_eur,1,metropolis,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
176,P0176,0,male,30_39,32,4000_plus_eur,1,metropolis,1,0,1,holds a public transport pass,1,has an active MaaS subscription
177,P0177,1,female,30_39,38,2000_3999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
178,P0178,0,male,68_plus,69,2000_3999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
179,P0179,1,female,60_67,63,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
180,P0180,1,female,30_39,35,500_1999_eur,0,large city,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
181,P0181,0,male,60_67,60,4000_plus_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
182,P0182,0,male,30_39,31,2000_3999_eur,0,large city,0,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
183,P0183,0,male,40_49,44,2000_3999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
184,P0184,1,female,50_59,54,2000_3999_eur,0,large city,1,4,1,holds a public transport pass,0,does not have a MaaS subscription
185,P0185,0,male,60_67,66,2000_3999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
186,P0186,0,male,30_39,32,500_1999_eur,0,large city,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
187,P0187,1,female,50_59,59,500_1999_eur,1,metropolis,1,2,1,holds a public transport pass,0,does not have a MaaS subscription
188,P0188,0,male,60_67,66,500_1999_eur,1,metropolis,1,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
189,P0189,1,female,50_59,53,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
190,P0190,0,male,30_39,30,4000_plus_eur,1,metropolis,2,0,0,does not hold a public transport pass,1,has an active MaaS subscription
191,P0191,1,female,18_29,18,4000_plus_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
192,P0192,1,female,50_59,51,500_1999_eur,0,large city,1,0,0,does not hold a public transport pass,1,has an active MaaS subscription
193,P0193,1,female,30_39,36,4000_plus_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
194,P0194,1,female,50_59,52,2000_3999_eur,1,metropolis,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
195,P0195,0,male,30_39,32,500_1999_eur,0,large city,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
196,P0196,1,female,50_59,50,2000_3999_eur,0,large city,2,2,1,holds a public transport pass,0,does not have a MaaS subscription
197,P0197,1,female,50_59,59,2000_3999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
198,P0198,0,male,68_plus,71,2000_3999_eur,0,large city,4,4,1,holds a public transport pass,0,does not have a MaaS subscription
199,P0199,0,male,18_29,28,4000_plus_eur,1,metropolis,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
200,P0200,0,male,40_49,48,2000_3999_eur,1,metropolis,0,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
201,P0201,1,female,40_49,48,4000_plus_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription
202,P0202,1,female,68_plus,73,500_1999_eur,1,metropolis,1,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
203,P0203,0,male,40_49,47,2000_3999_eur,0,large city,0,0,1,holds a public transport pass,0,does not have a MaaS subscription
204,P0204,1,female,60_67,61,500_1999_eur,1,metropolis,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
205,P0205,0,male,50_59,51,4000_plus_eur,1,metropolis,2,4,0,does not hold a public transport pass,0,does not have a MaaS subscription
206,P0206,1,female,68_plus,74,2000_3999_eur,0,large city,1,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
207,P0207,1,female,18_29,25,2000_3999_eur,0,large city,1,4,1,holds a public transport pass,0,does not have a MaaS subscription
208,P0208,1,female,68_plus,73,500_1999_eur,0,large city,1,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
209,P0209,0,male,40_49,41,500_1999_eur,1,metropolis,2,2,1,holds a public transport pass,0,does not have a MaaS subscription
210,P0210,1,female,68_plus,70,2000_3999_eur,0,large city,1,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
211,P0211,0,male,68_plus,78,2000_3999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
212,P0212,0,male,30_39,38,500_1999_eur,1,metropolis,2,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
213,P0213,0,male,60_67,60,500_1999_eur,1,metropolis,0,0,0,does not hold a public transport pass,0,does not have a MaaS subscription
214,P0214,1,female,30_39,30,4000_plus_eur,1,metropolis,2,1,1,holds a public transport pass,0,does not have a MaaS subscription
215,P0215,1,female,30_39,33,2000_3999_eur,1,metropolis,2,1,0,does not hold a public transport pass,0,does not have a MaaS subscription
216,P0216,0,male,50_59,51,500_1999_eur,1,metropolis,0,5,1,holds a public transport pass,1,has an active MaaS subscription
217,P0217,0,male,40_49,45,4000_plus_eur,1,metropolis,1,3,1,holds a public transport pass,0,does not have a MaaS subscription
218,P0218,1,female,30_39,35,500_1999_eur,1,metropolis,1,1,1,holds a public transport pass,0,does not have a MaaS subscription
219,P0219,0,male,68_plus,80,500_1999_eur,0,large city,0,2,0,does not hold a public transport pass,0,does not have a MaaS subscription
220,P0220,0,male,68_plus,71,4000_plus_eur,1,metropolis,0,3,0,does not hold a public transport pass,0,does not have a MaaS subscription
221,P0221,0,male,40_49,47,2000_3999_eur,1,metropolis,2,4,1,holds a public transport pass,0,does not have a MaaS subscription
222,P0222,1,female,60_67,62,4000_plus_eur,0,large city,1,0,0,does not hold a public transport pass,1,has an active MaaS subscription
223,P0223,0,male,50_59,56,2000_3999_eur,0,large city,1,0,1,holds a public transport pass,1,has an active MaaS subscription
224,P0224,1,female,50_59,59,4000_plus_eur,1,metropolis,0,3,0,does not hold a public transport pass,1,has an active MaaS subscription
225,P0225,0,male,60_67,63,500_1999_eur,1,metropolis,0,1,1,holds a public transport pass,0,does not have a MaaS subscription
226,P0226,0,male,30_39,35,2000_3999_eur,1,metropolis,1,4,1,holds a public transport pass,0,does not have a MaaS subscription
