respondent_id,human_id,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,CAR_AVAILABLE,pt_proxy,car_proxy,slow_proxy,complexity_score,complexity_rank,scenario_id
H0034,10540031,306,45,20.2,92,10.89,82.5,1.53,0.75,2.02,0.46,1.089,16.5,1,4.300000000000001,1.549,16.5,0.266595574513463,0.153954802259887,S0034
H0035,10540046,120,4,6.1,39,3.85,22.5,0.6,0.0666666666666666,0.61,0.195,0.385,4.5,1,1.2766666666666664,0.5800000000000001,4.5,0.5893909626719058,0.6228813559322034,S0035
H0036,10540130,120,4,4.5,40,3.96,23.5,0.6,0.0666666666666666,0.45,0.2,0.396,4.7,1,1.1166666666666665,0.5960000000000001,4.7,0.6576063130206051,0.7019774011299436,S0036
H0037,10540130,120,2,5.5,36,3.64,24.0,0.6,0.0333333333333333,0.55,0.18,0.364,4.8,1,1.1833333333333333,0.544,4.8,0.6100040666937779,0.6468926553672316,S0037
H0038,10540178,186,19,8.2,34,3.94,28.0,0.93,0.3166666666666666,0.82,0.17,0.394,5.6,1,2.0666666666666664,0.5640000000000001,5.6,0.39957378795950993,0.3361581920903955,S0038
H0039,10540184,110,8,11.0,13,1.23,6.0,0.55,0.1333333333333333,1.1,0.065,0.123,1.2,1,1.7833333333333334,0.188,1.2,0.631578947368421,0.6709039548022598,S0039
H0040,10540184,111,20,11.0,13,1.23,6.0,0.555,0.3333333333333333,1.1,0.065,0.123,1.2,1,1.9883333333333335,0.188,1.2,0.559179869524697,0.576271186440678,S0040
H0041,10540187,96,5,0.0,34,3.2,18.0,0.48,0.0833333333333333,0.0,0.17,0.32,3.6,1,0.5633333333333332,0.49,3.6,0.9316770186335405,0.96045197740113,S0041
H0042,10540199,119,11,5.5,38,4.57,32.0,0.595,0.1833333333333333,0.55,0.19,0.457,6.4,1,1.3283333333333334,0.647,6.4,0.5947660586835845,0.6242937853107344,S0042
H0043,10540250,46,8,0.0,35,3.67,25.0,0.23,0.1333333333333333,0.0,0.175,0.367,5.0,1,0.3633333333333333,0.542,5.0,0.8484162895927602,0.8954802259887006,S0043
H0044,10540260,123,11,0.0,41,4.08,23.5,0.615,0.1833333333333333,0.0,0.205,0.408,4.7,1,0.7983333333333333,0.613,4.7,0.843644544431946,0.8884180790960452,S0044
H0045,10540266,234,49,7.9,40,4.18,28.8,1.17,0.8166666666666667,0.79,0.2,0.418,5.76,1,2.7766666666666664,0.618,5.76,0.3165892781764458,0.22033898305084745,S0045
H0046,10540297,270,50,43.3,171,28.12,208.0,1.35,0.8333333333333334,4.33,0.855,2.8120000000000003,41.6,1,6.513333333333334,3.6670000000000003,41.6,0.2599878672328625,0.14548022598870056,S0046
H0047,10540298,167,17,12.5,63,9.76,68.0,0.835,0.2833333333333333,1.25,0.315,0.976,13.6,0,2.368333333333333,1000000.0,13.6,0.08175500749420903,0.012711864406779662,S0047
H0048,10540351,470,31,61.2,180,29.12,206.0,2.35,0.5166666666666667,6.12,0.9,2.912,41.2,1,8.986666666666666,3.812,41.2,0.16195206218959188,0.052259887005649715,S0048
H0049,10540354,76,7,3.8,14,1.53,10.9,0.38,0.1166666666666666,0.38,0.07,0.153,2.18,1,0.8766666666666666,0.223,2.18,0.6047167909695627,0.6412429378531074,S0049
H0050,10540395,140,18,13.3,66,6.71,37.0,0.7,0.3,1.33,0.33,0.671,7.4,1,2.33,1.0010000000000001,7.4,0.4293688278231001,0.3799435028248588,S0050
H0051,10540396,111,0,10.4,16,1.82,11.5,0.555,0.0,1.04,0.08,0.182,2.3,1,1.5950000000000002,0.262,2.3,0.5865102639296189,0.615819209039548,S0051
H0052,10540515,207,27,24.8,55,5.98,44.0,1.035,0.45,2.48,0.275,0.5980000000000001,8.8,1,3.965,0.8730000000000001,8.8,0.2443792766373412,0.12146892655367232,S0052
H0053,10540517,117,0,8.8,33,3.48,23.0,0.585,0.0,0.8800000000000001,0.165,0.348,4.6,1,1.465,0.513,4.6,0.5122950819672131,0.5084745762711864,S0053
H0054,10540518,96,3,11.0,32,3.41,18.0,0.48,0.05,1.1,0.16,0.341,3.6,1,1.6300000000000001,0.501,3.6,0.4697040864255519,0.4449152542372881,S0054
H0055,10540531,166,5,12.2,44,4.47,28.5,0.83,0.0833333333333333,1.22,0.22,0.4469999999999999,5.7,1,2.1333333333333333,0.6669999999999999,5.7,0.40546019732396266,0.3432203389830508,S0055
H0056,10540548,110,0,11.0,35,3.4,19.0,0.55,0.0,1.1,0.175,0.3399999999999999,3.8,1,1.6500000000000001,0.5149999999999999,3.8,0.46838407494145196,0.442090395480226,S0056
H0057,10540559,46,0,5.6,5,0.72,4.1,0.23,0.0,0.5599999999999999,0.025,0.072,0.82,1,0.7899999999999999,0.097,0.82,0.970873786407767,0.9830508474576272,S0057
H0058,10540559,265,37,19.2,45,6.31,42.0,1.325,0.6166666666666667,1.92,0.225,0.631,8.4,1,3.8616666666666664,0.856,8.4,0.24964633435965716,0.1271186440677966,S0058
H0059,10540563,461,41,79.4,117,17.77,134.0,2.305,0.6833333333333333,7.94,0.585,1.777,26.8,1,10.928333333333335,2.362,26.8,0.10453325899857137,0.01977401129943503,S0059
H0060,10540672,84,12,9.6,31,3.24,23.0,0.42,0.2,0.96,0.155,0.324,4.6,1,1.58,0.479,4.6,0.47596382674916704,0.452683615819209,S0060
H0061,10540689,141,17,6.0,28,2.92,21.0,0.705,0.2833333333333333,0.6,0.14,0.292,4.2,1,1.5883333333333334,0.432,4.2,0.46375019322924715,0.4364406779661017,S0061
H0062,10540689,118,15,6.0,28,2.92,21.0,0.59,0.25,0.6,0.14,0.292,4.2,1,1.44,0.432,4.2,0.49800796812749004,0.4872881355932203,S0062
H0063,10540691,135,37,13.2,20,2.19,15.6,0.675,0.6166666666666667,1.3199999999999998,0.1,0.219,3.12,1,2.6116666666666664,0.319,3.12,0.6629834254143645,0.71045197740113,S0063
H0064,10540691,68,0,5.2,7,0.79,5.5,0.34,0.0,0.52,0.035,0.079,1.1,1,0.8600000000000001,0.114,1.1,0.8064516129032259,0.8587570621468926,S0064
H0065,10540774,232,9,50.0,77,10.15,72.0,1.16,0.15,5.0,0.385,1.015,14.4,1,6.31,1.4,14.4,0.1692047377326565,0.06073446327683616,S0065
H0066,10540804,141,10,7.0,44,4.64,31.5,0.705,0.1666666666666666,0.7,0.22,0.4639999999999999,6.3,1,1.5716666666666665,0.6839999999999999,6.3,0.5297545470598622,0.5338983050847458,S0066
H0067,10541086,245,15,14.2,71,9.37,66.0,1.225,0.25,1.42,0.355,0.937,13.2,1,2.895,1.292,13.2,0.38417210910487903,0.3177966101694915,S0067
H0068,10541086,85,3,5.5,35,3.54,24.0,0.425,0.05,0.55,0.175,0.354,4.8,1,1.025,0.5289999999999999,4.8,0.6684491978609626,0.7203389830508474,S0068
H0069,10980079,154,0,4.8,30,3.24,19.6,0.77,0.0,0.48,0.15,0.324,3.92,1,1.25,0.474,3.92,0.5630630630630631,0.5819209039548022,S0069
H0070,11460027,128,10,0.0,46,5.4,33.1,0.64,0.1666666666666666,0.0,0.23,0.54,6.62,0,0.8066666666666666,1000000.0,6.62,0.14677103718199608,0.038135593220338986,S0070
H0071,11460060,239,30,22.7,70,9.46,70.5,1.195,0.5,2.27,0.35,0.946,14.1,1,3.965,1.2959999999999998,14.1,0.2725538293813028,0.1596045197740113,S0071
H0072,11460070,155,33,22.6,47,5.93,43.0,0.775,0.55,2.26,0.235,0.593,8.6,1,3.585,0.828,8.6,0.2661698163428267,0.15254237288135594,S0072
H0073,11460082,206,32,26.0,71,9.56,71.0,1.03,0.5333333333333333,2.6,0.355,0.956,14.2,1,4.163333333333334,1.311,14.2,0.259582936748291,0.1440677966101695,S0073
H0074,14050001,70,0,3.4,10,1.02,5.0,0.35,0.0,0.3399999999999999,0.05,0.102,1.0,1,0.69,0.152,1.0,0.7633587786259541,0.826271186440678,S0074
H0075,14050001,35,0,3.4,9,1.0,5.0,0.175,0.0,0.3399999999999999,0.045,0.1,1.0,1,0.5149999999999999,0.14500000000000002,1.0,0.7299270072992702,0.7966101694915254,S0075
H0076,14050047,183,53,17.2,69,12.93,96.0,0.915,0.8833333333333333,1.72,0.345,1.293,19.2,1,3.5183333333333335,1.638,19.2,0.34718203911584306,0.2641242937853107,S0076
H0077,14050075,145,20,0.0,54,9.84,76.0,0.725,0.3333333333333333,0.0,0.27,0.984,15.2,1,1.0583333333333333,1.254,15.2,0.8363534987454697,0.885593220338983,S0077
H0078,14050133,284,74,0.0,95,17.77,128.0,1.42,1.2333333333333334,0.0,0.475,1.777,25.6,1,2.6533333333333333,2.252,25.6,0.7136060894386298,0.7810734463276836,S0078
H0079,14050186,126,30,11.4,20,2.32,15.0,0.63,0.5,1.14,0.1,0.2319999999999999,3.0,1,2.2699999999999996,0.3319999999999999,3.0,0.5780346820809247,0.6045197740112994,S0079
H0080,14050186,134,28,8.0,20,2.32,15.0,0.67,0.4666666666666667,0.8,0.1,0.2319999999999999,3.0,1,1.9366666666666668,0.3319999999999999,3.0,0.4846526655896607,0.4646892655367232,S0080
H0081,14050194,57,0,3.7,17,1.69,9.0,0.285,0.0,0.37,0.085,0.1689999999999999,1.8,1,0.655,0.2539999999999999,1.8,0.713775874375446,0.7824858757062146,S0081
H0082,14050278,289,81,40.0,62,11.32,85.0,1.445,1.35,4.0,0.31,1.132,17.0,1,6.795,1.442,17.0,0.15740594994490792,0.0480225988700565,S0082
H0083,19130092,127,0,29.0,36,5.36,39.0,0.635,0.0,2.9,0.18,0.536,7.8,1,3.535,0.716,7.8,0.26184865147944486,0.1483050847457627,S0083
H0084,19130148,76,4,7.9,27,3.53,25.5,0.38,0.0666666666666666,0.79,0.135,0.353,5.1,1,1.2366666666666666,0.488,5.1,0.5718642775447961,0.596045197740113,S0084
H0085,19130149,162,54,21.6,34,5.12,37.0,0.81,0.9,2.16,0.17,0.512,7.4,1,3.87,0.682,7.4,0.23877745940783188,0.1172316384180791,S0085
H0086,19130149,150,15,23.2,32,5.07,35.0,0.75,0.25,2.32,0.16,0.507,7.0,1,3.32,0.667,7.0,0.2737476047084588,0.16101694915254236,S0086
H0087,19130179,44,0,6.8,12,1.39,10.5,0.22,0.0,0.6799999999999999,0.06,0.1389999999999999,2.1,1,0.8999999999999999,0.1989999999999999,2.1,0.5878894767783657,0.6186440677966102,S0087
H0088,19130202,188,15,45.0,51,6.48,51.0,0.94,0.25,4.5,0.255,0.648,10.2,1,5.6899999999999995,0.903,10.2,0.18148820326678766,0.07062146892655367,S0088
H0089,19130203,26,0,6.0,16,1.89,12.0,0.13,0.0,0.6,0.08,0.189,2.4,1,0.73,0.269,2.4,0.6844626967830254,0.7379943502824858,S0089
H0090,19130203,26,0,6.0,16,1.89,12.0,0.13,0.0,0.6,0.08,0.189,2.4,1,0.73,0.269,2.4,0.6844626967830254,0.7379943502824858,S0090
H0091,19130252,180,30,51.4,86,18.69,122.0,0.9,0.5,5.14,0.43,1.869,24.4,1,6.539999999999999,2.299,24.4,0.19080328181644726,0.07909604519774012,S0091
H0092,19130292,129,14,32.0,33,5.13,37.0,0.645,0.2333333333333333,3.2,0.165,0.513,7.4,1,4.078333333333333,0.678,7.4,0.23139220979560352,0.11299435028248588,S0092
H0093,19130767,27,0,3.0,2,0.39,2.5,0.135,0.0,0.3,0.01,0.039,0.5,1,0.435,0.049,0.5,0.9389671361502347,0.9661016949152542,S0093
H0094,19130798,113,0,34.6,42,5.4,42.0,0.565,0.0,3.46,0.21,0.54,8.4,1,4.025,0.75,8.4,0.23391812865497075,0.11440677966101695,S0094
H0095,19130798,188,37,34.6,42,5.4,42.0,0.94,0.6166666666666667,3.46,0.21,0.54,8.4,1,5.016666666666667,0.75,8.4,0.22813688212927755,0.10734463276836158,S0095
H0096,19130827,221,43,38.4,56,9.49,72.0,1.105,0.7166666666666667,3.84,0.28,0.949,14.4,1,5.661666666666667,1.229,14.4,0.18407166523499816,0.07344632768361582,S0096
H0097,19130855,72,1,7.6,27,4.13,31.0,0.36,0.0166666666666666,0.76,0.135,0.413,6.2,1,1.1366666666666667,0.548,6.2,0.6294586655476291,0.6666666666666666,S0097
H0098,19130855,126,15,14.8,27,4.14,31.0,0.63,0.25,1.48,0.135,0.414,6.2,1,2.36,0.5489999999999999,6.2,0.35574528637495556,0.2768361581920904,S0098
H0099,19130863,338,72,51.8,63,14.32,101.0,1.69,1.2,5.18,0.315,1.432,20.2,1,8.07,1.7469999999999999,20.2,0.13655605626109518,0.03389830508474576,S0099
H0100,19130871,220,37,20.9,59,10.27,78.5,1.1,0.6166666666666667,2.09,0.295,1.027,15.7,1,3.8066666666666666,1.3219999999999998,15.7,0.28697149416491297,0.17796610169491525,S0100
H0101,19130963,28,0,6.0,7,0.79,4.5,0.14,0.0,0.6,0.035,0.079,0.9,1,0.74,0.114,0.9,0.8620689655172413,0.9110169491525424,S0101
H0102,19131061,262,33,49.2,30,3.93,27.0,1.31,0.55,4.92,0.15,0.393,5.4,1,6.78,0.543,5.4,0.42016806722689076,0.365819209039548,S0102
H0103,19610035,72,0,2.6,14,1.39,5.5,0.36,0.0,0.26,0.07,0.1389999999999999,1.1,1,0.62,0.2089999999999999,1.1,0.7087172218284904,0.7725988700564972,S0103
H0104,19610035,73,3,2.6,14,1.39,5.5,0.365,0.05,0.26,0.07,0.1389999999999999,1.1,1,0.675,0.2089999999999999,1.1,0.7017543859649122,0.7598870056497176,S0104
H0105,19610114,82,0,10.6,26,2.67,16.2,0.41,0.0,1.06,0.13,0.267,3.24,1,1.47,0.397,3.24,0.482392667631452,0.461864406779661,S0105
H0106,19610182,75,0,6.2,39,3.97,25.0,0.375,0.0,0.62,0.195,0.397,5.0,1,0.995,0.5920000000000001,5.0,0.7127583749109052,0.7796610169491526,S0106
H0107,19650025,44,0,3.2,15,1.63,7.1,0.22,0.0,0.32,0.075,0.1629999999999999,1.42,1,0.54,0.23799999999999988,1.42,0.7680491551459293,0.8333333333333334,S0107
H0108,19650025,78,11,3.7,27,2.81,13.5,0.39,0.1833333333333333,0.37,0.135,0.281,2.7,1,0.9433333333333332,0.41600000000000004,2.7,0.6547359231776517,0.6991525423728814,S0108
H0109,19650026,89,4,7.4,28,2.87,14.0,0.445,0.0666666666666666,0.74,0.14,0.287,2.8,1,1.2516666666666665,0.427,2.8,0.5480453050785532,0.5621468926553672,S0109
H0110,19650041,96,0,11.0,38,3.78,16.9,0.48,0.0,1.1,0.19,0.378,3.38,1,1.58,0.5680000000000001,3.38,0.4970178926441352,0.4858757062146893,S0110
H0111,19650072,262,37,27.6,61,6.48,39.3,1.31,0.6166666666666667,2.76,0.305,0.648,7.859999999999999,1,4.6866666666666665,0.9530000000000001,7.859999999999999,0.23961661341853038,0.11864406779661017,S0111
H0112,19650138,75,1,4.4,34,3.25,14.0,0.375,0.0166666666666666,0.44,0.17,0.325,2.8,1,0.8316666666666666,0.495,2.8,0.748129675810474,0.8121468926553672,S0112
H0113,19650139,257,50,23.7,120,17.61,110.0,1.285,0.8333333333333334,2.37,0.6,1.761,22.0,1,4.488333333333333,2.3609999999999998,22.0,0.3197612449371136,0.22598870056497175,S0113
H0114,19650218,52,0,7.4,30,3.25,14.0,0.26,0.0,0.74,0.15,0.325,2.8,1,1.0,0.475,2.8,0.6557377049180328,0.7005649717514124,S0114
H0115,19650224,197,46,12.8,40,4.06,24.0,0.985,0.7666666666666667,1.28,0.2,0.4059999999999999,4.8,1,3.0316666666666667,0.6059999999999999,4.8,0.36122817579771227,0.2853107344632768,S0115
H0116,19650224,182,27,16.8,40,4.06,24.0,0.91,0.45,1.6800000000000002,0.2,0.4059999999999999,4.8,1,3.04,0.6059999999999999,4.8,0.3623188405797102,0.2867231638418079,S0116
H0117,19650242,165,25,5.1,33,3.4,18.5,0.825,0.4166666666666667,0.51,0.165,0.3399999999999999,3.7,1,1.7516666666666667,0.5049999999999999,3.7,0.4451038575667655,0.4060734463276836,S0117
H0118,19650281,61,1,0.0,36,4.24,18.0,0.305,0.0166666666666666,0.0,0.18,0.424,3.6,1,0.3216666666666666,0.604,3.6,0.7798284377436964,0.8432203389830508,S0118
H0119,19650295,137,12,14.0,64,9.19,64.0,0.685,0.2,1.4,0.32,0.919,12.8,1,2.285,1.239,12.8,0.48875855327468226,0.4717514124293785,S0119
H0120,19650327,127,0,8.0,23,2.31,14.7,0.635,0.0,0.8,0.115,0.231,2.94,1,1.435,0.34600000000000003,2.94,0.47869794159885115,0.4562146892655367,S0120
H0121,19650425,139,0,8.6,35,3.47,17.5,0.695,0.0,0.86,0.175,0.347,3.5,1,1.555,0.522,3.5,0.4918839153959666,0.4745762711864407,S0121
H0122,19650448,45,0,7.4,23,2.32,10.0,0.225,0.0,0.74,0.115,0.2319999999999999,2.0,1,0.965,0.3469999999999999,2.0,0.6180469715698392,0.655367231638418,S0122
H0123,19650575,111,13,4.8,31,3.17,17.5,0.555,0.2166666666666666,0.48,0.155,0.317,3.5,1,1.2516666666666665,0.472,3.5,0.5619029780857839,0.5805084745762712,S0123
H0124,19650631,146,0,18.4,59,6.03,28.0,0.73,0.0,1.84,0.295,0.603,5.6,1,2.5700000000000003,0.8979999999999999,5.6,0.3742514970059879,0.3022598870056497,S0124
H0125,19650656,239,12,19.8,69,6.91,33.0,1.195,0.2,1.98,0.345,0.6910000000000001,6.6,1,3.375,1.036,6.6,0.2994908655286014,0.20056497175141244,S0125
H0126,19730033,203,16,23.25,57,6.94,46.0,1.015,0.2666666666666666,2.325,0.285,0.6940000000000001,9.2,1,3.6066666666666665,0.9790000000000001,9.2,0.2756592851235873,0.1638418079096045,S0126
H0127,19730085,82,0,6.0,30,2.89,14.0,0.41,0.0,0.6,0.15,0.289,2.8,1,1.01,0.43899999999999995,2.8,0.6365372374283895,0.6779661016949152,S0127
H0128,19730092,138,1,20.0,53,5.23,31.0,0.69,0.0166666666666666,2.0,0.265,0.523,6.2,1,2.7066666666666666,0.788,6.2,0.3426222019186843,0.259180790960452,S0128
H0129,19730126,98,0,0.0,48,4.74,30.0,0.49,0.0,0.0,0.24,0.474,6.0,1,0.49,0.714,6.0,0.8169934640522876,0.867231638418079,S0129
H0130,20860315,15,0,0.0,10,1.23,7.0,0.075,0.0,0.0,0.05,0.123,1.4,1,0.075,0.173,1.4,0.9107468123861566,0.943502824858757,S0130
H0131,28000244,95,5,12.1,130,16.29,121.0,0.475,0.0833333333333333,1.21,0.65,1.629,24.2,1,1.768333333333333,2.279,24.2,0.6619593998234774,0.7076271186440678,S0131
H0132,28000306,61,0,4.1,17,1.95,13.5,0.305,0.0,0.41,0.085,0.195,2.7,0,0.715,1000000.0,2.7,0.3350083752093802,0.24858757062146894,S0132
H0133,28000344,46,0,2.2,6,0.66,3.2,0.23,0.0,0.22,0.03,0.066,0.64,1,0.45,0.096,0.64,0.8403361344537815,0.8870056497175142,S0133
H0134,28000344,51,0,2.2,6,0.66,3.2,0.255,0.0,0.22,0.03,0.066,0.64,1,0.475,0.096,0.64,0.8583690987124464,0.9081920903954802,S0134
H0135,28000366,36,0,0.0,6,0.75,2.5,0.18,0.0,0.0,0.03,0.075,0.5,1,0.18,0.105,0.5,0.9302325581395349,0.9590395480225988,S0135
H0136,28000366,34,0,3.0,6,0.75,2.5,0.17,0.0,0.3,0.03,0.075,0.5,1,0.47,0.105,0.5,0.970873786407767,0.9830508474576272,S0136
H0137,28000367,26,0,2.2,13,1.33,7.6,0.13,0.0,0.22,0.065,0.133,1.52,1,0.35,0.198,1.52,0.8680555555555556,0.9152542372881356,S0137
H0138,28000460,219,17,0.0,177,24.26,180.5,1.095,0.2833333333333333,0.0,0.885,2.426,36.1,1,1.3783333333333334,3.311,36.1,0.3409865878608775,0.2556497175141243,S0138
H0139,28000700,18,0,2.2,4,0.49,1.9,0.09,0.0,0.22,0.02,0.049,0.38,1,0.31,0.069,0.38,0.9345794392523364,0.9625706214689266,S0139
H0140,28000701,69,0,3.0,14,1.63,7.0,0.345,0.0,0.3,0.07,0.1629999999999999,1.4,1,0.645,0.2329999999999999,1.4,0.7082152974504249,0.7711864406779662,S0140
H0141,28000701,58,0,2.6,14,1.62,6.0,0.29,0.0,0.26,0.07,0.162,1.2,1,0.55,0.232,1.2,0.7587253414264036,0.8192090395480226,S0141
H0142,28240110,105,6,16.6,37,3.58,23.6,0.525,0.1,1.66,0.185,0.358,4.720000000000001,1,2.285,0.5429999999999999,4.720000000000001,0.36469730123997085,0.2909604519774011,S0142
H0143,28240110,39,0,6.2,21,1.99,12.6,0.195,0.0,0.62,0.105,0.199,2.52,1,0.815,0.304,2.52,0.6618133686300464,0.7062146892655368,S0143
H0144,28240111,29,0,6.0,8,0.37,2.4,0.145,0.0,0.6,0.04,0.037,0.48,1,0.745,0.077,0.48,0.7905138339920947,0.8502824858757062,S0144
H0145,28240134,83,7,8.0,33,4.7,35.0,0.415,0.1166666666666666,0.8,0.165,0.47,7.0,1,1.3316666666666666,0.635,7.0,0.5893909626719057,0.6214689265536724,S0145
