custom_id,respondent_id,ID,task_id,task_position,mode_id,alternative_name,choice,availability,travel_time,travel_cost,headway,seat_configuration,travel_time_hundredth,travel_cost_hundredth,GROUP,SURVEY,SP,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,CAR_AV
5,AI0001,1,AI0001_T05,5,3,CAR,0,1,52,48,0,0,0.52,0.48,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
6,AI0001,1,AI0001_T06,6,1,TRAIN,0,1,58,0,30,0,0.58,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
6,AI0001,1,AI0001_T06,6,2,SWISSMETRO,0,1,34,0,10,1,0.34,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
6,AI0001,1,AI0001_T06,6,3,CAR,0,1,32,60,0,0,0.32,0.6,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
7,AI0001,1,AI0001_T07,7,1,TRAIN,0,1,58,0,60,0,0.58,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
7,AI0001,1,AI0001_T07,7,2,SWISSMETRO,0,1,31,0,20,0,0.31,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
7,AI0001,1,AI0001_T07,7,3,CAR,0,1,32,48,0,0,0.32,0.48,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
8,AI0001,1,AI0001_T08,8,1,TRAIN,0,1,70,0,30,0,0.7,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
8,AI0001,1,AI0001_T08,8,2,SWISSMETRO,0,1,34,0,30,0,0.34,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
8,AI0001,1,AI0001_T08,8,3,CAR,0,1,32,78,0,0,0.32,0.78,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
9,AI0001,1,AI0001_T09,9,1,TRAIN,0,1,58,0,60,0,0.58,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
9,AI0001,1,AI0001_T09,9,2,SWISSMETRO,0,1,34,0,30,0,0.34,0.0,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
9,AI0001,1,AI0001_T09,9,3,CAR,0,1,40,60,0,0,0.4,0.6,2,0,1,3,0,6,1,1,5,1,2,1,2,22,1
10,AI0002,2,AI0002_T01,1,1,TRAIN,0,1,222,59,120,0,2.22,0.59,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
10,AI0002,2,AI0002_T01,1,2,SWISSMETRO,0,1,128,55,30,0,1.28,0.55,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
10,AI0002,2,AI0002_T01,1,3,CAR,0,1,180,95,0,0,1.8,0.95,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
11,AI0002,2,AI0002_T02,2,1,TRAIN,0,1,166,44,120,0,1.66,0.44,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
11,AI0002,2,AI0002_T02,2,2,SWISSMETRO,0,1,142,44,30,0,1.42,0.44,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
11,AI0002,2,AI0002_T02,2,3,CAR,0,1,234,76,0,0,2.34,0.76,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
12,AI0002,2,AI0002_T03,3,1,TRAIN,0,1,222,44,120,0,2.22,0.44,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
12,AI0002,2,AI0002_T03,3,2,SWISSMETRO,0,1,156,50,20,0,1.56,0.5,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
12,AI0002,2,AI0002_T03,3,3,CAR,0,1,144,76,0,0,1.44,0.76,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
13,AI0002,2,AI0002_T04,4,1,TRAIN,0,1,185,44,60,0,1.85,0.44,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
13,AI0002,2,AI0002_T04,4,2,SWISSMETRO,0,1,156,50,10,0,1.56,0.5,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
13,AI0002,2,AI0002_T04,4,3,CAR,0,1,234,124,0,0,2.34,1.24,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
14,AI0002,2,AI0002_T05,5,1,TRAIN,0,1,185,49,120,0,1.85,0.49,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
14,AI0002,2,AI0002_T05,5,2,SWISSMETRO,0,1,156,50,30,0,1.56,0.5,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
14,AI0002,2,AI0002_T05,5,3,CAR,0,1,144,124,0,0,1.44,1.24,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
15,AI0002,2,AI0002_T06,6,1,TRAIN,0,1,166,49,60,0,1.66,0.49,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
15,AI0002,2,AI0002_T06,6,2,SWISSMETRO,0,1,156,50,20,0,1.56,0.5,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
15,AI0002,2,AI0002_T06,6,3,CAR,0,1,234,95,0,0,2.34,0.95,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
16,AI0002,2,AI0002_T07,7,1,TRAIN,0,1,166,59,60,0,1.66,0.59,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
16,AI0002,2,AI0002_T07,7,2,SWISSMETRO,0,1,142,61,10,0,1.42,0.61,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
16,AI0002,2,AI0002_T07,7,3,CAR,0,1,180,76,0,0,1.8,0.76,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
17,AI0002,2,AI0002_T08,8,1,TRAIN,0,1,166,49,120,0,1.66,0.49,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
17,AI0002,2,AI0002_T08,8,2,SWISSMETRO,0,1,128,55,20,0,1.28,0.55,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
17,AI0002,2,AI0002_T08,8,3,CAR,0,1,180,124,0,0,1.8,1.24,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
18,AI0002,2,AI0002_T09,9,1,TRAIN,0,1,185,59,30,0,1.85,0.59,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
18,AI0002,2,AI0002_T09,9,2,SWISSMETRO,0,1,156,72,20,0,1.56,0.72,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
18,AI0002,2,AI0002_T09,9,3,CAR,0,1,180,124,0,0,1.8,1.24,3,1,1,3,0,1,2,1,2,1,2,0,17,2,1
19,AI0003,3,AI0003_T01,1,1,TRAIN,0,1,170,82,120,0,1.7,0.82,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
19,AI0003,3,AI0003_T01,1,2,SWISSMETRO,0,1,66,91,30,0,0.66,0.91,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
19,AI0003,3,AI0003_T01,1,3,CAR,0,1,110,75,0,0,1.1,0.75,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
20,AI0003,3,AI0003_T02,2,1,TRAIN,0,1,128,61,120,0,1.28,0.61,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
20,AI0003,3,AI0003_T02,2,2,SWISSMETRO,0,1,66,74,30,0,0.66,0.74,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
20,AI0003,3,AI0003_T02,2,3,CAR,0,1,143,60,0,0,1.43,0.6,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
21,AI0003,3,AI0003_T03,3,1,TRAIN,0,1,170,61,120,0,1.7,0.61,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
21,AI0003,3,AI0003_T03,3,2,SWISSMETRO,0,1,66,74,20,0,0.66,0.74,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
21,AI0003,3,AI0003_T03,3,3,CAR,0,1,88,60,0,0,0.88,0.6,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
22,AI0003,3,AI0003_T04,4,1,TRAIN,0,1,142,61,60,0,1.42,0.61,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
22,AI0003,3,AI0003_T04,4,2,SWISSMETRO,0,1,66,74,10,0,0.66,0.74,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
22,AI0003,3,AI0003_T04,4,3,CAR,0,1,143,98,0,0,1.43,0.98,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
23,AI0003,3,AI0003_T05,5,1,TRAIN,0,1,142,68,120,0,1.42,0.68,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
23,AI0003,3,AI0003_T05,5,2,SWISSMETRO,0,1,66,74,30,0,0.66,0.74,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
23,AI0003,3,AI0003_T05,5,3,CAR,0,1,88,98,0,0,0.88,0.98,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
24,AI0003,3,AI0003_T06,6,1,TRAIN,0,1,128,68,60,0,1.28,0.68,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
24,AI0003,3,AI0003_T06,6,2,SWISSMETRO,0,1,66,74,20,0,0.66,0.74,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
24,AI0003,3,AI0003_T06,6,3,CAR,0,1,143,75,0,0,1.43,0.75,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
25,AI0003,3,AI0003_T07,7,1,TRAIN,0,1,128,82,60,0,1.28,0.82,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
25,AI0003,3,AI0003_T07,7,2,SWISSMETRO,0,1,66,91,10,0,0.66,0.91,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
25,AI0003,3,AI0003_T07,7,3,CAR,0,1,110,60,0,0,1.1,0.6,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
26,AI0003,3,AI0003_T08,8,1,TRAIN,0,1,128,68,120,0,1.28,0.68,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
26,AI0003,3,AI0003_T08,8,2,SWISSMETRO,0,1,66,74,20,0,0.66,0.74,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
26,AI0003,3,AI0003_T08,8,3,CAR,0,1,110,98,0,0,1.1,0.98,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
27,AI0003,3,AI0003_T09,9,1,TRAIN,0,1,142,82,30,0,1.42,0.82,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
27,AI0003,3,AI0003_T09,9,2,SWISSMETRO,0,1,66,99,20,0,0.66,0.99,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
27,AI0003,3,AI0003_T09,9,3,CAR,0,1,110,98,0,0,1.1,0.98,3,1,1,3,1,1,2,1,4,1,3,0,2,1,1
28,AI0004,4,AI0004_T01,1,1,TRAIN,0,1,331,270,120,0,3.31,2.7,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
28,AI0004,4,AI0004_T01,1,2,SWISSMETRO,0,1,99,284,30,0,0.99,2.84,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
28,AI0004,4,AI0004_T01,1,3,CAR,0,1,230,155,0,0,2.3,1.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
29,AI0004,4,AI0004_T02,2,1,TRAIN,0,1,248,202,120,0,2.48,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
29,AI0004,4,AI0004_T02,2,2,SWISSMETRO,0,1,110,255,30,0,1.1,2.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
29,AI0004,4,AI0004_T02,2,3,CAR,0,1,299,124,0,0,2.99,1.24,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
30,AI0004,4,AI0004_T03,3,1,TRAIN,0,1,331,202,120,0,3.31,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
30,AI0004,4,AI0004_T03,3,2,SWISSMETRO,0,1,121,255,20,0,1.21,2.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
30,AI0004,4,AI0004_T03,3,3,CAR,0,1,184,124,0,0,1.84,1.24,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
31,AI0004,4,AI0004_T04,4,1,TRAIN,0,1,276,202,60,0,2.76,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
31,AI0004,4,AI0004_T04,4,2,SWISSMETRO,0,1,121,255,10,0,1.21,2.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
31,AI0004,4,AI0004_T04,4,3,CAR,0,1,299,202,0,0,2.99,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
32,AI0004,4,AI0004_T05,5,1,TRAIN,0,1,276,225,120,0,2.76,2.25,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
32,AI0004,4,AI0004_T05,5,2,SWISSMETRO,0,1,121,255,30,0,1.21,2.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
32,AI0004,4,AI0004_T05,5,3,CAR,0,1,184,202,0,0,1.84,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
33,AI0004,4,AI0004_T06,6,1,TRAIN,0,1,248,225,60,0,2.48,2.25,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
33,AI0004,4,AI0004_T06,6,2,SWISSMETRO,0,1,121,255,20,0,1.21,2.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
33,AI0004,4,AI0004_T06,6,3,CAR,0,1,299,155,0,0,2.99,1.55,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
34,AI0004,4,AI0004_T07,7,1,TRAIN,0,1,248,270,60,0,2.48,2.7,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
34,AI0004,4,AI0004_T07,7,2,SWISSMETRO,0,1,110,312,10,0,1.1,3.12,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
34,AI0004,4,AI0004_T07,7,3,CAR,0,1,230,124,0,0,2.3,1.24,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
35,AI0004,4,AI0004_T08,8,1,TRAIN,0,1,248,225,120,0,2.48,2.25,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
35,AI0004,4,AI0004_T08,8,2,SWISSMETRO,0,1,99,284,20,0,0.99,2.84,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
35,AI0004,4,AI0004_T08,8,3,CAR,0,1,230,202,0,0,2.3,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
36,AI0004,4,AI0004_T09,9,1,TRAIN,0,1,276,270,30,0,2.76,2.7,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
36,AI0004,4,AI0004_T09,9,2,SWISSMETRO,0,1,121,369,20,0,1.21,3.69,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
36,AI0004,4,AI0004_T09,9,3,CAR,0,1,230,202,0,0,2.3,2.02,3,1,1,3,1,1,2,0,2,0,3,0,3,22,1
37,AI0005,5,AI0005_T01,1,1,TRAIN,0,1,134,22,30,0,1.34,0.22,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
37,AI0005,5,AI0005_T01,1,2,SWISSMETRO,0,1,65,26,10,0,0.65,0.26,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
37,AI0005,5,AI0005_T01,1,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
38,AI0005,5,AI0005_T02,2,1,TRAIN,0,1,134,22,120,0,1.34,0.22,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
38,AI0005,5,AI0005_T02,2,2,SWISSMETRO,0,1,59,35,10,1,0.59,0.35,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
38,AI0005,5,AI0005_T02,2,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
39,AI0005,5,AI0005_T03,3,1,TRAIN,0,1,134,20,30,0,1.34,0.2,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
39,AI0005,5,AI0005_T03,3,2,SWISSMETRO,0,1,59,35,20,0,0.59,0.35,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
39,AI0005,5,AI0005_T03,3,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
40,AI0005,5,AI0005_T04,4,1,TRAIN,0,1,101,20,60,0,1.01,0.2,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
40,AI0005,5,AI0005_T04,4,2,SWISSMETRO,0,1,59,35,30,1,0.59,0.35,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
40,AI0005,5,AI0005_T04,4,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
41,AI0005,5,AI0005_T05,5,1,TRAIN,0,1,112,22,30,0,1.12,0.22,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
41,AI0005,5,AI0005_T05,5,2,SWISSMETRO,0,1,59,29,30,1,0.59,0.29,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
41,AI0005,5,AI0005_T05,5,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
42,AI0005,5,AI0005_T06,6,1,TRAIN,0,1,112,20,30,0,1.12,0.2,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
42,AI0005,5,AI0005_T06,6,2,SWISSMETRO,0,1,59,26,10,1,0.59,0.26,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
42,AI0005,5,AI0005_T06,6,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
43,AI0005,5,AI0005_T07,7,1,TRAIN,0,1,112,26,60,0,1.12,0.26,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
43,AI0005,5,AI0005_T07,7,2,SWISSMETRO,0,1,59,26,20,0,0.59,0.26,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
43,AI0005,5,AI0005_T07,7,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
44,AI0005,5,AI0005_T08,8,1,TRAIN,0,1,134,26,30,0,1.34,0.26,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
44,AI0005,5,AI0005_T08,8,2,SWISSMETRO,0,1,59,29,30,0,0.59,0.29,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
44,AI0005,5,AI0005_T08,8,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
45,AI0005,5,AI0005_T09,9,1,TRAIN,0,1,112,22,60,0,1.12,0.22,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
45,AI0005,5,AI0005_T09,9,2,SWISSMETRO,0,1,59,35,30,0,0.59,0.35,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
45,AI0005,5,AI0005_T09,9,3,CAR,0,0,0,0,0,0,0.0,0.0,2,0,1,3,0,1,1,3,4,1,1,0,25,22,0
46,AI0006,6,AI0006_T01,1,1,TRAIN,0,1,110,89,120,0,1.1,0.89,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
46,AI0006,6,AI0006_T01,1,2,SWISSMETRO,0,1,39,106,30,0,0.39,1.06,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
46,AI0006,6,AI0006_T01,1,3,CAR,0,1,60,30,0,0,0.6,0.3,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
47,AI0006,6,AI0006_T02,2,1,TRAIN,0,1,83,67,120,0,0.83,0.67,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
47,AI0006,6,AI0006_T02,2,2,SWISSMETRO,0,1,39,95,30,0,0.39,0.95,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
47,AI0006,6,AI0006_T02,2,3,CAR,0,1,78,24,0,0,0.78,0.24,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
48,AI0006,6,AI0006_T03,3,1,TRAIN,0,1,110,67,120,0,1.1,0.67,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
48,AI0006,6,AI0006_T03,3,2,SWISSMETRO,0,1,43,95,20,0,0.43,0.95,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
48,AI0006,6,AI0006_T03,3,3,CAR,0,1,48,24,0,0,0.48,0.24,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
49,AI0006,6,AI0006_T04,4,1,TRAIN,0,1,92,67,60,0,0.92,0.67,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
49,AI0006,6,AI0006_T04,4,2,SWISSMETRO,0,1,43,95,10,0,0.43,0.95,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
49,AI0006,6,AI0006_T04,4,3,CAR,0,1,78,39,0,0,0.78,0.39,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
50,AI0006,6,AI0006_T05,5,1,TRAIN,0,1,92,74,120,0,0.92,0.74,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
50,AI0006,6,AI0006_T05,5,2,SWISSMETRO,0,1,43,95,30,0,0.43,0.95,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
50,AI0006,6,AI0006_T05,5,3,CAR,0,1,48,39,0,0,0.48,0.39,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
51,AI0006,6,AI0006_T06,6,1,TRAIN,0,1,83,74,60,0,0.83,0.74,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
51,AI0006,6,AI0006_T06,6,2,SWISSMETRO,0,1,43,95,20,0,0.43,0.95,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
51,AI0006,6,AI0006_T06,6,3,CAR,0,1,78,30,0,0,0.78,0.3,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
52,AI0006,6,AI0006_T07,7,1,TRAIN,0,1,83,89,60,0,0.83,0.89,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
52,AI0006,6,AI0006_T07,7,2,SWISSMETRO,0,1,39,117,10,0,0.39,1.17,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
52,AI0006,6,AI0006_T07,7,3,CAR,0,1,60,24,0,0,0.6,0.24,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
53,AI0006,6,AI0006_T08,8,1,TRAIN,0,1,83,74,120,0,0.83,0.74,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
53,AI0006,6,AI0006_T08,8,2,SWISSMETRO,0,1,39,106,20,0,0.39,1.06,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
53,AI0006,6,AI0006_T08,8,3,CAR,0,1,60,39,0,0,0.6,0.39,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
54,AI0006,6,AI0006_T09,9,1,TRAIN,0,1,92,89,30,0,0.92,0.89,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
54,AI0006,6,AI0006_T09,9,2,SWISSMETRO,0,1,43,138,20,0,0.43,1.38,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
54,AI0006,6,AI0006_T09,9,3,CAR,0,1,60,39,0,0,0.6,0.39,3,1,1,3,0,3,0,0,2,1,0,0,2,1,1
55,AI0007,7,AI0007_T01,1,1,TRAIN,0,1,265,106,30,0,2.65,1.06,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
55,AI0007,7,AI0007_T01,1,2,SWISSMETRO,0,1,119,130,10,0,1.19,1.3,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
55,AI0007,7,AI0007_T01,1,3,CAR,0,1,150,104,0,0,1.5,1.04,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
56,AI0007,7,AI0007_T02,2,1,TRAIN,0,1,265,106,120,0,2.65,1.06,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
56,AI0007,7,AI0007_T02,2,2,SWISSMETRO,0,1,108,143,10,0,1.08,1.43,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
56,AI0007,7,AI0007_T02,2,3,CAR,0,1,195,169,0,0,1.95,1.69,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
57,AI0007,7,AI0007_T03,3,1,TRAIN,0,1,265,95,30,0,2.65,0.95,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
57,AI0007,7,AI0007_T03,3,2,SWISSMETRO,0,1,97,143,20,0,0.97,1.43,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
57,AI0007,7,AI0007_T03,3,3,CAR,0,1,195,130,0,0,1.95,1.3,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
58,AI0007,7,AI0007_T04,4,1,TRAIN,0,1,199,95,60,0,1.99,0.95,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
58,AI0007,7,AI0007_T04,4,2,SWISSMETRO,0,1,97,143,30,0,0.97,1.43,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
58,AI0007,7,AI0007_T04,4,3,CAR,0,1,120,169,0,0,1.2,1.69,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
59,AI0007,7,AI0007_T05,5,1,TRAIN,0,1,221,106,30,0,2.21,1.06,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
59,AI0007,7,AI0007_T05,5,2,SWISSMETRO,0,1,97,130,30,0,0.97,1.3,3,1,1,3,1,1,2,0,3,1,3,0,2,1,1
