human_respondent_id,human_id,normalized_weight,age,sex_text,age_text,CalculatedIncome,income_text,high_education,low_education,top_manager,employees,artisans,age_30_less,ScaledIncome,car_oriented_parents,city_center_as_kid,childSuburb,NbCar,NbBicy,NbHousehold,NbChild,work_trip,other_trip,trip_purpose_text,education_text,CAR_AVAILABLE,car_availability_text,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,respondent_id,Envir01,Envir05,LifSty01,LifSty07,Mobil05,Mobil12,choice_code,choice_label,chosen_alternative_name,Choice
H0022,10360414,0.2545934244605354,44,male,44 years old,7000,around CHF 7000 per month,0,0,0,1,0,0,7.0,0,0,1,1,5,5,3,1,0,a work trip,not high education,1,car is available for this trip,102,18,9.6,24,3.73,27.0,0.51,0.12,0.3,0.96,0.373,5.4,AI0022,4,4,2,3,3,5,1,B,CAR,1
H0023,10360460,2.256576028779217,27,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,2,1,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,66,20,9.6,16,2.41,17.0,0.33,0.08,0.3333333333333333,0.96,0.241,3.4,AI0023,4,3,2,2,3,5,1,B,CAR,1
H0024,10360464,5.694231137832636,17,male,30 or younger,9000,around CHF 9000 per month,0,1,0,1,0,1,9.0,1,0,0,1,4,4,1,1,0,a work trip,not high education,0,car is not available for this trip,91,11,0.0,22,2.95,22.5,0.455,0.11,0.1833333333333333,0.0,0.295,4.5,AI0024,4,5,2,2,3,1,0,A,PT,0
H0025,10360518,0.7944811628173415,28,female,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,1,2,2,2,0,1,0,a work trip,high education,1,car is available for this trip,104,11,11.0,35,4.63,31.0,0.52,0.175,0.1833333333333333,1.1,0.4629999999999999,6.2,AI0025,4,5,5,5,5,5,1,B,CAR,1
H0026,10360519,0.6019450605361366,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,1,0,a work trip,high education,1,car is available for this trip,279,38,46.2,117,15.35,109.0,1.395,0.585,0.6333333333333333,4.62,1.535,21.8,AI0026,4,5,3,3,5,4,1,B,CAR,1
H0027,10360519,0.6019450605361366,29,male,30 or younger,15000,around CHF 15000 per month,1,0,0,1,0,1,15.0,1,0,0,2,2,2,0,0,1,a non-work trip,high education,1,car is available for this trip,127,58,12.4,31,3.48,24.0,0.635,0.155,0.9666666666666668,1.24,0.348,4.8,AI0027,4,5,5,5,5,5,1,B,CAR,1
H0028,10360526,9.027458897812208,31,male,31 years old,5000,around CHF 5000 per month,0,1,0,1,0,0,5.0,1,0,1,1,3,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,151,10,0.0,44,5.89,38.5,0.755,0.22,0.1666666666666666,0.0,0.589,7.7,AI0028,4,3,2,3,3,5,1,B,CAR,1
H0029,10360533,0.5414274486172608,39,female,39 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,0,0,0,2,3,3,1,0,1,a non-work trip,not high education,1,car is available for this trip,251,59,65.8,76,15.96,119.0,1.255,0.38,0.9833333333333332,6.58,1.596,23.8,AI0029,4,4,2,3,3,5,1,B,CAR,1
H0030,10360536,0.6019450605361366,39,male,39 years old,7000,around CHF 7000 per month,1,0,0,0,0,0,7.0,1,0,1,1,1,0,0,0,1,a non-work trip,high education,1,car is available for this trip,166,5,12.6,41,4.34,30.0,0.83,0.205,0.0833333333333333,1.26,0.434,6.0,AI0030,4,5,5,5,3,5,1,B,CAR,1
H0031,10360566,0.954424398357919,52,male,52 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,0,0,0,1,1,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,141,8,14.4,36,4.87,32.0,0.705,0.18,0.1333333333333333,1.44,0.487,6.4,AI0031,4,3,3,3,3,3,1,B,CAR,1
H0032,10360624,1.423375818700105,19,male,30 or younger,-1,unknown income,0,1,0,0,0,1,-0.001,1,0,0,2,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,90,8,5.5,35,4.73,31.0,0.45,0.175,0.1333333333333333,0.55,0.473,6.2,AI0032,4,3,2,2,3,2,1,B,CAR,1
H0033,10540009,0.8584724543995766,44,female,44 years old,7000,around CHF 7000 per month,0,1,0,0,0,0,7.0,1,0,1,2,3,4,2,1,0,a work trip,not high education,1,car is available for this trip,222,34,49.6,55,9.06,69.0,1.11,0.275,0.5666666666666667,4.96,0.906,13.8,AI0033,4,4,2,3,3,5,1,B,CAR,1
H0034,10540031,0.8584724543995766,45,female,45 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,306,45,20.2,92,10.89,82.5,1.53,0.46,0.75,2.02,1.089,16.5,AI0034,4,3,2,3,3,5,1,B,CAR,1
H0035,10540046,0.2545934244605354,45,male,45 years old,5000,around CHF 5000 per month,0,0,0,0,0,0,5.0,1,0,1,1,1,1,-1,0,1,a non-work trip,not high education,1,car is available for this trip,120,4,6.1,39,3.85,22.5,0.6,0.195,0.0666666666666666,0.61,0.385,4.5,AI0035,4,3,2,2,3,5,1,B,CAR,1
H0036,10540130,0.954424398357919,40,male,40 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,1,2,5,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,120,4,4.5,40,3.96,23.5,0.6,0.2,0.0666666666666666,0.45,0.396,4.7,AI0036,4,3,2,3,3,5,1,B,CAR,1
H0037,10540130,0.954424398357919,40,male,40 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,1,2,5,4,2,1,0,a work trip,not high education,1,car is available for this trip,120,2,5.5,36,3.64,24.0,0.6,0.18,0.0333333333333333,0.55,0.364,4.8,AI0037,4,4,2,3,3,5,1,B,CAR,1
H0038,10540178,0.954424398357919,59,male,59 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,0,0,1,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,186,19,8.2,34,3.94,28.0,0.93,0.17,0.3166666666666666,0.82,0.394,5.6,AI0038,4,3,2,3,3,4,1,B,CAR,1
H0039,10540184,0.2545934244605354,63,male,63 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,-1,2,-1,0,1,a non-work trip,high education,1,car is available for this trip,110,8,11.0,13,1.23,6.0,0.55,0.065,0.1333333333333333,1.1,0.123,1.2,AI0039,4,5,5,5,3,5,1,B,CAR,1
H0040,10540184,0.2545934244605354,63,male,63 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,-1,2,-1,1,0,a work trip,high education,1,car is available for this trip,111,20,11.0,13,1.23,6.0,0.555,0.065,0.3333333333333333,1.1,0.123,1.2,AI0040,4,5,5,5,3,5,1,B,CAR,1
H0041,10540187,0.954424398357919,45,male,45 years old,15000,around CHF 15000 per month,0,1,0,0,0,0,15.0,1,0,1,1,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,96,5,0.0,34,3.2,18.0,0.48,0.17,0.0833333333333333,0.0,0.32,3.6,AI0041,4,3,3,3,3,4,1,B,CAR,1
H0042,10540199,0.5414274486172608,22,female,30 or younger,5000,around CHF 5000 per month,0,0,0,0,0,1,5.0,1,0,0,1,2,3,-1,1,0,a work trip,not high education,1,car is available for this trip,119,11,5.5,38,4.57,32.0,0.595,0.19,0.1833333333333333,0.55,0.457,6.4,AI0042,4,3,2,3,3,2,1,B,CAR,1
H0043,10540250,0.6019450605361366,25,male,30 or younger,7000,around CHF 7000 per month,0,0,0,1,0,1,7.0,1,1,0,1,2,2,-1,1,0,a work trip,not high education,1,car is available for this trip,46,8,0.0,35,3.67,25.0,0.23,0.175,0.1333333333333333,0.0,0.367,5.0,AI0043,4,5,2,2,3,3,1,B,CAR,1
H0044,10540260,0.5414274486172608,20,female,30 or younger,5000,around CHF 5000 per month,0,0,0,0,0,1,5.0,1,0,0,1,3,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,123,11,0.0,41,4.08,23.5,0.615,0.205,0.1833333333333333,0.0,0.408,4.7,AI0044,4,3,2,2,3,2,1,B,CAR,1
H0045,10540266,0.3360277669782562,41,female,41 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,0,2,4,4,2,1,0,a work trip,high education,1,car is available for this trip,234,49,7.9,40,4.18,28.8,1.17,0.2,0.8166666666666667,0.79,0.418,5.76,AI0045,4,5,5,5,5,5,1,B,CAR,1
H0046,10540297,0.3735873657560173,44,male,44 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,1,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,270,50,43.3,171,28.12,208.0,1.35,0.855,0.8333333333333334,4.33,2.8120000000000003,41.6,AI0046,4,4,4,4,4,4,1,B,CAR,1
H0047,10540298,0.7944811628173415,33,female,33 years old,15000,around CHF 15000 per month,1,0,0,1,0,0,15.0,1,0,1,1,0,2,-1,0,1,a non-work trip,high education,0,car is not available for this trip,167,17,12.5,63,9.76,68.0,0.835,0.315,0.2833333333333333,1.25,0.976,13.6,AI0047,4,5,3,5,5,2,0,A,PT,0
H0048,10540351,0.954424398357919,51,male,51 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,1,1,0,2,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,470,31,61.2,180,29.12,206.0,2.35,0.9,0.5166666666666667,6.12,2.912,41.2,AI0048,4,4,2,3,3,5,1,B,CAR,1
H0049,10540354,0.2290902236010023,43,female,43 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,0,1,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,76,7,3.8,14,1.53,10.9,0.38,0.07,0.1166666666666666,0.38,0.153,2.18,AI0049,4,3,3,3,3,4,1,B,CAR,1
H0050,10540395,0.2545934244605354,47,male,47 years old,15000,around CHF 15000 per month,1,0,0,1,0,0,15.0,1,1,0,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,140,18,13.3,66,6.71,37.0,0.7,0.33,0.3,1.33,0.671,7.4,AI0050,4,5,5,5,3,5,1,B,CAR,1
H0051,10540396,0.2290902236010023,40,female,40 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,0,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,111,0,10.4,16,1.82,11.5,0.555,0.08,0.0,1.04,0.182,2.3,AI0051,4,5,5,5,3,5,1,B,CAR,1
H0052,10540515,0.7944811628173415,29,female,30 or younger,7000,around CHF 7000 per month,1,0,0,1,0,1,7.0,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,207,27,24.8,55,5.98,44.0,1.035,0.275,0.45,2.48,0.5980000000000001,8.8,AI0052,4,5,5,5,5,5,1,B,CAR,1
H0053,10540517,9.027458897812208,39,male,39 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,0,0,1,2,4,3,1,1,0,a work trip,not high education,1,car is available for this trip,117,0,8.8,33,3.48,23.0,0.585,0.165,0.0,0.8800000000000001,0.348,4.6,AI0053,4,4,2,3,3,5,1,B,CAR,1
H0054,10540518,0.2290902236010023,41,female,41 years old,7000,around CHF 7000 per month,1,0,0,1,0,0,7.0,1,0,0,2,4,3,1,1,0,a work trip,high education,1,car is available for this trip,96,3,11.0,32,3.41,18.0,0.48,0.16,0.05,1.1,0.341,3.6,AI0054,4,5,5,5,3,4,1,B,CAR,1
H0055,10540531,0.1999290444257219,74,male,65 or older,3250,around CHF 3250 per month,1,0,0,0,0,0,3.25,1,0,0,2,0,2,0,0,1,a non-work trip,high education,1,car is available for this trip,166,5,12.2,44,4.47,28.5,0.83,0.22,0.0833333333333333,1.22,0.4469999999999999,5.7,AI0055,4,5,5,5,3,5,1,B,CAR,1
H0056,10540548,0.954424398357919,48,male,48 years old,9000,around CHF 9000 per month,0,1,1,0,0,0,9.0,1,1,0,1,3,3,0,1,0,a work trip,not high education,1,car is available for this trip,110,0,11.0,35,3.4,19.0,0.55,0.175,0.0,1.1,0.3399999999999999,3.8,AI0056,4,3,2,2,3,5,1,B,CAR,1
H0057,10540559,0.2545934244605354,63,male,63 years old,7000,around CHF 7000 per month,0,0,1,0,0,0,7.0,0,1,0,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,46,0,5.6,5,0.72,4.1,0.23,0.025,0.0,0.5599999999999999,0.072,0.82,AI0057,4,4,2,3,3,2,1,B,CAR,1
H0058,10540559,0.2545934244605354,63,male,63 years old,7000,around CHF 7000 per month,0,0,1,0,0,0,7.0,0,1,0,2,2,2,-1,0,1,a non-work trip,not high education,1,car is available for this trip,265,37,19.2,45,6.31,42.0,1.325,0.225,0.6166666666666667,1.92,0.631,8.4,AI0058,4,3,2,3,3,4,1,B,CAR,1
H0059,10540563,0.3360277669782562,46,female,46 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,8,5,3,0,1,a non-work trip,high education,1,car is available for this trip,461,41,79.4,117,17.77,134.0,2.305,0.585,0.6833333333333333,7.94,1.777,26.8,AI0059,4,5,5,5,3,5,1,B,CAR,1
H0060,10540672,2.029711386372872,34,female,34 years old,9000,around CHF 9000 per month,0,1,0,0,0,0,9.0,1,0,0,2,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,84,12,9.6,31,3.24,23.0,0.42,0.155,0.2,0.96,0.324,4.6,AI0060,4,3,2,2,3,5,1,B,CAR,1
H0061,10540689,0.6019450605361366,38,male,38 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,141,17,6.0,28,2.92,21.0,0.705,0.14,0.2833333333333333,0.6,0.292,4.2,AI0061,4,3,2,3,3,5,1,B,CAR,1
H0062,10540689,0.6019450605361366,38,male,38 years old,15000,around CHF 15000 per month,0,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,118,15,6.0,28,2.92,21.0,0.59,0.14,0.25,0.6,0.292,4.2,AI0062,4,3,2,3,3,5,1,B,CAR,1
H0063,10540691,0.3360277669782562,43,female,43 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,135,37,13.2,20,2.19,15.6,0.675,0.1,0.6166666666666667,1.3199999999999998,0.219,3.12,AI0063,4,5,5,5,3,5,1,B,CAR,1
H0064,10540691,0.3360277669782562,43,female,43 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,4,4,2,0,1,a non-work trip,high education,1,car is available for this trip,68,0,5.2,7,0.79,5.5,0.34,0.035,0.0,0.52,0.079,1.1,AI0064,4,5,4,5,3,5,1,B,CAR,1
H0065,10540774,0.3735873657560173,57,male,57 years old,15000,around CHF 15000 per month,1,0,0,0,0,0,15.0,1,0,1,2,3,3,0,0,1,a non-work trip,high education,1,car is available for this trip,232,9,50.0,77,10.15,72.0,1.16,0.385,0.15,5.0,1.015,14.4,AI0065,4,5,5,5,3,5,1,B,CAR,1
H0066,10540804,0.8832827856419051,24,male,30 or younger,10807,around CHF 10807 per month,1,0,0,0,0,1,10.807,1,0,1,-1,-1,-1,-1,0,1,a non-work trip,high education,1,car is available for this trip,141,10,7.0,44,4.64,31.5,0.705,0.22,0.1666666666666666,0.7,0.4639999999999999,6.3,AI0066,4,5,5,5,3,5,1,B,CAR,1
H0067,10541086,0.8584724543995766,41,female,41 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,0,0,1,1,4,4,2,0,1,a non-work trip,not high education,1,car is available for this trip,245,15,14.2,71,9.37,66.0,1.225,0.355,0.25,1.42,0.937,13.2,AI0067,4,3,2,3,3,2,1,B,CAR,1
H0068,10541086,0.8584724543995766,41,female,41 years old,9000,around CHF 9000 per month,0,1,0,0,1,0,9.0,0,0,1,1,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,85,3,5.5,35,3.54,24.0,0.425,0.175,0.05,0.55,0.354,4.8,AI0068,4,4,3,3,3,4,1,B,CAR,1
H0069,10980079,0.2545934244605354,40,male,40 years old,9000,around CHF 9000 per month,1,0,0,0,0,0,9.0,1,0,1,2,7,5,3,0,1,a non-work trip,high education,1,car is available for this trip,154,0,4.8,30,3.24,19.6,0.77,0.15,0.0,0.48,0.324,3.92,AI0069,4,5,5,5,3,5,1,B,CAR,1
H0070,11460027,0.8584724543995766,52,female,52 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,0,1,0,1,2,2,0,0,1,a non-work trip,not high education,0,car is not available for this trip,128,10,0.0,46,5.4,33.1,0.64,0.23,0.1666666666666666,0.0,0.54,6.62,AI0070,4,5,3,3,3,2,0,A,PT,0
H0071,11460060,0.3735873657560173,47,male,47 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,0,0,2,6,6,4,0,1,a non-work trip,high education,1,car is available for this trip,239,30,22.7,70,9.46,70.5,1.195,0.35,0.5,2.27,0.946,14.1,AI0071,4,5,5,5,3,5,1,B,CAR,1
H0072,11460070,0.2290902236010023,56,female,56 years old,15000,around CHF 15000 per month,1,0,1,0,0,0,15.0,1,1,0,2,2,1,0,1,0,a work trip,high education,1,car is available for this trip,155,33,22.6,47,5.93,43.0,0.775,0.235,0.55,2.26,0.593,8.6,AI0072,4,5,5,5,5,5,1,B,CAR,1
H0073,11460082,0.2290902236010023,58,female,58 years old,9000,around CHF 9000 per month,0,0,0,1,0,0,9.0,1,1,0,2,0,2,0,1,0,a work trip,not high education,1,car is available for this trip,206,32,26.0,71,9.56,71.0,1.03,0.355,0.5333333333333333,2.6,0.956,14.2,AI0073,4,5,2,2,3,3,1,B,CAR,1
H0074,14050001,0.8584724543995766,41,female,41 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,5,2,1,0,a work trip,not high education,1,car is available for this trip,70,0,3.4,10,1.02,5.0,0.35,0.05,0.0,0.3399999999999999,0.102,1.0,AI0074,4,4,2,3,3,5,1,B,CAR,1
H0075,14050001,0.8584724543995766,41,female,41 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,5,2,1,0,a work trip,not high education,1,car is available for this trip,35,0,3.4,9,1.0,5.0,0.175,0.045,0.0,0.3399999999999999,0.1,1.0,AI0075,4,4,4,4,4,4,1,B,CAR,1
H0076,14050047,2.256576028779217,31,male,31 years old,15000,around CHF 15000 per month,0,1,0,1,0,0,15.0,1,0,1,3,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,183,53,17.2,69,12.93,96.0,0.915,0.345,0.8833333333333333,1.72,1.293,19.2,AI0076,4,3,2,3,3,5,1,B,CAR,1
H0077,14050075,0.954424398357919,44,male,44 years old,7000,around CHF 7000 per month,0,1,0,1,0,0,7.0,1,0,0,2,4,4,2,1,0,a work trip,not high education,1,car is available for this trip,145,20,0.0,54,9.84,76.0,0.725,0.27,0.3333333333333333,0.0,0.984,15.2,AI0077,4,3,2,3,3,5,1,B,CAR,1
H0078,14050133,2.256576028779217,37,male,37 years old,15000,around CHF 15000 per month,0,1,1,0,0,0,15.0,1,1,0,1,2,2,0,0,1,a non-work trip,not high education,1,car is available for this trip,284,74,0.0,95,17.77,128.0,1.42,0.475,1.2333333333333334,0.0,1.777,25.6,AI0078,4,5,2,3,5,5,1,B,CAR,1
H0079,14050186,2.256576028779217,37,male,37 years old,9000,around CHF 9000 per month,0,1,0,1,0,0,9.0,1,1,0,2,9,7,5,0,1,a non-work trip,not high education,1,car is available for this trip,126,30,11.4,20,2.32,15.0,0.63,0.1,0.5,1.14,0.2319999999999999,3.0,AI0079,4,3,2,2,3,5,1,B,CAR,1
