ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight,normalized_weight,human_id,CAR_AVAILABLE,PT_AVAILABLE,SLOW_AVAILABLE,ScaledIncome,TimePT_scaled,TimeCar_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,high_education,low_education,top_manager,employees,artisans,age_30_less,car_oriented_parents,city_center_as_kid,childSuburb,work_trip,other_trip
10360024,1,5,200,80,12,30.4,2.33,26,5,3,2,1,5,3,2,1,1,1,5,0,1,1,5.0,15,5,1,1959,2,1,1,1,9000,4,1,2,2,2,2,1,15.2,3.34,4,4,2,1,5,5,4,1,3,3,4,2,5,1,5,2,4,2,5,2,2,2,4,1,5,3,4,1,5,2,1,4,4,2,4,4,3,2,4,4,4,3,2,4,4,4,2,4,2,4,2,5,4,4,2,4,2,1,4,1,5,3,3,2,2,3,1,24.5,1,108,3,40,1,51,0.000109132,0.2545934244605354,10360024,1,1,1,9.0,1.0,0.13,0.2,1.52,0.3339999999999999,4.9,0,0,1,0,0,0,1,0,0,0,1
10360113,1,5,145,54,19,14.0,1.26,14,4,0,3,2,3,0,3,3,1,1,4,1,1,1,5.0,5,5,1,1957,1,3,1,1,9000,3,2,2,2,2,2,1,14.0,1.81,1,4,4,3,3,4,6,6,2,4,3,4,4,2,3,4,4,2,4,2,3,4,4,4,6,6,4,2,6,6,2,6,6,4,4,2,4,2,4,4,2,4,4,4,4,2,2,4,2,3,2,3,4,2,-1,4,2,1,4,1,3,3,2,2,3,3,1,14.2,1,72,1,15,1,53,0.000409116,0.954424398357919,10360113,1,1,1,9.0,0.725,0.07,0.3166666666666666,1.4,0.181,2.84,0,1,1,0,0,0,0,0,1,0,1
10360139,1,4,135,72,11,15.6,3.11,33,4,2,2,1,3,2,1,3,1,2,3,1,1,1,5.0,7,6,2,1964,1,3,2,6,15000,5,1,2,2,2,1,1,7.8,4.46,2,4,3,2,4,3,5,4,1,3,1,5,4,1,3,4,5,1,5,4,4,4,5,5,3,6,2,2,5,1,1,1,6,3,4,4,3,1,2,5,1,4,3,4,4,2,1,5,1,3,2,4,4,4,2,4,2,1,4,1,1,4,1,4,4,3,1,31.0,1,52,4,61,1,46,9.82e-05,0.2290902236010023,10360139,1,1,1,15.0,0.675,0.165,0.1833333333333333,0.78,0.446,6.2,0,0,0,1,0,0,0,1,0,0,1
10360193,1,5,159,98,11,43.2,3.22,28,2,0,2,0,0,0,1,1,1,1,2,0,1,1,7.0,2,6,1,1973,2,2,1,2,15000,7,2,2,2,2,2,1,43.2,4.61,3,4,6,2,5,5,5,6,5,4,6,4,5,3,4,4,5,1,5,3,3,4,5,1,4,6,6,2,5,6,5,6,5,1,4,1,3,1,5,5,5,5,3,4,4,5,3,5,6,3,3,5,2,4,2,4,2,1,4,1,3,3,4,2,1,3,1,32.5,1,50,3,40,1,37,0.000378621,0.8832827856419051,10360193,1,1,1,15.0,0.795,0.14,0.1833333333333333,4.32,0.461,6.5,1,0,0,0,0,0,1,0,1,0,1
10360195,1,5,194,82,22,19.2,4.87,47,4,0,2,1,4,0,3,2,1,-1,-1,0,1,1,5.0,15,5,2,1958,2,3,2,6,9000,5,1,2,2,2,2,1,9.6,6.98,4,5,6,4,4,5,6,2,6,4,2,4,4,2,4,6,6,2,5,5,6,3,4,4,6,6,6,4,4,6,6,6,4,3,4,4,4,1,2,5,4,2,4,6,6,6,2,5,2,3,4,2,2,4,2,4,2,1,4,1,5,4,2,2,2,3,1,51.5,1,90,3,75,1,52,9.82e-05,0.2290902236010023,10360195,1,1,1,9.0,0.97,0.235,0.3666666666666666,0.96,0.6980000000000001,10.3,0,0,0,1,0,0,0,0,0,0,1
10360196,1,4,126,60,12,13.2,2.57,26,4,0,2,1,4,0,3,2,1,1,4,0,1,1,5.0,15,5,2,1958,2,3,2,6,9000,5,1,2,2,2,2,1,6.6,3.68,4,5,6,4,4,5,6,2,6,4,2,4,4,2,4,6,6,2,5,5,6,3,4,4,6,6,6,4,4,6,6,6,4,3,4,4,4,1,2,5,4,2,4,6,6,6,2,5,2,3,4,2,2,4,2,4,2,1,4,1,5,3,2,2,2,3,1,27.0,1,54,3,55,1,52,9.82e-05,0.2290902236010023,10360196,1,1,1,9.0,0.63,0.13,0.2,0.6599999999999999,0.368,5.4,0,0,0,1,0,0,0,0,0,0,1
10360235,1,4,219,34,86,38.4,6.31,49,3,0,3,1,5,1,3,2,1,1,3,1,1,1,5.0,12,6,1,1949,2,3,1,6,15000,4,2,2,2,2,2,1,38.4,9.04,1,3,1,2,5,5,4,4,1,4,3,5,3,1,3,4,4,1,5,4,3,4,5,3,4,1,3,2,5,1,3,1,2,3,4,2,5,1,4,5,2,4,5,3,2,2,2,2,2,4,2,4,5,1,1,4,2,1,4,1,5,2,4,1,1,3,1,67.0,1,99,2,55,1,61,0.000109132,0.2545934244605354,10360235,1,1,1,15.0,1.095,0.245,1.4333333333333331,3.84,0.904,13.4,0,0,0,1,0,0,1,0,0,1,0
10360236,1,3,193,112,14,15.8,3.51,40,3,-1,3,1,5,-1,2,2,1,1,3,1,1,1,5.0,10,6,2,1962,2,3,2,2,15000,4,2,2,2,2,2,1,15.8,5.03,1,2,4,3,5,5,5,1,5,2,2,5,5,1,5,5,4,1,5,4,5,5,5,2,4,4,2,2,5,2,4,4,3,1,4,4,3,1,4,5,4,5,5,1,3,3,3,5,1,1,4,4,4,1,2,4,2,1,4,1,5,4,2,3,-1,3,1,32.5,1,67,4,48,1,48,9.82e-05,0.2290902236010023,10360236,1,1,1,15.0,0.965,0.2,0.2333333333333333,1.58,0.503,6.5,0,0,0,0,0,0,0,0,0,0,1
10360286,1,4,185,58,34,43.2,8.22,61,4,2,2,1,4,2,3,2,1,1,2,-1,1,1,6.0,2,4,1,1968,2,3,1,2,7000,7,2,2,2,2,2,1,43.2,11.78,3,3,3,2,5,5,4,2,3,5,2,2,4,4,3,3,3,1,5,2,4,4,4,4,2,2,2,2,5,1,2,2,4,4,2,2,3,1,4,4,1,3,5,5,2,3,1,5,1,3,2,3,3,4,2,4,2,1,4,1,4,2,4,1,2,3,1,88.0,1,93,4,70,1,42,0.000160139,0.3735873657560173,10360286,1,1,1,7.0,0.925,0.305,0.5666666666666667,4.32,1.178,17.6,1,0,0,0,0,0,1,0,1,0,1
10360322,1,3,142,52,30,26.0,5.2,42,3,1,1,-1,3,1,2,1,1,2,3,-1,1,2,3.5,3,4,2,1975,2,3,1,6,7000,4,2,2,2,2,2,1,26.0,7.45,2,2,3,2,5,5,2,4,3,5,2,4,5,2,4,4,5,1,5,4,4,4,4,3,4,6,6,2,5,2,4,6,4,2,3,2,4,1,4,5,1,5,4,5,4,3,3,4,1,2,3,3,4,4,2,4,2,1,4,1,5,2,4,2,2,3,1,58.0,1,60,3,60,1,35,0.000232084,0.5414274486172608,10360322,1,1,1,7.0,0.71,0.21,0.5,2.6,0.745,11.6,0,0,0,1,0,0,1,0,0,0,1
10360414,1,4,108,39,15,9.6,2.37,23,5,3,1,1,5,3,2,0,1,1,3,0,1,1,6.0,10,4,1,1966,3,3,1,6,7000,4,2,2,2,2,2,2,9.6,3.4,1,3,3,2,4,4,1,1,1,2,1,5,5,3,5,4,4,4,5,4,3,3,4,4,1,1,2,4,4,3,3,1,1,3,3,2,4,1,4,4,2,4,2,4,2,4,3,4,2,4,4,4,4,3,2,4,2,1,4,1,3,2,3,3,3,3,1,25.0,1,54,3,355,1,44,0.000109132,0.2545934244605354,10360414,1,1,1,7.0,0.54,0.115,0.25,0.96,0.3399999999999999,5.0,0,0,0,1,0,0,0,0,1,0,1
10360414,1,4,102,38,18,9.6,2.6,24,5,3,1,1,5,3,2,0,1,1,3,0,1,1,6.0,10,4,1,1966,3,3,1,6,7000,4,2,2,2,2,2,2,9.6,3.73,1,3,3,2,4,4,1,1,1,2,1,5,5,3,5,4,4,4,5,4,3,3,4,4,1,1,2,4,4,3,3,1,1,3,3,2,4,1,4,4,2,4,2,4,2,4,3,4,2,4,4,4,4,3,1,4,2,1,4,1,3,2,3,3,3,3,1,27.0,1,46,3,19,1,44,0.000109132,0.2545934244605354,10360414,1,1,1,7.0,0.51,0.12,0.3,0.96,0.373,5.4,0,0,0,1,0,0,0,0,1,1,0
10360460,1,4,66,62,20,9.6,1.68,16,2,0,2,0,1,0,1,2,1,2,2,1,2,2,3.0,4,5,1,1983,2,2,1,6,9000,3,2,2,2,2,2,1,9.6,2.41,2,4,3,3,4,4,3,3,2,5,2,5,4,2,4,3,4,2,4,2,4,4,3,4,2,2,4,2,4,2,4,2,3,3,3,4,4,1,3,5,2,3,4,3,4,2,3,4,1,4,2,4,4,4,2,4,2,1,4,1,5,2,3,-1,2,3,1,17.0,1,-1,3,35,1,27,0.000967286,2.256576028779217,10360460,1,1,1,9.0,0.33,0.08,0.3333333333333333,0.96,0.241,3.4,0,1,0,1,0,1,1,0,0,0,1
10360464,3,2,91,42,11,9.6,2.06,22,4,1,1,1,4,2,5,2,1,1,4,0,1,1,4.0,16,5,1,1993,2,6,8,6,9000,2,2,1,2,2,2,3,0.0,2.95,2,4,3,4,4,4,4,3,3,4,4,4,4,3,4,6,4,3,6,6,6,4,3,3,4,4,4,4,3,4,3,4,3,4,6,4,4,2,3,4,3,3,4,4,4,3,2,4,2,2,3,3,3,4,1,4,2,1,4,1,5,2,4,2,2,1,1,22.5,0,38,3,90,1,17,0.002440844,5.694231137832636,10360464,0,1,1,9.0,0.455,0.11,0.1833333333333333,0.0,0.295,4.5,0,1,0,1,0,1,1,0,0,1,0
10360518,1,4,104,30,11,11.0,3.23,35,2,0,2,0,2,0,2,1,1,1,2,2,1,1,5.0,2,6,2,1982,2,2,2,6,15000,7,2,2,2,2,2,1,11.0,4.63,2,3,1,1,5,5,6,2,2,4,2,5,5,2,5,6,4,1,4,4,3,4,4,6,3,6,2,2,5,2,1,6,2,5,3,2,4,1,4,5,4,2,3,5,4,1,1,5,2,1,3,3,4,4,1,4,2,1,4,1,4,2,3,1,1,3,1,31.0,1,63,3,50,1,28,0.000340556,0.7944811628173415,10360518,1,1,1,15.0,0.52,0.175,0.1833333333333333,1.1,0.4629999999999999,6.2,1,0,0,1,0,1,1,0,1,1,0
10360519,1,4,279,38,38,46.2,10.71,117,2,0,2,0,2,0,2,1,1,1,2,2,1,1,5.0,2,6,1,1981,2,2,2,6,15000,6,2,2,2,2,2,1,46.2,15.35,3,3,4,4,4,4,2,4,2,6,2,5,6,1,4,6,3,3,4,4,4,2,4,3,3,6,4,3,4,3,3,2,2,3,3,3,3,2,3,6,4,4,3,3,3,4,4,3,3,3,3,3,3,2,1,4,2,1,4,1,5,2,3,2,1,1,1,109.0,1,203,8,95,1,29,0.000258025,0.6019450605361366,10360519,1,1,1,15.0,1.395,0.585,0.6333333333333333,4.62,1.535,21.8,1,0,0,1,0,1,1,0,0,1,0
10360519,9,4,127,25,58,12.4,2.43,31,2,0,2,0,2,0,2,1,1,1,2,2,1,1,5.0,2,6,1,1981,2,2,2,6,15000,6,2,2,2,2,2,1,12.4,3.48,3,3,4,4,4,4,2,4,2,6,2,5,6,1,4,6,3,3,4,4,4,2,4,3,3,6,4,3,4,3,3,2,2,3,3,3,3,2,3,6,4,4,3,3,3,4,4,3,3,3,3,3,3,2,-1,4,2,1,4,1,5,2,3,2,1,1,1,24.0,1,44,8,30,1,29,0.000258025,0.6019450605361366,10360519,1,1,1,15.0,0.635,0.155,0.9666666666666668,1.24,0.348,4.8,1,0,0,1,0,1,1,0,0,0,1
10360526,1,4,151,52,10,13.2,4.11,44,4,2,1,1,3,1,1,1,1,2,2,0,2,1,4.0,11,3,1,1979,3,3,2,6,5000,2,2,2,2,1,2,2,0.0,5.89,2,5,1,3,4,4,5,4,3,3,4,4,3,3,4,4,4,1,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,2,4,2,5,1,4,4,1,2,3,4,4,3,3,4,2,3,3,3,3,4,2,4,2,1,4,1,3,3,3,2,2,1,1,38.5,0,89,3,180,1,31,0.003869639,9.027458897812208,10360526,1,1,1,5.0,0.755,0.22,0.1666666666666666,0.0,0.589,7.7,0,1,0,1,0,0,1,0,1,0,1
10360533,1,7,251,53,59,65.8,11.14,76,3,1,2,0,3,1,1,1,1,2,3,1,2,2,4.0,4,5,2,1971,2,3,2,6,9000,4,2,2,2,2,2,1,65.8,15.96,1,4,1,1,5,5,6,1,6,5,2,5,5,1,1,2,4,1,5,4,5,3,2,1,2,6,5,3,5,2,1,2,4,3,3,4,5,1,3,5,4,2,5,3,1,2,1,5,1,3,2,5,5,1,2,4,2,1,4,1,5,2,3,3,3,3,1,119.0,1,139,8,74,1,39,0.000232084,0.5414274486172608,10360533,1,1,1,9.0,1.255,0.38,0.9833333333333332,6.58,1.596,23.8,0,0,0,1,0,0,0,0,0,0,1
10360536,3,2,166,120,5,12.6,3.03,41,0,0,1,1,1,0,1,1,1,2,1,0,2,2,2.0,2,4,1,1971,2,1,1,3,7000,6,2,2,2,2,2,1,12.6,4.34,1,2,2,2,5,5,4,2,4,5,2,4,4,4,4,6,5,4,5,5,4,4,4,4,2,1,2,4,4,1,2,2,4,4,2,2,2,1,4,5,2,4,4,2,2,4,4,4,2,4,2,4,4,2,2,4,2,1,4,1,3,3,4,1,1,1,1,30.0,1,41,3,75,1,39,0.000258025,0.6019450605361366,10360536,1,1,1,7.0,0.83,0.205,0.0833333333333333,1.26,0.434,6.0,1,0,0,0,0,0,1,0,1,0,1
10360566,8,4,141,46,8,14.4,3.4,36,2,-1,1,0,1,0,2,1,1,2,2,0,1,1,4.0,28,4,1,1958,3,1,1,4,7000,3,2,2,2,2,2,1,14.4,4.87,1,4,-1,6,4,4,5,4,3,5,2,5,5,3,2,4,4,2,5,4,4,4,4,3,3,1,3,2,4,6,1,2,3,2,3,3,3,3,3,5,4,3,3,4,4,3,2,4,2,3,2,3,4,2,-1,4,2,1,4,1,5,3,1,2,2,1,1,32.0,1,87,3,50,1,52,0.000409116,0.954424398357919,10360566,1,1,1,7.0,0.705,0.18,0.1333333333333333,1.44,0.487,6.4,0,1,0,0,0,0,0,0,0,0,1
10360624,3,4,90,28,8,11.0,3.3,35,3,0,2,0,3,0,3,2,1,1,3,0,1,1,-1.0,-1,-1,1,1991,2,6,8,-1,-1,-1,1,2,2,1,2,-1,5.5,4.73,3,5,3,3,5,5,5,3,4,5,2,5,3,3,4,6,2,1,6,6,6,3,6,2,5,5,5,3,3,5,4,3,5,1,4,2,3,1,2,5,1,5,3,3,6,3,2,5,5,3,5,3,3,4,1,4,2,1,4,1,5,2,4,2,2,4,1,31.0,0,54,3,115,1,19,0.000610133,1.423375818700105,10360624,1,1,1,-0.001,0.45,0.175,0.1333333333333333,0.55,0.473,6.2,0,1,0,0,0,1,1,0,0,1,0
10540009,1,4,222,80,34,49.6,6.32,55,4,2,2,1,3,2,4,3,1,1,3,1,1,2,4.0,13,4,2,1966,2,3,2,8,7000,3,2,2,2,2,2,1,49.6,9.06,2,3,3,2,4,4,4,6,6,5,6,4,4,1,3,6,2,3,1,2,3,2,6,4,5,3,1,2,2,6,6,1,3,3,5,2,3,2,6,3,3,5,5,6,6,3,3,3,6,4,5,3,4,6,1,4,2,1,4,1,4,2,4,2,1,3,1,69.0,1,108,4,55,1,44,0.000367986,0.8584724543995766,10540009,1,1,1,7.0,1.11,0.275,0.5666666666666667,4.96,0.906,13.8,0,1,0,0,0,0,1,0,1,1,0
10540031,8,8,306,78,45,20.2,7.6,92,4,2,2,0,4,2,1,1,1,2,3,1,2,2,3.5,44,4,2,1965,2,3,2,6,7000,3,2,2,2,2,2,1,20.2,10.89,2,1,3,3,5,5,4,4,6,6,6,4,5,1,4,4,4,1,5,3,6,3,6,3,4,6,2,1,6,6,1,6,6,1,1,2,3,1,1,5,2,2,2,6,6,1,1,5,5,2,1,4,4,4,-1,4,2,1,4,1,5,5,3,1,1,3,1,82.5,1,183,2,135,1,45,0.000367986,0.8584724543995766,10540031,1,1,1,7.0,1.53,0.46,0.75,2.02,1.089,16.5,0,1,0,1,0,0,1,0,0,0,1
10540046,1,3,120,70,4,12.2,2.69,39,1,-1,1,0,1,0,1,0,1,2,-1,-1,1,2,4.0,1,3,1,1965,2,1,1,8,5000,5,1,2,2,2,2,1,6.1,3.85,4,4,1,3,5,5,4,3,6,5,4,5,3,1,5,2,2,1,4,2,3,2,2,5,2,2,2,4,3,2,1,6,1,2,5,3,1,1,5,5,3,4,6,5,6,3,1,5,1,6,2,4,4,2,2,4,2,1,4,1,3,3,4,2,2,3,1,22.5,1,46,4,50,1,45,0.000109132,0.2545934244605354,10540046,1,1,1,5.0,0.6,0.195,0.0666666666666666,0.61,0.385,4.5,0,0,0,0,0,0,1,0,1,0,1
10540130,7,1,120,64,4,9.0,2.76,40,4,2,2,-1,5,2,2,1,1,1,2,0,1,1,5.0,9,5,1,1970,2,3,1,7,9000,3,1,2,2,2,2,1,4.5,3.96,2,4,1,1,5,5,6,1,3,5,1,5,3,1,4,3,5,1,4,3,4,3,3,5,1,5,2,2,4,3,5,1,3,2,4,1,3,2,5,5,2,3,4,3,5,2,1,5,1,4,1,5,4,2,-1,4,2,1,4,1,3,3,4,2,3,3,1,23.5,1,52,4,59,1,40,0.000409116,0.954424398357919,10540130,1,1,1,9.0,0.6,0.2,0.0666666666666666,0.45,0.396,4.7,0,1,0,0,0,0,1,0,1,0,1
10540130,2,1,120,62,2,11.0,2.54,36,4,2,2,-1,5,2,2,1,1,1,2,0,1,1,5.0,9,5,1,1970,2,3,1,7,9000,3,1,2,2,2,2,1,5.5,3.64,2,4,1,1,5,5,6,1,3,5,1,5,3,1,4,3,5,1,4,3,4,3,3,5,1,5,2,2,4,3,5,1,3,2,4,1,3,2,5,5,2,3,4,3,5,2,1,5,1,4,1,5,4,2,1,4,2,1,4,1,3,2,4,2,3,3,1,24.0,1,56,4,29,1,40,0.000409116,0.954424398357919,10540130,1,1,1,9.0,0.6,0.18,0.0333333333333333,0.55,0.364,4.8,0,1,0,0,0,0,1,0,1,1,0
